price,vat_included,year,mileage,location,url,make,name,supplier,VehicleType
250000,,2007,10000,Челябинская область,https://auto.ru/trailer/used/sale/nefaz/polupricep_bortovoy/16402556-2bc32e99/,NEFAZ,НефАЗ П/п бортовой,,ST_ONBOARD
930000,,2008,900000,Елец,https://auto.ru/trailer/used/sale/fliegl/polupricep/16469712-775ad275/,FLIEGL,Fliegl Полуприцепы тентованные,,ST_CURTAIN
3200000,,2013,,Муром,https://auto.ru/trailer/used/sale/krone/sd/16446167-be48df77/,KRONE,Krone SD,,ST_REFRIGERATOR
840000,,2007,,Тула,https://auto.ru/trailer/used/sale/tirsan/umbo/16676348-bb7b260b/,TIRSAN,Tirsan Umbo,,ST_CURTAIN_ONBOARD
950000,,2008,300000,Чита,https://auto.ru/trailer/used/sale/krone/sdp_27/16663336-8342dc80/,KRONE,Krone SDP 27,,ST_ONBOARD
350000,,2010,,Красноярск,https://auto.ru/trailer/used/sale/maz/polupricepbortovoy/16655872-1a9e9afc/,MAZ,МАЗ Полуприцеп бортовой,,ST_ONBOARD
230000,,2005,,Новочеркасск,https://auto.ru/trailer/used/sale/maz/polupricepbortovoy/16455918-f675e387/,MAZ,МАЗ Полуприцеп бортовой,,ST_ONBOARD
250000,,2007,,Лесосибирск,https://auto.ru/trailer/used/sale/nefaz/pricep_bortovoy/16652234-33b21058/,NEFAZ,НефАЗ прицеп бортовой,,ST_ONBOARD
600000,,2007,,Чистополь,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16659438-c4d374f9/,SCHMITZ_CARGOBULL,Schmitz Cargobull S01,,ST_CURTAIN
940000,,2002,500000,Данилов,https://auto.ru/trailer/used/sale/montracon/refrijeratorniy_polupricep/16660946-0936f1fa/,MONTRACON,Montracon Рефрижераторный полуприцеп,,ST_REFRIGERATOR
399000,,2005,1000000,Шарья,https://auto.ru/trailer/used/sale/panav/panav/16357862-9a820b6c/,PANAV,Panav Panav,,ST_CURTAIN_ONBOARD
1150000,,2004,,Санкт-Петербург,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16678662-67f703ae/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,,ST_REFRIGERATOR
400000,,2003,,Екатеринбург,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16567492-30b52e92/,SCHMITZ_CARGOBULL,Schmitz Cargobull S01,,ST_CURTAIN
1199000,,2008,,Москва,https://auto.ru/trailer/used/sale/humbaur/rexus/16669372-91f7d44a/,HUMBAUR,Humbaur Rexus,,ST_CURTAIN
2350000,,2012,500000,Москва и Московская область,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16652426-4a7b72da/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,,ST_REFRIGERATOR
280000,,2001,,Уфа,https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16679870-6ce0409e/,SCHMITZ_CARGOBULL,Schmitz Cargobull SCB,,ST_ONBOARD
740000,,2015,,Набережные Челны,https://auto.ru/trailer/used/sale/tonar/9988/16382606-5cc8d3f8/,TONAR,Тонар 9988,,ST_CURTAIN
1360000,,2016,,Ростов-на-Дону,https://auto.ru/trailer/used/sale/nefaz/polupricep_bortovoy/16596292-9ebd0abc/,NEFAZ,НефАЗ П/п бортовой,,ST_ONBOARD
470000,,2007,3000,Агинское,https://auto.ru/trailer/used/sale/szap/8352/16675252-848929d1/,SZAP,СЗАП 8352,,ST_ONBOARD
560000,,2004,,Опочка,https://auto.ru/trailer/used/sale/krone/sdp_27/16659876-d3c8370f/,KRONE,Krone SDP 27,,ST_CURTAIN_ONBOARD
