Site;Benefit;Make;link;Year;Supplier;VehicleType;Price 1;Price;Mileage;VATIncluded
auto.ru;21;VOLVO;https://auto.ru/artic/used/sale/volvo/fm_tractor/16565488-6df0e120/;2016;РусТрансТоргСервис;Truck;6337212;5200000;205165;Цена с НДС
auto.ru;34;VOLVO;https://auto.ru/artic/used/sale/volvo/fm_tractor/16640314-a8a20d88/;2016;;Truck;4316747;3200000;825000;
auto.ru;47;DAF;https://auto.ru/artic/used/sale/daf/xf_series/16624888-fa21479d/;2015;;Truck;3535572;2400000;437000;
auto.ru;10;KAMAZ;https://auto.ru/artic/used/sale/kamaz/5490/16646156-151cb180/;2016;Global Truck Sales Екатеринбург;Truck;1892905;1710000;685458;Цена с НДС
auto.ru;25;KAMAZ;https://auto.ru/artic/used/sale/kamaz/5490/16609419-dcabb9cb/;2016;EL TRUCKS;Truck;2191729;1750000;440000;
auto.ru;78;MAZ;https://auto.ru/artic/used/sale/maz/6430/16582078-b0099baf/;2017;;Truck;2677233;1500000;110000;
auto.ru;40;MAZ;https://auto.ru/artic/used/sale/maz/6430/16373108-8734c182/;2017;Аскет-Авто;Truck;2677233;1900000;200000;
auto.ru;30;KAMAZ;https://auto.ru/artic/used/sale/kamaz/44108/16651394-4ea41ab1/;2017;;Truck;3339612;2550000;120000;
auto.ru;12;KAMAZ;https://auto.ru/artic/used/sale/kamaz/5490/16619524-fab05d58/;2015;Global Truck Sales Санкт-Петербург;Truck;1895734;1690000;615044;Цена с НДС
auto.ru;28;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65116/16616990-bfa1c786/;2015;;Truck;1805669;1400000;330000;
auto.ru;23;MAZ;https://auto.ru/artic/used/sale/maz/5440/16569442-4ac883c6/;2016;;Truck;1667147;1350000;297965;
auto.ru;46;IVECO;https://auto.ru/artic/used/sale/iveco/stralis_tractor/16492850-139ca934/;2018;Европлан Краснодар;Truck;4326098;2958000;391805;
auto.ru;34;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65116/16325970-0aeb83ee/;2016;;Truck;1876427;1400000;74000;
auto.ru;65;KAMAZ;https://auto.ru/artic/used/sale/kamaz/5490/16605898-247c652a/;2017;;Truck;3297401;1990000;375000;
auto.ru;54;KAMAZ;https://auto.ru/artic/used/sale/kamaz/53504/16583924-e5d53b62/;2018;;Truck;3855663;2500000;44000;
auto.ru;30;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65206/16634680-66e3fe8b/;2018;Аскет-Авто;Truck;4502775;3450000;179834;
auto.ru;16;KAMAZ;https://auto.ru/artic/used/sale/kamaz/5490/16652076-387c66df/;2017;;Truck;2554412;2200000;543333;
auto.ru;41;KAMAZ;https://auto.ru/artic/used/sale/kamaz/5490/16625006-5ab690e4/;2015;;Truck;1975310;1400000;742000;
auto.ru;11;MAN;https://auto.ru/artic/used/sale/man/tgs/16287076-6316e951/;2015;Глобал Трак Сейлс Москва;Truck;3055741;2750000;600615;
auto.ru;26;MAZ;https://auto.ru/artic/used/sale/maz/5440/16629926-9ee30601/;2018;;Truck;2538630;2000000;339000;
auto.ru;40;MAZ;https://auto.ru/artic/used/sale/maz/6430/16637584-67d98506/;2017;КОМПАНИЯ АВТОМОБИЛИЯ;Truck;2677233;1900000;467823;
auto.ru;23;SCANIA;https://auto.ru/artic/used/sale/scania/p_1/16596990-f0a5c525/;2018;БорнТракСервис;Truck;5976746;4850000;310000;Цена с НДС
auto.ru;26;MAZ;https://auto.ru/artic/used/sale/maz/6430/16427114-9436b223/;2018;;Truck;3162758;2500000;100000;Цена с НДС
auto.ru;27;MAZ;https://auto.ru/artic/used/sale/maz/6425/16564712-f5233b77/;2017;;Truck;3182949;2500000;103000;
auto.ru;27;MAZ;https://auto.ru/artic/used/sale/maz/6430/16629408-baa63daf/;2017;;Truck;2677233;2100000;255867;
auto.ru;12;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65116/16545598-f8f3db99/;2016;;Truck;2074631;1839000;92345;
auto.ru;12;KAMAZ;https://auto.ru/artic/used/sale/kamaz/5490/16284530-53f641ab/;2016;Global Truck Sales Санкт-Петербург;Truck;1892905;1690000;662800;
auto.ru;16;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65225_t/16504178-ea77b599/;2017;;Truck;3957504;3400000;80000;
auto.ru;33;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65116/16654290-773b8f7c/;2017;;Truck;2074331;1550000;244000;
auto.ru;26;KAMAZ;https://auto.ru/artic/used/sale/kamaz/53504/16420230-739b933f/;2018;;Truck;4145908;3280000;55000;
auto.ru;26;MAZ;https://auto.ru/artic/used/sale/maz/5440/16364998-37668172/;2016;;Truck;2018200;1600000;571743;
auto.ru;21;MAZ;https://auto.ru/artic/used/sale/maz/5440/16594648-4ad80bf2/;2015;MAH Центр Берëзовский;Truck;1212921;999000;130000;
auto.ru;19;SCANIA;https://auto.ru/artic/used/sale/scania/p_1/16652166-7c0834d3/;2015;;Truck;5936319;4950000;700000;
auto.ru;10;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65206/16570078-26ecb62e/;2018;ТПК Бизнес Интерьер;Truck;3684722;3330000;251000;Цена с НДС
auto.ru;27;KAMAZ;https://auto.ru/artic/used/sale/kamaz/5490/15879403-20c535c4/;2016;;Truck;1852652;1450000;333000;
auto.ru;44;MAZ;https://auto.ru/artic/used/sale/maz/6430/16553782-21e0aa99/;2017;МАН Трак энд Бас РУС;Truck;2677233;1850000;285124;Цена с НДС
auto.ru;11;KAMAZ;https://auto.ru/artic/used/sale/kamaz/43118_tyagach/16571170-f12e34fc/;2017;ЕвропаТрак;Truck;3339612;2990000;32600;Цена с НДС
auto.ru;14;MAN;https://auto.ru/artic/used/sale/man/tgs/16569314-e2863cfc/;2016;АвтоБан;Truck;3785543;3300000;600000;
auto.ru;12;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65206/16232186-77f65072/;2015;;Truck;2165355;1930000;402000;
auto.ru;17;MAZ;https://auto.ru/artic/used/sale/maz/5440/15764038-ceef0a9d/;2016;;Truck;1984512;1695000;167000;
auto.ru;57;KAMAZ;https://auto.ru/artic/used/sale/kamaz/5490/16599784-dd64ef78/;2015;;Truck;2043723;1299000;700000;
auto.ru;34;MAZ;https://auto.ru/artic/used/sale/maz/5440/16588818-ae96710c/;2017;;Truck;1884481;1400000;190000;
auto.ru;17;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65206/16226306-9c658a05/;2015;M7 TRUCK Набережные Челны;Truck;2165355;1850000;658216;
auto.ru;21;KAMAZ;https://auto.ru/artic/used/sale/kamaz/5490/16579338-934c5859/;2017;M7 TRUCK Казань;Truck;2403138;1983000;638727;
auto.ru;199;MAN;https://auto.ru/artic/used/sale/man/tgs/16649190-55df2e55/;2018;;Truck;5993134;2000000;100000;
auto.ru;10;VOLVO;https://auto.ru/artic/used/sale/volvo/fh_tractor/16556154-51e5f982/;2018;;Truck;8139354;7350000;795000;
auto.ru;26;MAZ;https://auto.ru/artic/used/sale/maz/6425/15710421-78943c0c/;2015;;Truck;2527380;2000000;45000;
auto.ru;14;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65116/16566206-20d92c1d/;2018;;Truck;3092893;2690000;90000;
auto.ru;68;MAZ;https://auto.ru/artic/used/sale/maz/5440/16631746-6f6d1d03/;2016;;Truck;1982423;1180000;500000;
auto.ru;16;KAMAZ;https://auto.ru/artic/used/sale/kamaz/5490/16502116-d93b06b4/;2015;;Truck;1611932;1380000;650000;
auto.ru;123;MAZ;https://auto.ru/artic/used/sale/maz/6425/16639496-296c1e30/;2017;MAH Центр Берëзовский;Truck;3323868;1490000;60000;
auto.ru;11;MAZ;https://auto.ru/artic/used/sale/maz/5440/16626496-da6dafd5/;2015;;Truck;2110421;1900000;300000;
auto.ru;11;SCANIA;https://auto.ru/artic/used/sale/scania/r_1/16561358-6d0586b3/;2015;;Truck;4051607;3650000;1259931;
