Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Федеральный округ;Цена с НДС;Comment;Качество верификации;Верификация
Шторный;Schmitz Cargobull;SCS Mega;2015;1347777;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs_mega/16617954-e4b45dd9/;610000;;;;;;ТТ777;1490000;142223;Горячая цена! Срочно брать!;0;43000;ЦФО;Цена с НДС;Шторный полуприцеп Schmitz SCS DoubleDeck 2015г  Цена с НДС  возможна покупка в КРЕДИТ или ЛИЗИНГ  Стандарт TIR  работал по Европе  строго без перегрузов  Один владелец  гарантия юридической чистоты  Объем 105м3  регулируемая внутренняя высота  до 3 05м   Многоярусная погрузка  DoubleDeck   полный комплект доппель штоков  DoppelStock   Комплектация  корзина под запасное колесо  запасное колесо  лестница  инструментальный ящик  Состояние отличное  все растентовки работают  Остаток резины 60 70;0,34472;ok
Шторный;Schmitz Cargobull;SCS;2018;2390000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16631316-d225cf0e/;120000;;;;;;АГТ-Трейдинг;2000000;-390000;Цена завышена - можно поторговаться;30;76000;ЦФО;;;;
Шторный;Krone;SD;2017;2100000;Рязань;https://auto.ru/trailer/used/sale/krone/sd/16619244-3bcb050e/;250000;;;;;;ООО Группа Авто;1920000;-180000;Цена завышена - можно поторговаться;20;67000;ЦФО;Цена с НДС;;;ok
Шторный;Meusburger;;2015;1593000;Чёрная Грязь;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16619560-56f8ac60/;200000;;;;;;M7 TRUCK Москва;1510000;-83000;Цена завышена - можно поторговаться;20;51000;ЦФО;;;;
Шторный;Schmitz Cargobull;S01;2018;2300000;Санкт-Петербург;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16612594-461e9cc0/;100000;;;;;;Вираж-Трак;2000000;-300000;Цена завышена - можно поторговаться;30;74000;СЗФО;Цена с НДС;;;ok
Рефрижератор;Schmitz Cargobull;SKO;2016;3450000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16663966-fa4c9494/;;;;;;;;3750000;300000;Горячая цена! Срочно брать!;0;110000;ЦФО;;;;
Рефрижератор;Krone;SD;2017;3700000;Набережные Челны;https://auto.ru/trailer/used/sale/krone/sd/16664267-ebc72ec0/;300000;;;;;;АТРАКС;3880000;180000;;10;118000;ПФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2016;4250000;Солнечногорск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16669240-93b2f690/;500000;;;;;;АЙС КУБ;3640000;-610000;Цена завышена - можно поторговаться;30;136000;ЦФО;Цена с НДС;;;ok
Шторный;Krone;Profi Liner;2018;2370000;Набережные Челны;https://auto.ru/trailer/used/sale/krone/profi_liner/16663296-fb531cc2/;300000;;;;;;M7 TRUCK Набережные Челны;2010000;-360000;Цена завышена - можно поторговаться;30;76000;ПФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2018;4620000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16653816-66059cfb/;;;;;;;ClassTrucks;4360000;-260000;Цена завышена - можно поторговаться;20;148000;ЦФО;;;;
Шторный;Schmitz Cargobull;SCS;2015;1770000;Нижний Новгород;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16682066-bcdd3253/;;;;;;;;1510000;-260000;Цена завышена - можно поторговаться;30;57000;ПФО;;;;
Бортовой;Kögel;SN24;2016;1750000;Солнечногорск;https://auto.ru/trailer/used/sale/kogel/sn24/16499400-fd447fd2/;575000;;;;;;ТРАНСАЛЬЯНС Москва;1760000;10000;;10;56000;ЦФО;Цена с НДС;;;ok
Рефрижератор;Schmitz Cargobull;SKO;2017;4150000;;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16662498-57f8b3a5/;490000;;;;;;Камион;3910000;-240000;Цена завышена - можно поторговаться;20;133000;;Цена с НДС;;;ok
Шторный;Krone;Profi Liner;2017;2257000;Авдон;https://auto.ru/trailer/used/sale/krone/profi_liner/16666456-5ad08c38/;400000;;;;;;M7 TRUCK Уфа;1900000;-357000;Цена завышена - можно поторговаться;30;72000;ПФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2017;4700000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16645480-1c21353e/;110000;;;;;;АГТ-Трейдинг;3870000;-830000;Цена завышена - можно поторговаться;30;150000;ЦФО;;;;
Шторный;Meusburger;;2015;1730000;Новониколаевский;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16675136-0ae30037/;600000;;;;;;M7 TRUCK Казань;1490000;-240000;Цена завышена - можно поторговаться;30;55000;ПФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2015;3700000;Краснодар;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16587312-36574937/;450000;;;;;;Транзит-Дон Краснодар;3290000;-410000;Цена завышена - можно поторговаться;20;118000;ЮФО;;;;
Шторный;Krone;SD;2018;2120000;;https://auto.ru/trailer/used/sale/krone/sd/16645250-08a47df6/;;;;;;;BS-Truck;2010000;-110000;Цена завышена - можно поторговаться;20;68000;;Цена с НДС;;;ok
Рефрижератор;Krone;SD;2018;4100000;Набережные Челны;https://auto.ru/trailer/used/sale/krone/sd/16664333-691d47f1/;250000;;;;;;АТРАКС;4130000;30000;;10;131000;ПФО;Цена с НДС;;;ok
Рефрижератор;Schmitz Cargobull;SCB;2017;3850000;Дубровки;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16622374-8ce0fe88/;260000;;;;;;Триера Трак;3880000;30000;;10;123000;ЦФО;Цена с НДС;;;ok
Рефрижератор;Schmitz Cargobull;SKO;2016;4350000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16645544-c5b193d1/;210000;;;;;;АГТ-Трейдинг;3770000;-580000;Цена завышена - можно поторговаться;30;139000;ЦФО;;;;
Шторный;Krone;SD;2016;2500000;Москва;https://auto.ru/trailer/used/sale/krone/sd/16638774-840b93d1/;;;;;;;Глобал Трак Сейлс Москва;1800000;-700000;Цена завышена - можно поторговаться;50;80000;ЦФО;Цена с НДС;;;ok
Рефрижератор;Krone;Krone;2015;4000000;Канск;https://auto.ru/trailer/used/sale/krone/krone/16660154-342154e3/;;;;;;;;3250000;-750000;Цена завышена - можно поторговаться;30;128000;;;;;
Шторный;Meusburger;;2015;1650000;Дубровки;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16630072-0aaaf54f/;380000;;;;;;Триера Трак;1490000;-160000;Цена завышена - можно поторговаться;20;53000;ЦФО;Цена с НДС;;;ok
Шторный;Krone;SD;2017;2257000;Чёрная Грязь;https://auto.ru/trailer/used/sale/krone/sd/16671216-f2f21e7c/;50000;;;;;;M7 TRUCK Москва;1940000;-317000;Цена завышена - можно поторговаться;30;72000;ЦФО;;;;
Бортовой;Kögel;S24;2017;1900000;Курск;https://auto.ru/trailer/used/sale/kogel/s24/16629642-a659cc01/;140000;;;;;;;1850000;-50000;;10;61000;ЦФО;;;;
Бортовой;Kögel;S24;2018;1800000;Орёл;https://auto.ru/trailer/used/sale/kogel/s24/16672580-3434a83c/;220000;;;;;;;1920000;120000;Горячая цена! Срочно брать!;0;58000;ЦФО;;;;
