Mileage,VehicleType,HP,Make,VATIncluded,CabSeats,URL,Gear,Table Names,Formula,Year,Price,Model,Supplier,CabBeds,Location,Price
620000,Truck,440,MERCEDES,,2,https://auto.ru/artic/used/sale/mercedes/actros_t/16475604-f9172046/,AT,autoru - trucks.csv,4x2,2017,5700000,Actros,,2,Казань,4441107.57377
160000,Truck,245,KAMAZ,,3,https://auto.ru/artic/used/sale/kamaz/65116/16611190-c224c49b/,MT,autoru - trucks.csv,6x4,2008,720000,65116,,1,Раменское,956632.93246
1500000,Truck,500,FREIGHTLINER,,2,https://auto.ru/artic/used/sale/freightliner/columbia/16341946-e0d347b3/,MT,autoru - trucks.csv,6x4,2007,2000000,Columbia,,2,Ижевск,1501255.24566
10,Truck,360,KAMAZ,,2,https://auto.ru/artic/used/sale/kamaz/65225_t/15470837-8c17442a/,MT,autoru - trucks.csv,6x6,2011,2350000,65225,,1,Набережные Челны,1732450.79986
1500000,Truck,420,RENAULT,,2,https://auto.ru/artic/used/sale/renault/premium_tractor/16529356-24060a9c/,MT,autoru - trucks.csv,4x2,2005,990000,Premium,,2,Вологда,1124446.20348
312000,Truck,462,DAF,,2,https://auto.ru/artic/used/sale/daf/xf105/16596368-863e4203/,AT,autoru - trucks.csv,4x2,2017,5050000,XF105,Альфа Трак,2,Красногорск,4513024.57783
700000,Truck,440,SCANIA,,2,https://auto.ru/artic/used/sale/scania/r_1/16404742-709e1365/,AT,autoru - trucks.csv,4x2,2015,3990000,R-Series,,2,Москва,4082538.89416
1300000,Truck,430,DAF,,,https://auto.ru/artic/used/sale/daf/xf95/16463104-64e9ba02/,MT,autoru - trucks.csv,,2000,1500000,95XF,,,Севастополь,1424415.07294
625721,Truck,500,FREIGHTLINER,,2,https://auto.ru/artic/used/sale/freightliner/century_class/16567036-8ab6d486/,MT,autoru - trucks.csv,6x4,2002,1500000,Century Class,,2,Кызыл,893531.70393
380000,Truck,430,MAZ,,2,https://auto.ru/artic/used/sale/maz/5440/16615874-e2d31ef5/,MT,autoru - trucks.csv,4x2,2017,1110000,5440,,2,Архангельск,2312713.19868
1260000,Truck,495,FREIGHTLINER,,2,https://auto.ru/artic/used/sale/freightliner/columbia/15886860-850b9e25/,AT,autoru - trucks.csv,6x4,2004,1550000,Columbia,,2,Кызыл,1481776.05478
1240000,Truck,380,SCANIA,,2,https://auto.ru/artic/used/sale/scania/g/16119934-b99a783c/,MT,autoru - trucks.csv,4x2,2008,1600000,G-series,,2,Санкт-Петербург,1927467.29985
800000,Truck,441,SCANIA,,2,https://auto.ru/artic/used/sale/scania/g/16273752-36955da7/,MT,autoru - trucks.csv,,2012,4700000,G-series,,2,Пермь,2941172.34654
60000,Truck,390,MAZ,,2,https://auto.ru/artic/used/sale/maz/6430/16557744-bc882812/,MT,autoru - trucks.csv,6x4,2007,1150000,6430,,1,Липецк,842565.13609
1700000,Truck,380,DAF,,,https://auto.ru/artic/used/sale/daf/xf95/16585692-2bc55e4b/,MT,autoru - trucks.csv,,2000,980000,95XF,,,Рославль,1363856.79994
463000,Truck,400,SCANIA,,2,https://auto.ru/artic/used/sale/scania/p_1/16549880-ad325bee/,AT,autoru - trucks.csv,4x2,2014,3600000,P-series,ТРАК ПЛАТФОРМА,2,Люберцы,3657271.90725
761000,Truck,435,MAZ,,2,https://auto.ru/artic/used/sale/maz/5440/16632058-3a1777cf/,MT,autoru - trucks.csv,,2012,1650000,5440,,2,Ялуторовск,1414036.33062
410000,Truck,310,MAZ,,,https://auto.ru/artic/used/sale/maz/5440/16477406-038390cf/,MT,autoru - trucks.csv,4x2,2014,750000,5440,,,Екатеринбург,984142.71296
500000,Truck,411,MAZ,,2,https://auto.ru/artic/used/sale/maz/5440/16205410-322b351b/,MT,autoru - trucks.csv,4x2,2012,2300000,5440,,2,Березники,1312320.97021
340000,Truck,400,KAMAZ,,2,https://auto.ru/artic/used/sale/kamaz/5460/16259720-09b73cb4/,MT,autoru - trucks.csv,4x2,2012,1400000,5460,,2,Краснодар,1477465.98918
857000,Truck,390,MAN,,2,https://auto.ru/artic/used/sale/man/tga_1/16620510-c13ff6a7/,MT,autoru - trucks.csv,4x2,2008,870000,TGA,ГРУЗОВИК-24,2,Москва,1666056.26719
389000,Truck,440,SCANIA,,2,https://auto.ru/artic/used/sale/scania/p_1/16545020-e9dea246/,MT,autoru - trucks.csv,4x2,2015,7100000,P-series,,1,Рязань,3882424.28161
100000,Truck,400,VOLVO,,2,https://auto.ru/artic/used/sale/volvo/vnl_tractor/16395548-b880ef1d/,MT,autoru - trucks.csv,6x2,2000,1100000,VNL,,2,Гуково,1299596.8521
937000,Truck,460,DAF,,2,https://auto.ru/artic/used/sale/daf/xf105/16365644-76805a78/,AT,autoru - trucks.csv,4x2,2008,2400000,XF105,,2,Кичменгский Городок,2254491.94979
310000,Truck,401,KAMAZ,,2,https://auto.ru/artic/used/sale/kamaz/5490/16459598-60bccfff/,MT,autoru - trucks.csv,4x2,2015,1870000,5490,Юнион КРОНЕ Кимовск,1,Кимовск,1611932.42062
1070000,Truck,400,MAN,,2,https://auto.ru/artic/used/sale/man/tgs/16108370-5f44fa83/,MT,autoru - trucks.csv,4x2,2013,1500000,TGS,,1,Егорьевск,2492687.63704
100000,Truck,330,MAZ,,2,https://auto.ru/artic/used/sale/maz/64220/16513182-ab7cf680/,MT,autoru - trucks.csv,6x4,2006,700000,64220,,1,Красноярск,659282.66768
800000,Truck,462,DAF,,2,https://auto.ru/artic/used/sale/daf/xf_series/16499292-1bae7310/,MT,autoru - trucks.csv,4x2,2014,3300000,XF,,1,Белгород,3073801.53047
647000,Truck,435,MAZ,Цена с НДС,2,https://auto.ru/artic/used/sale/maz/5440/16516364-031aa5e1/,MT,autoru - trucks.csv,4x2,2013,990000,5440,ЕвроТрак Mercedes-Benz Пермь,2,Пермь,1565660.55934
800000,Truck,462,DAF,,2,https://auto.ru/artic/used/sale/daf/xf105/16616270-63b74cdb/,MT,autoru - trucks.csv,4x2,2013,3150000,XF105,,2,Москва и Московская область,2914155.169
895465,Truck,350,MAN,,2,https://auto.ru/artic/used/sale/man/tga_1/16091030-7da97442/,MT,autoru - trucks.csv,4x2,2008,900000,TGA,Техцентр СОТРАНС Mercedes-Benz Санкт-Петербург,1,Красный Бор,1400248.07565
58000,Truck,420,MAZ,,2,https://auto.ru/artic/used/sale/maz/5440/16597284-7e8adfce/,MT,autoru - trucks.csv,4x2,2019,3300000,5440,,2,Тамбов,2686743.16575
980000,Truck,462,DAF,,,https://auto.ru/artic/used/sale/daf/xf105/16232216-7369dfc4/,,autoru - trucks.csv,4x2,2012,2700000,XF105,,,Краснодар,2498615.44984
922568,Truck,420,SCANIA,,2,https://auto.ru/artic/used/sale/scania/r_1/16595250-0cbd4e5a/,MT,autoru - trucks.csv,4x2,2009,2160000,R-Series,Технический Центр ИНФОРКОМ,2,Домодедово,2326318.22117
1200000,Truck,360,SCANIA,Цена с НДС,2,https://auto.ru/artic/used/sale/scania/p_1/16637106-a85640fa/,MT,autoru - trucks.csv,4x2,2014,3050000,P-series,ЖигулиСкан ООО,1,Жигулёвск,3286517.57321
