Comment;Site;Benefit;Make;URL;Year;Supplier;VehicleType;Price 1;Price;Mileage;VATIncluded
;drom.ru;45;MAN;https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/tjagach-man-tgs-19.400-4x2-2015-v-nalichii-84068710.html;2015;;Truck;3850712;2650000;;
;drom.ru;44;KAMAZ;https://spec.drom.ru/novosibirsk/truck/truck-tractor/kamaz-65116-32-metan-74873600.html;2017;;Truck;3530465;2450000;;
;drom.ru;385;SCANIA;https://spec.drom.ru/syktyvkar/truck/truck-tractor/scania-p440-2016-g-v-tjagach-6h4-84682961.html;2016;;Truck;4854155;1000000;;
;drom.ru;44;KAMAZ;https://spec.drom.ru/miass/truck/truck-tractor/sedelnyj-tjagach-kamaz-43118-6h6-spalnik-vezdehod-2017-83220583.html;2017;;Truck;3986932;2750000;;
;drom.ru;36;KAMAZ;https://spec.drom.ru/nizhnii-novgorod/truck/truck-tractor/kamaz-53504-306030-50-tjagach-evro5-belyj-sever-75016887.html;2019;Русбизнесавто;Truck;4978053;3650000;;
;drom.ru;33;KAMAZ;https://spec.drom.ru/ekaterinburg/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2016-g-v-87067832.html;2016;Global Truck Sales;Truck;2279510;1710000;;
;drom.ru;22;SCANIA;https://spec.drom.ru/lyubertsy/truck/truck-tractor/scania-r440-86654142.html;2017;;Truck;5772104;4700000;;
;drom.ru;56;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-43118-sedelnyj-tjagach-77316117.html;2019;;Truck;4978053;3189000;;
;drom.ru;62;SCANIA;https://spec.drom.ru/syktyvkar/truck/truck-tractor/scania-p440-6x4-2016-g-v-tjagach-84598693.html;2016;;Truck;4854155;2990000;;
;drom.ru;19;MAN;https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagach-man-tgx-18.400-4x2-bls-86445844.html;2018;;Truck;5788912;4850000;;
;drom.ru;162;MAN;https://spec.drom.ru/irkutsk/truck/truck-tractor/sedelnyj-tjagach-lesovoz-84939527.html;2016;;Truck;4719261;1800000;;
;drom.ru;33;MAN;https://spec.drom.ru/khabarovsk/truck/truck-tractor/man-tgs-33.480-86284192.html;2017;ООО ЛК Сименс Финанс;Truck;5348565;4000000;;
;drom.ru;16;MAN;https://spec.drom.ru/orenburg/truck/truck-tractor/tjagach-shacman-shakman-sx42586v324-6h4-77160200.html;2019;;Truck;6304757;5400000;;
;drom.ru;46;KAMAZ;https://spec.drom.ru/perm/truck/truck-tractor/sedelnyj-tjagach-kamaz-65116-66429851.html;2018;TECHSPECKAM, ООО;Truck;4528664;3100000;;
;drom.ru;44;KAMAZ;https://spec.drom.ru/miass/truck/truck-tractor/sedelnyj-tjagach-kamaz-43118-6h6-spalnoe-mesto-83474682.html;2017;;Truck;3986932;2750000;;
;drom.ru;13;KAMAZ;https://spec.drom.ru/moskva/truck/truck-tractor/kamaz-5490-neo-86839065.html;2017;;Truck;3162823;2790000;;
;drom.ru;53;MAN;https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagachfoton-auman-est-a-1846-amt-86689419.html;2017;;Truck;5045977;3290000;;
;drom.ru;42;MERCEDES;https://spec.drom.ru/kemerovo/truck/truck-tractor/mercedes-benz-axor-1840-81431226.html;2015;;Truck;3695349;2600000;;
;drom.ru;19;MAN;https://spec.drom.ru/khabarovsk/truck/truck-tractor/sedelnyj-tjagach-man-tgs-33.480-6x4-bbs-ww-85520872.html;2015;ДМИ;Truck;4049231;3400000;;
;drom.ru;34;KAMAZ;https://spec.drom.ru/sankt-peterburg/truck/truck-tractor/sedelnyj-tjagach-kamaz-2016-goda-87003848.html;2016;;Truck;2279510;1690000;;
;drom.ru;44;KAMAZ;https://spec.drom.ru/miass/truck/truck-tractor/sedelnyj-tjagach-kamaz-43118-6h6-spalnik-vezdehod-2017-83416596.html;2017;;Truck;3986932;2750000;;
;drom.ru;40;KAMAZ;https://spec.drom.ru/iskitim/truck/truck-tractor/prodam-kamaz-65116-a4-81867708.html;2016;;Truck;2662669;1900000;;
;drom.ru;22;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-65116-72652951.html;2016;;Truck;2662669;2175000;;
