Тип ТС,Марка,Модель,Год выпуска,Цена поставщика,Регион склада,URL авто,Пробег,Тип КПП,Колесная формула,Мощность двигателя,Сидений,Спальных мест,Поставщик,Наша расчетная цена,Выгода,Рекомендация,Мин. аванс,Лизинговый платеж 0% / 48 мес.,Федеральный округ,Цена с НДС,Comment,Качество верификации,Верификация
Тягач,КамАЗ,65116-А4,2017,1400000,Красноярск,https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/kamaz-65116-a4-2017-88410801.html,,,6x4,,,,,3530000,2130000,Горячая цена! Срочно брать!,0,,СФО,,,"0,47057",unclear
Тягач,КамАЗ,43118,2020,3050000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-43118-vezdehod-6h6-75244195.html,,,6x6,,,,,5180000,2130000,Горячая цена! Срочно брать!,0,98000.0,ПФО,,,"0,41685",unclear
Тягач,КамАЗ,65116 НОВЫЙ БЕЗ ПРОБЕГА,2020,2950000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-65116-evro-2-80155386.html,,,6x4,,,,,5040000,2090000,Горячая цена! Срочно брать!,0,94000.0,ПФО,,,"0,41685",unclear
Тягач,КамАЗ,65116,2020,2950000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-65116-tjagach-evro-2-61133409.html,,,6x4,,,,АВАНТАЖ,5040000,2090000,Горячая цена! Срочно брать!,0,94000.0,ПФО,,,"0,41685",unclear
Тягач,КамАЗ,65116,2020,2970000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-65116-tjagach-evro-2-novyj-81638648.html,,,6x4,,,,,5040000,2070000,Горячая цена! Срочно брать!,0,95000.0,ПФО,,,"0,41685",unclear
Тягач,КамАЗ,65225,2018,2700000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-65225-71569464.html,,,6x6,,,,,4760000,2060000,Горячая цена! Срочно брать!,0,86000.0,ПФО,,,"0,41685",unclear
Тягач,КамАЗ,5490-S5,2018,2150000,Кемерово,https://spec.drom.ru/kemerovo/truck/truck-tractor/tjagach-sedelnyj-kamaz-5490-s5-88296490.html,,,4x2,,,,ГК САЛК,4210000,2060000,Горячая цена! Срочно брать!,0,69000.0,,,,"0,39681",unclear
Тягач,КамАЗ,43118,2020,3120000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-43118-tjagach-72177895.html,,,6x6,,,,АВАНТАЖ,5180000,2060000,Горячая цена! Срочно брать!,0,100000.0,ПФО,,,"0,41685",unclear
Тягач,КамАЗ,44108,2020,3150000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-novyj-evro-2-69734791.html,,,6x6,,,,АВАНТАЖ,5180000,2030000,Горячая цена! Срочно брать!,0,101000.0,ПФО,,,"0,43115",unclear
Тягач,КамАЗ,44108,2019,2989000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-sedelnyj-tjagach-6h6-vezdehod-75362147.html,,,6x6,,,,,4980000,1991000,Горячая цена! Срочно брать!,0,96000.0,ПФО,,,"0,41685",unclear
Тягач,Scania,G400,2017,5000000,Москва,https://spec.drom.ru/moskva/truck/truck-tractor/tjagach-skanija-g400-la6x2-avtomat-2017g-86931386.html,,,6x2,,,,,6980000,1980000,Горячая цена! Срочно брать!,0,160000.0,ЦФО,,,"0,31418",unclear
Тягач,КамАЗ,65116,2020,3070000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-65116-sedelnyj-tjagach-evro-3-novyj-81638933.html,,,6x4,,,,,5040000,1970000,Горячая цена! Срочно брать!,0,98000.0,ПФО,,,"0,43115",unclear
Тягач,КамАЗ,44108,2020,3220000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-tjagach-81277476.html,,,6x6,,,,АВАНТАЖ,5180000,1960000,Горячая цена! Срочно брать!,0,103000.0,ПФО,,,"0,43115",unclear
Тягач,КамАЗ,44108,2020,3100000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-sedelnyj-tjagach-vezdehod-novyj-46166818.html,,,6x4,,,,АВАНТАЖ,5040000,1940000,Горячая цена! Срочно брать!,0,99000.0,ПФО,,,"0,43115",unclear
Тягач,КамАЗ,6460,2018,2600000,Хабаровск,https://spec.drom.ru/khabarovsk/truck/truck-tractor/scepka-kamaz-tjagach-6460-bortovoj-pricep-77441633.html,,,6x4,,,,,4530000,1930000,Горячая цена! Срочно брать!,0,83000.0,,,,"0,44322",unclear
Тягач,Mercedes-Benz,Actros,2017,3800000,Москва,https://auto.ru/artic/used/sale/mercedes/actros_t/16499886-e547c526/,570000.0,AT,6x4,410.0,2.0,1.0,,5730000,1930000,Горячая цена! Срочно брать!,0,122000.0,ЦФО,Цена с НДС,Родной пробег  Обслуживали у дилера Возможна продажа Сцепки с самосвальным полуприцепом Bodex 35куб Цена за сцепку 5мил  В наличии три сцепки все в работе  Цена без НДС  Торг уместен,"0,37435",ok
Тягач,КамАЗ,65116-А4,2017,1600000,Москва,https://spec.drom.ru/moskva/truck/truck-tractor/kamaz-65116-a4-83365277.html,,,6x4,,,,Автопаркс,3530000,1930000,Горячая цена! Срочно брать!,0,,ЦФО,,,1,ok
Тягач,КамАЗ,65116 НОВЫЙ БЕЗ ПРОБЕГА,2020,3120000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-65116-novyj-bez-probega-80155127.html,,,6x4,,,,,5040000,1920000,Горячая цена! Срочно брать!,0,100000.0,ПФО,,,"0,43115",unclear
Тягач,КамАЗ,65116-7010-48,2020,3750000,Москва,https://spec.drom.ru/moskva/truck/truck-tractor/tjagach-kamaz-65116-7010-48-48560741.html,,,6x2,,,,,5640000,1890000,Горячая цена! Срочно брать!,0,120000.0,ЦФО,,,"0,39648",unclear
Тягач,КамАЗ,53504,2020,3317000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-53504-6020-46-tjagach-vezdehod-58362111.html,,,6x6,,,,,5180000,1863000,Горячая цена! Срочно брать!,0,106000.0,ПФО,,,"0,41043",unclear
Тягач,КамАЗ,44108,2020,3350000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-53504-tjagach-novyj-evro-2-84538241.html,,,6x6,,,,,5180000,1830000,Горячая цена! Срочно брать!,0,107000.0,ПФО,,,"0,41799",unclear
Тягач,КамАЗ,44108,2020,3350000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-53504-tjagach-vezdehod-84115209.html,,,6x6,,,,АВАНТАЖ,5180000,1830000,Горячая цена! Срочно брать!,0,107000.0,ПФО,,,"0,41799",unclear
Тягач,КамАЗ,44108,2020,3350000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/sedelnyj-tjagach-kamaz-44108-vezdehod-novyj-84115357.html,,,6x6,,,,АВАНТАЖ,5180000,1830000,Горячая цена! Срочно брать!,0,107000.0,ПФО,,,"0,41799",unclear
Тягач,КамАЗ,44108,2020,3350000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-tjagach-vezdehod-evro-2-78119935.html,,,6x6,,,,АВАНТАЖ,5180000,1830000,Горячая цена! Срочно брать!,0,107000.0,ПФО,,,"0,41799",unclear
Тягач,КамАЗ,44108,2019,3180000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-75232495.html,,,6x6,,,,,4980000,1800000,Горячая цена! Срочно брать!,0,102000.0,ПФО,,,"0,43115",unclear
Тягач,КамАЗ,53504,2020,3390000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-53504-evro-3-tnvd-jazda-68009066.html,,,6x6,,,,,5180000,1790000,Горячая цена! Срочно брать!,0,108000.0,ПФО,,,"0,42106",unclear
