Comment,Site,Benefit,Make,URL,Year,Supplier,VehicleType,Price 1,Price,Mileage,VATIncluded,Result,confidence
,drom.ru,24,KAMAZ,https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagach-kamaz-2017-g-v-86809749.html,2017,"ООО ""Глобал Трак Сейлс""",Truck,3162823,2550000,,,unclear,0.36855
,drom.ru,41,KAMAZ,https://spec.drom.ru/surgut/truck/truck-tractor/kamaz-53504-46-tjagach-b-u-2016-g-52365-km-86925360.html,2016,"ООО ""РБА-Урал""",Truck,3249251,2290000,,,unclear,0.47525
,drom.ru,38,KAMAZ,https://spec.drom.ru/penza/truck/truck-tractor/kamaz-65116-6010-48-tjagach-evro-5-72287661.html,2020,,Truck,5040171,3630000,,,unclear,0.31989
,drom.ru,34,KAMAZ,https://spec.drom.ru/sankt-peterburg/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2016-g-v-79315786.html,2016,,Truck,2279510,1690000,,,no_vat,0.47989
,drom.ru,24,KAMAZ,https://spec.drom.ru/krasnodar/truck/truck-tractor/kamaz-65115-sedelnyj-tjagach-komplektacija-dopog-84563097.html,2020,"ООО ""ЮГБИЗНЕСАВТО""",Truck,5040171,4050000,,,unclear,0.37787
,drom.ru,42,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-53504-tjagach-tnvd-jazda-40845150.html,2020,АВАНТАЖ,Truck,5176003,3620000,,,unclear,0.37211
,drom.ru,55,KAMAZ,https://spec.drom.ru/perm/truck/truck-tractor/sedelnyj-tjagach-kamaz-44108-53504-50060540.html,2019,"TECHSPECKAM, ООО",Truck,4978053,3200000,,,unclear,0.43115
,drom.ru,40,MAZ,https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/gruzovoj-sedelnyj-tjagach-maz-probeg76813-85576905.html,2017,,Truck,2521811,1800000,,,no_vat,0.49197
,drom.ru,17,KAMAZ,https://spec.drom.ru/perm/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2015-g-v-85468761.html,2015,,Truck,1870492,1590000,,,unclear,0.34823
,drom.ru,31,KAMAZ,https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-s-probegom-85500990.html,2018,"ООО ""КСА""",Truck,4206160,3200000,,,unclear,0.34183
,drom.ru,76,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-65225-71569464.html,2018,,Truck,4757150,2700000,,,unclear,0.41685
,drom.ru,10,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-65206-t-5-86540148.html,2017,,Truck,3530465,3200000,,,unclear,0.3551
,drom.ru,44,KAMAZ,https://spec.drom.ru/ekaterinburg/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2016-g-v-86714346.html,2016,Global Truck Sales,Truck,2279510,1580000,,,unclear,0.48474
,drom.ru,75,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-tjagach-voennyj-novyj-bez-probega-73111053.html,2020,АВАНТАЖ,Truck,5176003,2950000,,,unclear,0.41685
,drom.ru,31,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-43118-benzovoz-atz-tnvd-jazda-53765111.html,2020,АВАНТАЖ,Truck,5176003,3950000,,,unclear,0.32711
,drom.ru,18,KAMAZ,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/gruzovoj-tjagach-sedelnyj-kamaz-43118-rs-vezdehod-77469335.html,2020,,Truck,5176003,4380000,,,unclear,0.48913
,drom.ru,45,MAZ,https://spec.drom.ru/moskva/truck/truck-tractor/prodaetsja-sedelnyj-tjagach-maz-6430s9-2018-goda-84876214.html,2018,Форсаж,Truck,3467353,2390000,,,unclear,0.47236
