confidence,result,user,date,url
1.0,ok,leshchenko,2020-08-05 13:02:35.675000+00:00,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16492850-139ca934/
0.46701000000000004,unclear,auto,2020-10-26 10:51:48.149131+00:00,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16492850-139ca934/
0.46701000000000004,unclear,auto,2020-10-26 10:50:56.215752+00:00,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16492850-139ca934/
0.54461,unclear,auto,2020-10-26 10:50:46.274097+00:00,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16560590-6ed4a025/
0.54461,unclear,auto,2020-10-26 10:51:40.721885+00:00,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16560590-6ed4a025/
0.54461,unclear,auto,2020-10-26 10:51:11.679692+00:00,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16560590-6ed4a025/
0.54461,unclear,auto,2020-10-26 10:51:04.915803+00:00,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16560590-6ed4a025/
0.6558,unclear,auto,2020-10-26 10:50:52.032790+00:00,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16637930-1a8659a2/
0.6558,unclear,auto,2020-10-25 10:51:05.629378+00:00,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16637930-1a8659a2/
0.6558,unclear,auto,2020-10-25 10:50:31.653321+00:00,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16637930-1a8659a2/
0.6558,unclear,auto,2020-10-26 10:50:42.402699+00:00,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16637930-1a8659a2/
0.6558,unclear,auto,2020-10-26 10:51:49.055298+00:00,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16637930-1a8659a2/
0.6558,unclear,auto,2020-10-25 10:50:21.934637+00:00,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16637930-1a8659a2/
0.6558,unclear,auto,2020-10-26 10:51:25.922706+00:00,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16637930-1a8659a2/
0.39754,unclear,auto,2020-10-26 10:51:49.504382+00:00,https://auto.ru/artic/used/sale/kamaz/43118_tyagach/16461650-66417015/
0.39754,unclear,auto,2020-10-26 10:50:56.649834+00:00,https://auto.ru/artic/used/sale/kamaz/43118_tyagach/16461650-66417015/
0.39754,unclear,auto,2020-10-26 10:50:47.171167+00:00,https://auto.ru/artic/used/sale/kamaz/43118_tyagach/16461650-66417015/
0.39754,unclear,auto,2020-10-26 10:51:16.745144+00:00,https://auto.ru/artic/used/sale/kamaz/43118_tyagach/16461650-66417015/
0.37046,unclear,auto,2020-10-26 10:51:41.906985+00:00,https://auto.ru/artic/used/sale/kamaz/43118_tyagach/16571170-f12e34fc/
0.37046,unclear,auto,2020-10-26 10:50:31.873874+00:00,https://auto.ru/artic/used/sale/kamaz/43118_tyagach/16571170-f12e34fc/
0.37046,unclear,auto,2020-10-26 10:51:23.434058+00:00,https://auto.ru/artic/used/sale/kamaz/43118_tyagach/16571170-f12e34fc/
0.37046,unclear,auto,2020-10-26 10:50:55.131529+00:00,https://auto.ru/artic/used/sale/kamaz/43118_tyagach/16571170-f12e34fc/
1.0,ok,leshchenko,2020-04-11 17:15:04.094618+00:00,https://auto.ru/artic/used/sale/kamaz/44108/15855840-d66a2637/
1.0,ok,leshchenko,2020-05-18 16:19:49.227000+00:00,https://auto.ru/artic/used/sale/kamaz/44108/16046394-7d6cbb00/
1.0,unclear,leshchenko,2020-04-11 17:14:30.960084+00:00,https://auto.ru/artic/used/sale/kamaz/44108/16149356-ed8dfdff/
1.0,unclear,leshchenko,2020-04-20 12:56:35.906000+00:00,https://auto.ru/artic/used/sale/kamaz/44108/16409324-bf5ab089/
1.0,unclear,leshchenko,2020-05-18 16:15:46.175000+00:00,https://auto.ru/artic/used/sale/kamaz/44108/16436352-cd3590d2/
1.0,no_vat,leshchenko,2020-04-11 17:15:06.437408+00:00,https://auto.ru/artic/used/sale/kamaz/53504/16197468-9b4e128c/
1.0,ok,leshchenko,2020-06-26 13:26:04.072000+00:00,https://auto.ru/artic/used/sale/kamaz/53504/16199482-9f8d48e6/
1.0,no_vat,leshchenko,2020-04-18 12:20:22.908000+00:00,https://auto.ru/artic/used/sale/kamaz/53504/16420230-739b933f/
0.49665,unclear,auto,2020-10-26 10:50:57.586600+00:00,https://auto.ru/artic/used/sale/kamaz/53504/16420230-739b933f/
0.49665,unclear,auto,2020-10-26 10:51:14.165452+00:00,https://auto.ru/artic/used/sale/kamaz/53504/16420230-739b933f/
