Model;URL;Year;Price;Mileage;VehicleType;Make;Supplier;VATIncluded;Location
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16559270-9a27dd55/;2016;3599000;490000;Refrigerator;SCHMITZ CARGOBULL;;;Ростов-на-Дону
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16593274-be955f79/;2007;730000;;Curtainsider;SCHMITZ CARGOBULL;PRO АВТО;;Люберцы
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16645458-51a0985f/;2017;4700000;125000;Refrigerator;SCHMITZ CARGOBULL;АГТ-Трейдинг;;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16318138-986679e9/;2008;1699999;;Refrigerator;KRONE;;;Хабаровск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16714587-177be03c/;2010;3400000;555555;Refrigerator;SCHMITZ CARGOBULL;Вираж;Цена с НДС;Санкт-Петербург
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16689122-29b7b0b6/;2008;1830000;1000;Refrigerator;SCHMITZ CARGOBULL;СибТракСкан;;Новосибирск
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16675174-81dd6b76/;2005;750000;500000;Curtainsider;KRONE;;;Красноярск
SD;https://auto.ru/trailer/used/sale/krone/sd/16708710-b34fb037/;2012;1200000;;Curtainsider;KRONE;;;Калуга
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16705060-931acd0c/;2005;1640000;;Refrigerator;SCHMITZ CARGOBULL;;;Воронеж
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16708342-6e74149d/;2011;800000;900000;Curtainsider;SCHMITZ CARGOBULL;;;Санкт-Петербург
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16714663-db3c46d7/;2015;1450000;800000;Curtainsider;SCHMITZ CARGOBULL;M7 TRUCK Набережные Челны;;Набережные Челны
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16711278-ff4e36e9/;2016;4100000;450000;Refrigerator;SCHMITZ CARGOBULL;;;Москва и Московская область
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16567408-d082ea7f/;2011;2550000;990000;Refrigerator;SCHMITZ CARGOBULL;Монополия;Цена с НДС;Санкт-Петербург
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16088414-81979c12/;2012;1200000;500000;Platform;KOGEL;СибТракСкан;;Новосибирск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16698164-304ce3ed/;2008;1550000;;Refrigerator;SCHMITZ CARGOBULL;ГРУЗ СОЮЗ;;Москва
9746;https://auto.ru/trailer/used/sale/tonar/9746/16711234-24334fff/;2017;1550000;;Curtainsider;TONAR;Альфа-Лизинг Россия;;Новосибирск
S24;https://auto.ru/trailer/used/sale/kogel/s24/16652092-9f2e4041/;2018;2250000;150000;Curtainsider;KOGEL;Вираж;Цена с НДС;Санкт-Петербург
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16435980-4caccdb6/;2000;530000;700000;Curtainsider;KRONE;;;Красноярск
SPR;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16692274-dbe9d1ee/;2014;1100000;;Curtainsider;SCHMITZ CARGOBULL;PRO АВТО;;Люберцы
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16718352-eaedf7d7/;2008;1750000;;Refrigerator;SCHMITZ CARGOBULL;BS-Truck;;Набережные Челны
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16387516-55888ecb/;2012;1250000;;Curtainsider;SCHMITZ CARGOBULL;СибТракСкан;;Новосибирск
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16697462-e1a53945/;2005;620000;;Curtainsider;KRONE;Global Truck Sales Екатеринбург;;Екатеринбург
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16711182-ef8e2a3d/;2018;4151000;450000;Refrigerator;SCHMITZ CARGOBULL;M7 TRUCK Набережные Челны;;Набережные Челны
SPR;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16718120-665c1a18/;2014;1280000;;Platform;SCHMITZ CARGOBULL;Global Truck Sales Екатеринбург;Цена с НДС;Екатеринбург
Profi Liner;https://auto.ru/trailer/used/sale/krone/profi_liner/16664303-12021e11/;2008;940000;;Curtainsider;KRONE;Транзит-Дон Краснодар;Цена с НДС;Краснодар
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16213868-9cd2b6b3/;2013;1350000;770000;Curtainsider;KOGEL;;;Смоленск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16695728-c43cbccb/;2011;2349000;745015;Refrigerator;SCHMITZ CARGOBULL;ББС ГРУПП;;Мытищи
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16234408-ed00a5bb/;2008;800000;;Platform;SCHMITZ CARGOBULL;;;Петрозаводск
Krone;https://auto.ru/trailer/used/sale/krone/krone/16530980-cb008d23/;2011;2400000;350000;Refrigerator;KRONE;Транзит-Дон Гипермаркет;;Ростов-на-Дону
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16631316-d225cf0e/;2018;2390000;120000;Curtainsider;SCHMITZ CARGOBULL;АГТ-Трейдинг;;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16619244-3bcb050e/;2017;2100000;250000;Curtainsider;KRONE;ООО Группа Авто;Цена с НДС;Рязань
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16684734-b01c1b31/;2014;3000000;500000;Refrigerator;SCHMITZ CARGOBULL;;;Подольск
;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16619560-56f8ac60/;2015;1593000;200000;Curtainsider;MEUSBURGER;M7 TRUCK Москва;;Чёрная Грязь
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16662644-b7a29a82/;2013;1349000;;Curtainsider;SCHMITZ CARGOBULL;PRO АВТО;;Люберцы
SV24;https://auto.ru/trailer/used/sale/kogel/sv24/16676900-cf95bd45/;2009;1800000;1000000;Refrigerator;KOGEL;;;Москва
SDR 27;https://auto.ru/trailer/used/sale/krone/sdr_27/16690270-d7de3565/;2004;1700000;;Refrigerator;KRONE;;;Михайловск
Profi Liner;https://auto.ru/trailer/used/sale/krone/profi_liner/16717018-98d1754a/;2018;2230000;350000;Curtainsider;KRONE;M7 TRUCK Набережные Челны;;Набережные Челны
SD;https://auto.ru/trailer/used/sale/krone/sd/16689368-1b44ee5d/;2017;4490000;50000;Refrigerator;KRONE;Юнион КРОНЕ Кимовск;;Кимовск
SD;https://auto.ru/trailer/used/sale/krone/sd/16689248-bae4821e/;2018;4200000;200000;Refrigerator;KRONE;АТРАКС;;Набережные Челны
Profi Liner;https://auto.ru/trailer/used/sale/krone/profi_liner/16663296-fb531cc2/;2018;2370000;300000;Curtainsider;KRONE;M7 TRUCK Набережные Челны;;Набережные Челны
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16717662-8d271a7d/;2012;2570000;;Refrigerator;SCHMITZ CARGOBULL;Глобал Трак Сейлс Москва;Цена с НДС;Москва
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16682066-bcdd3253/;2015;1770000;;Curtainsider;SCHMITZ CARGOBULL;;;Нижний Новгород
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16694688-35140a2a/;2002;1100000;;Refrigerator;SCHMITZ CARGOBULL;;;Чита
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16725038-ff78061a/;2015;3350000;500000;Refrigerator;SCHMITZ CARGOBULL;;;Казань
