price,vat_included,year,mileage,location,url,make,name,supplier,gear,hp,formula,cab
3950000,Цена с НДС,2015,304725,Домодедово,https://auto.ru/artic/used/sale/scania/p_1/16599038-55df0a9e/,SCANIA,Scania P-series,"ООО""Трейд Моторс",механическая,440,4x2,2-х местная с 1 спальным
3485000,,2018,190541,Авдон,https://auto.ru/artic/used/sale/kamaz/5490_neo/16544303-55fc75e2/,KAMAZ,КамАЗ 5490 NEO,M7 TRUCK Уфа,автоматическая,401,4x2,2-х местная с 1 спальным
3485000,,2018,238667,Авдон,https://auto.ru/artic/used/sale/kamaz/5490_neo/16542264-d2c8f5d1/,KAMAZ,КамАЗ 5490 NEO,M7 TRUCK Уфа,автоматическая,401,4x2,2-х местная с 1 спальным
4995000,Цена с НДС,2017,470890,Москва,https://auto.ru/artic/used/sale/mercedes/actros_t/16638770-e009019a/,MERCEDES,Mercedes-Benz Actros,ГРУЗ СОЮЗ,автоматическая,410,4x2,2-х местная с 2 спальными
1300000,,2003,1400000,Урай,https://auto.ru/artic/used/sale/peterbilt/387_t/15990472-73317bc0/,PETERBILT,Peterbilt 387,,автоматическая,430,6x4,2-х местная с 2 спальными
1150000,,2002,150000,Нижний Новгород,https://auto.ru/artic/used/sale/daf/xf95/16639244-2ec7630d/,DAF,DAF 95XF,,механическая,480,4x2,2-х местная с 2 спальными
1600000,,2003,1,Челябинск,https://auto.ru/artic/used/sale/volvo/vnl_tractor/16639246-5e196433/,VOLVO,Volvo VNL,,полуавтоматическая,12,белый,2-х местная с 2 спальными
480000,,2001,1500000,Москва,https://auto.ru/artic/used/sale/renault/magnum_ae/16605408-60fd2c89/,RENAULT,Renault Magnum,,механическая,400,4x2,2-х местная с 2 спальными
590000,,2002,190000,Нижний Новгород,https://auto.ru/artic/used/sale/iveco/eurostar_tractor/16639100-da075aa8/,IVECO,IVECO EuroStar,,полуавтоматическая,430,4x2,2-х местная с 2 спальными
1599000,Цена с НДС,2008,1189722,Москва,https://auto.ru/artic/used/sale/mercedes/actros_t/16574972-9d92a0a3/,MERCEDES,Mercedes-Benz Actros,GROSS AUTO,полуавтоматическая,440,4x2,2-х местная с 1 спальным
1050000,,2008,1249000,Москва,https://auto.ru/artic/used/sale/scania/p_1/16537340-7fbf533c/,SCANIA,Scania P-series,ГРУЗОВИК-24,механическая,340,4x2,2-х местная с 1 спальным
1530000,,2009,1040670,,https://auto.ru/artic/used/sale/daf/xf105/16385848-0edfca26/,DAF,DAF XF105,M7 TRUCK Нижний Новгород,механическая,410,4x2,2-х местная с 2 спальными
820000,,2006,1425000,Москва,https://auto.ru/artic/used/sale/man/tga_1/16144748-dfc7ed5a/,MAN,MAN TGA,M7 TRUCK Москва Юг,механическая,360,4x2,2-х местная с 2 спальными
999000,,2008,1059972,Москва,https://auto.ru/artic/used/sale/man/tga_1/16387636-ddedd44b/,MAN,MAN TGA,M7 TRUCK Москва Юг,механическая,390,4x2,2-х местная с 1 спальным
6500000,Цена с НДС,2017,316753,Волгоград,https://auto.ru/artic/used/sale/volvo/fm_tractor/16583880-06879bac/,VOLVO,Volvo FM,ТахографТракСервис,механическая,420,6x4,2-х местная с 1 спальным
3950000,,2015,569392,Москва,https://auto.ru/artic/used/sale/scania/g/15881239-8aa21034/,SCANIA,Scania G-series,GROSS AUTO,механическая,441,4x2,2-х местная с 2 спальными
5900000,Цена с НДС,2017,555000,Солнечногорск,https://auto.ru/artic/used/sale/volvo/fh_tractor/16635462-4f334028/,VOLVO,Volvo FH,ТРАНСАЛЬЯНС Москва,автоматическая,460,4x2,2-х местная с 2 спальными
1699999,,2015,595000,Москва,https://auto.ru/artic/used/sale/kamaz/5490/16555754-b8e6b445/,KAMAZ,КамАЗ 5490,ГРУЗОВИК-24,механическая,401,4x2,2-х местная с 1 спальным
3565000,,2018,195824,Набережные Челны,https://auto.ru/artic/used/sale/kamaz/5490/16639106-444c5f21/,KAMAZ,КамАЗ 5490,M7 TRUCK Набережные Челны,механическая,12,4x2,
1000000,,2004,658390,Люберцы,https://auto.ru/artic/used/sale/mercedes/actros_t/16529042-7b552420/,MERCEDES,Mercedes-Benz Actros,ТРАК ПЛАТФОРМА,полуавтоматическая,408,4x2,2-х местная с 2 спальными
950000,,2003,700000,Люберцы,https://auto.ru/artic/used/sale/man/26_1/16495414-4d6c4348/,MAN,MAN 26,ТРАК ПЛАТФОРМА,механическая,409,4x2,2-х местная с 1 спальным
990000,,2003,613500,Люберцы,https://auto.ru/artic/used/sale/man/tga_1/16605680-72b342a9/,MAN,MAN TGA,ТРАК ПЛАТФОРМА,механическая,409,4x2,2-х местная с 2 спальными
1190000,,2003,971840,Люберцы,https://auto.ru/artic/used/sale/mercedes/actros_t/16532808-ce90beca/,MERCEDES,Mercedes-Benz Actros,ТРАК ПЛАТФОРМА,автоматическая,428,6x2,2-х местная с 2 спальными
830000,,2003,1,Тучково,https://auto.ru/artic/used/sale/daf/cf_series_1/16638248-66ca6379/,DAF,DAF CF-series,,механическая,430,4x2,2-х местная с 1 спальным
2020000,,2009,1052202,Люберцы,https://auto.ru/artic/used/sale/daf/xf105/16637848-d7945138/,DAF,DAF XF105,ТРАК ПЛАТФОРМА,механическая,460,4x2,2-х местная с 2 спальными
2300000,,2008,1290000,Жуковский,https://auto.ru/artic/used/sale/volvo/fh_tractor/16639166-c94d089d/,VOLVO,Volvo FH,,автоматическая,400,4x2,2-х местная с 2 спальными
870000,,2008,857000,Москва,https://auto.ru/artic/used/sale/man/tga_1/16620510-c13ff6a7/,MAN,MAN TGA,ГРУЗОВИК-24,механическая,390,4x2,2-х местная с 2 спальными
990000,,2007,1284253,Чёрная Грязь,https://auto.ru/artic/used/sale/scania/p_1/16402692-d5a97a64/,SCANIA,Scania P-series,M7 TRUCK Москва,механическая,12,4x2,
1020000,,2008,868000,Москва,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16609869-3fe02489/,IVECO,IVECO Stralis,ГРУЗ СОЮЗ,механическая,350,4x2,2-х местная с 1 спальным
