Model;URL;Year;Price;Mileage;VehicleType;Make;Supplier;VATIncluded;Location
SDC 27;https://auto.ru/trailer/used/sale/krone/sdc_27/16459854-4b10d64b/;2005;1080000;350000;Refrigerator;KRONE;;;Ибреси
Coil Liner;https://auto.ru/trailer/used/sale/krone/coil_liner/16377964-f9035e2d/;2012;2700000;;Refrigerator;KRONE;;;Пятигорск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16573984-f0569e5a/;2012;2630000;200000;Refrigerator;SCHMITZ CARGOBULL;M7 TRUCK Москва;Цена с НДС;Чёрная Грязь
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16559446-6403c4d1/;2016;1850000;;Curtainsider;SCHMITZ CARGOBULL;ГРУЗ СОЮЗ;;Москва
Coil Liner;https://auto.ru/trailer/used/sale/krone/coil_liner/16622568-0dd18c32/;2008;920000;300000;Curtainsider;KRONE;M7 TRUCK Москва;Цена с НДС;Чёрная Грязь
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16619614-1d3ab843/;2018;4750000;;Refrigerator;SCHMITZ CARGOBULL;ClassTrucks;;Тосно
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16635476-e5571e1e/;2005;550000;1000000;Curtainsider;KRONE;;;Москва и Московская область
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16619156-ebcec73f/;2007;750000;900000;Curtainsider;KRONE;;;Брянск
SD;https://auto.ru/trailer/used/sale/krone/sd/16503196-8e1aa3a3/;2018;3900000;150000;Refrigerator;KRONE;Mercedes-Benz Financial Services Rus;;Москва
Krone;https://auto.ru/trailer/used/sale/krone/krone/16627722-fc6e3fa9/;2016;4030000;;Refrigerator;KRONE;ClassTrucks;;Москва
Krone;https://auto.ru/trailer/used/sale/krone/krone/16617780-ee0582e7/;2006;790000;;Platform;KRONE;;;Кострома
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16566258-d39b767d/;2007;550000;;Platform;KRONE;;;Старый Оскол
SD;https://auto.ru/trailer/used/sale/krone/sd/16021824-9e4a50ce/;2008;1000000;800000;Refrigerator;KRONE;;;Кострома
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16486840-196142ee/;2015;3399777;500000;Refrigerator;SCHMITZ CARGOBULL;ТТ777;;Москва
Krone;https://auto.ru/trailer/used/sale/krone/krone/16525968-cc744c4b/;2005;650000;;Platform;KRONE;;;Киров
SD;https://auto.ru/trailer/used/sale/krone/sd/16307578-0eee1f3c/;2012;1400000;45000;Curtainsider;KRONE;;;Воронеж
SV24;https://auto.ru/trailer/used/sale/kogel/sv24/16616980-8b8843cd/;2008;1399000;200000;Refrigerator;KOGEL;Лаки Логистик;;Москва
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16338506-face4b78/;2007;750000;880000;Curtainsider;KOGEL;;;Бийск
SD;https://auto.ru/trailer/used/sale/krone/sd/16552674-aa7bba3d/;2018;2450000;71000;Curtainsider;KRONE;Группа ГРАССМАНН и ЛОМТЕВ;Цена с НДС;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16634662-e8397bae/;2004;620000;900000;Platform;SCHMITZ CARGOBULL;;;Нижний Новгород
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16511044-e509ed5f/;2009;2500000;;Refrigerator;SCHMITZ CARGOBULL;;;Муром
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16587252-7093554c/;2002;980000;;Refrigerator;SCHMITZ CARGOBULL;;;Иркутск
SD;https://auto.ru/trailer/used/sale/krone/sd/16604979-6d738a78/;2017;1980000;50;Curtainsider;KRONE;Юнион КРОНЕ Кимовск;;Кимовск
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16554126-272870a1/;2006;700000;1000000;Curtainsider;SCHMITZ CARGOBULL;M7 TRUCK Казань;;Новониколаевский
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16628008-49afe8c3/;2013;3300000;;Refrigerator;SCHMITZ CARGOBULL;Global Truck Sales Москва Север;Цена с НДС;Москва
Mega Liner;https://auto.ru/trailer/used/sale/krone/mega_liner/16476142-ac95fe90/;2009;650000;500000;Curtainsider;KRONE;SGM-GROUP;;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16621006-08405677/;2010;2250000;999999;Refrigerator;KRONE;;;Саранск
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16206504-3ca1c23c/;2007;600000;500000;Curtainsider;KRONE;;;Новосибирск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16215520-d586638c/;2007;1450000;;Refrigerator;SCHMITZ CARGOBULL;Совкомбанк-Лизинг Москва;;Пермский край
SPR;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16535582-abaa5526/;2008;630000;;Curtainsider;SCHMITZ CARGOBULL;ГРУЗ СОЮЗ;;Москва
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16622610-24284739/;2007;700000;;Curtainsider;KRONE;ГРУЗ СОЮЗ;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16614204-f7008172/;2017;4380000;;Refrigerator;SCHMITZ CARGOBULL;ClassTrucks;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16627724-4e17b5e8/;2018;4720000;;Refrigerator;SCHMITZ CARGOBULL;ClassTrucks;;Москва
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16586176-c60826e4/;2008;950000;;Curtainsider;SCHMITZ CARGOBULL;GROSS AUTO;;Москва
9746;https://auto.ru/trailer/used/sale/tonar/9746/16455590-f5f30023/;2017;1200000;300000;Curtainsider;TONAR;;Цена с НДС;Ангарск
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16628064-8f28fd7d/;2013;1250000;;Curtainsider;KOGEL;BS-Truck;;Набережные Челны
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16620230-f450cd27/;2006;650000;350000;Curtainsider;SCHMITZ CARGOBULL;;;Москва
S24;https://auto.ru/trailer/used/sale/kogel/s24/16460794-b6725f1a/;2018;3900000;100000;Refrigerator;KOGEL;КомТоргТранс;;Подольск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16630682-eded2024/;2017;4370000;;Refrigerator;SCHMITZ CARGOBULL;ClassTrucks;;Москва
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16571104-d6674fdc/;2012;500000;;Platform;KOGEL;Авторынок МАКСКАР;;Новосибирск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16456218-1249e552/;2010;2300000;;Refrigerator;SCHMITZ CARGOBULL;Юнион КРОНЕ Кимовск;;Кимовск
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/15463611-8537fab0/;2003;450000;900000;Platform;KRONE;;;Псков
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16585540-700f0e4e/;2017;2190000;;Curtainsider;SCHMITZ CARGOBULL;СГМ - ГРУПП;;Москва
9746;https://auto.ru/trailer/used/sale/tonar/9746/16578346-be5d3168/;2018;850000;100000;Platform;TONAR;;;Санкт-Петербург
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16636834-fff6ad13/;2007;450000;;Curtainsider;SCHMITZ CARGOBULL;;;Назарово
Cool Liner;https://auto.ru/trailer/used/sale/krone/cool_liner/16619274-c9580d67/;2017;4600000;200000;Refrigerator;KRONE;ООО Группа Авто;Цена с НДС;Рязань
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16468462-bdd3f311/;2018;2250000;;Curtainsider;SCHMITZ CARGOBULL;;;Тула
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16559810-a8d69fd1/;2006;690000;890000;Curtainsider;KOGEL;;;Вязьма
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16594922-45848f3c/;2007;400000;;Platform;KOGEL;ГРУЗ СОЮЗ;;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16417313-fa1ffe33/;2004;550000;500000;Platform;KRONE;;;Калуга
Multimodel;https://auto.ru/trailer/used/sale/kaessbohrer/multimodel/16630472-546d051e/;2017;1850000;369000;Curtainsider;KAESSBOHRER;Авторынок МАКСКАР;;Новосибирск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/15854272-44cd3be5/;2001;550000;500000;Refrigerator;SCHMITZ CARGOBULL;;;Брянск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16463420-aba8fc13/;2008;1950000;;Refrigerator;SCHMITZ CARGOBULL;Юнион КРОНЕ Кимовск;;Кимовск
Profi Liner;https://auto.ru/trailer/used/sale/krone/profi_liner/16615294-b2d56ce4/;2012;1330000;700;Curtainsider;KRONE;;;Красноярск
SD;https://auto.ru/trailer/used/sale/krone/sd/16625702-c5bc714d/;2018;4700000;154000;Refrigerator;KRONE;Группа Милан;Цена с НДС;Санкт-Петербург
SDR 27;https://auto.ru/trailer/used/sale/krone/sdr_27/15593410-2e146e2c/;2004;1200000;900000;Refrigerator;KRONE;;;Брянск
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16409788-12595380/;2015;1390000;500;Curtainsider;SCHMITZ CARGOBULL;;;Москва
Cool Liner;https://auto.ru/trailer/used/sale/krone/cool_liner/16384118-d7de078c/;2003;498000;;Refrigerator;KRONE;;;Васильево
SN24;https://auto.ru/trailer/new/sale/kogel/sn24/15872751-be19c676/;2018;2746809;;Platform;KOGEL;ЮгТрейлер;;Краснодар
NS;https://auto.ru/trailer/used/sale/wielton/ns/16620996-19dc8811/;2011;1100000;400000;Curtainsider;WIELTON;;;Белгород
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/15655718-670a91ca/;2016;2000000;223506;Curtainsider;SCHMITZ CARGOBULL;АГТ-Трейдинг;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16404112-1ce36608/;2018;4300000;200000;Refrigerator;SCHMITZ CARGOBULL;ЗилантМоторс;;Казань
Profi Liner;https://auto.ru/trailer/used/sale/krone/profi_liner/16527224-d4da335f/;2012;1170000;200000;Platform;KRONE;M7 TRUCK Москва;;Чёрная Грязь
SD;https://auto.ru/trailer/used/sale/krone/sd/16636338-f102992f/;2019;4760000;130000;Refrigerator;KRONE;Группа Милан;Цена с НДС;Санкт-Петербург
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16482712-668f67a4/;2001;430000;;Platform;KRONE;;;Ковернино
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16615320-85a2ce06/;2015;3500000;500;Refrigerator;SCHMITZ CARGOBULL;;;Ачинск
SD;https://auto.ru/trailer/used/sale/krone/sd/16632908-66f518c9/;2011;1130000;;Curtainsider;KRONE;;;Санкт-Петербург
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16456208-e7a2ef46/;2010;2300000;;Refrigerator;SCHMITZ CARGOBULL;Юнион КРОНЕ Кимовск;;Кимовск
Cool Liner;https://auto.ru/trailer/used/sale/krone/cool_liner/16619534-4abb9ec0/;2011;2549000;200000;Refrigerator;KRONE;M7 TRUCK Москва Юг;;Москва
S24;https://auto.ru/trailer/used/sale/kogel/s24/16636900-33146c73/;2014;1460000;;Curtainsider;KOGEL;Global Truck Sales Екатеринбург;;Екатеринбург
SCB;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16446858-f78f3804/;2019;2380000;20000;Curtainsider;SCHMITZ CARGOBULL;Вест Групп;;Красногорск
SD;https://auto.ru/trailer/used/sale/krone/sd/16625866-53f59370/;2018;4700000;147000;Refrigerator;KRONE;Группа Милан;Цена с НДС;Санкт-Петербург
SDR 27;https://auto.ru/trailer/used/sale/krone/sdr_27/16458264-84cde50b/;2003;1150000;;Refrigerator;KRONE;;;Нижний Новгород
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16620490-dca5442c/;2000;450000;;Curtainsider;SCHMITZ CARGOBULL;;;Челябинская область
Profi Liner;https://auto.ru/trailer/used/sale/krone/profi_liner/16576334-af155f87/;2012;1140000;300000;Platform;KRONE;M7 TRUCK Москва;;Чёрная Грязь
SD;https://auto.ru/trailer/used/sale/krone/sd/16569604-6aeccc50/;2017;1930000;160000;Curtainsider;KRONE;Триера Трак;Цена с НДС;Дубровки
9746;https://auto.ru/trailer/used/sale/tonar/9746/16210260-9e092aee/;2012;699000;;Curtainsider;TONAR;Трак-Сток;;Москва
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16487032-f3bc9614/;2007;660000;;Curtainsider;KOGEL;Global Truck Sales Москва Север;;Зеленоград
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16612096-37c6bb4e/;2017;4360000;;Refrigerator;SCHMITZ CARGOBULL;ClassTrucks;;Москва
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16413802-13b895d6/;2003;450000;;Curtainsider;KOGEL;;;Рязань
SD;https://auto.ru/trailer/used/sale/krone/sd/16618104-5701ebbe/;2011;890000;300000;Curtainsider;KRONE;;;Казань
S24;https://auto.ru/trailer/used/sale/kogel/s24/16586478-6e72316d/;2018;4200000;140000;Refrigerator;KOGEL;СТТ-АВТО;Цена с НДС;Домодедово
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16478046-37ca5b32/;2019;2838370;170000;Curtainsider;SCHMITZ CARGOBULL;ГРИН ЛАЙН;;Смоленск
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16543748-e0a35205/;2015;1700000;577000;Platform;KOGEL;ТРАНСАЛЬЯНС Москва;Цена с НДС;Солнечногорск
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16607398-9da2d2f9/;2016;2050000;475000;Curtainsider;SCHMITZ CARGOBULL;ТРАНСАЛЬЯНС Москва;Цена с НДС;Солнечногорск
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16616604-b9bbe369/;2008;820000;450000;Curtainsider;KRONE;;;Москва
;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16555320-d62377e0/;2015;1637000;200000;Curtainsider;MEUSBURGER;M7 TRUCK Москва;;Чёрная Грязь
SPR;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16616640-2810b268/;2008;785000;555555;Curtainsider;SCHMITZ CARGOBULL;;;Санкт-Петербург
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16248256-8b88d618/;2008;800000;100;Curtainsider;SCHMITZ CARGOBULL;;;Ангарск
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16580130-af1b43dd/;2008;750000;200000;Curtainsider;KOGEL;ТРАК ПЛАТФОРМА;;Люберцы
SCS Mega;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs_mega/16617696-2f74cf40/;2015;1397777;600000;Curtainsider;SCHMITZ CARGOBULL;ТТ777;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16592248-6618440c/;2011;2990000;856775;Refrigerator;SCHMITZ CARGOBULL;АГТ-Трейдинг;;Москва
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16589852-ab254cf0/;2000;550000;;Curtainsider;KRONE;;;Ставрополь
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16542212-c51316b6/;2006;580000;;Curtainsider;KRONE;M7 TRUCK Набережные Челны;;Набережные Челны
SW24;https://auto.ru/trailer/used/sale/kogel/sw24/10060502-3a2b4507/;2011;310000;;Refrigerator;KOGEL;Трак-Сток;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16364168-0fe818ae/;2004;1150000;500000;Refrigerator;SCHMITZ CARGOBULL;;;Тульская область
SW 24;https://auto.ru/trailer/used/sale/schmitz_cargobull/sw_24/16397610-9361d079/;2013;1200000;500000;Platform;SCHMITZ CARGOBULL;;;Миасс
SD;https://auto.ru/trailer/used/sale/krone/sd/16584794-9680c663/;2008;599000;850000;Platform;KRONE;Форсаж;;Котельники
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/15991916-4125d209/;2011;3100000;;Refrigerator;SCHMITZ CARGOBULL;;;Челябинск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16612090-e192a50a/;2017;4380000;;Refrigerator;SCHMITZ CARGOBULL;ClassTrucks;;Тосно
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16570604-4940f865/;2019;5493618;250000;Refrigerator;SCHMITZ CARGOBULL;ГРИН ЛАЙН;Цена с НДС;Смоленск
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16610534-b66726fe/;2015;1840000;86000;Curtainsider;KRONE;АЛЬГА;Цена с НДС;Санкт-Петербург
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16583296-bd81adad/;2015;3700000;420000;Refrigerator;SCHMITZ CARGOBULL;Транзит-Дон Москва;;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16622350-7562909d/;2005;750000;870000;Curtainsider;KRONE;Триера Трак;;Дубровки
SW 24;https://auto.ru/trailer/used/sale/schmitz_cargobull/sw_24/16626112-70c95b57/;2016;1900000;;Curtainsider;SCHMITZ CARGOBULL;;;Старая Станица
9746;https://auto.ru/trailer/used/sale/tonar/9746/16625742-99f20849/;2015;870000;99000;Curtainsider;TONAR;ТРАК ПЛАТФОРМА;;Люберцы
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16634764-d2e3b301/;2011;800000;98000;Curtainsider;KOGEL;Транспортная компания РОЗ-ГРУЗ;;Люберцы
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16604820-ccd06233/;2005;1800000;1000000;Refrigerator;SCHMITZ CARGOBULL;;;Брянск
Kassbohrer;https://auto.ru/trailer/used/sale/kaessbohrer/kaessbohrer/16609467-26652462/;2012;1230000;300000;Curtainsider;KAESSBOHRER;EL TRUCKS;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16451420-cbf7165b/;2015;3190000;600000;Refrigerator;SCHMITZ CARGOBULL;;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16441622-44028747/;2018;4500000;400000;Refrigerator;SCHMITZ CARGOBULL;"ООО ""РЕД СТАР"" МАЗ Смоленск";;Смоленск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16404736-91339da7/;2015;3190000;600000;Refrigerator;SCHMITZ CARGOBULL;;;Москва
SDR 27;https://auto.ru/trailer/used/sale/krone/sdr_27/16434370-843d8073/;2005;1550000;800000;Refrigerator;KRONE;;;Кострома
S24;https://auto.ru/trailer/used/sale/kogel/s24/16344520-11a1d056/;2007;850000;650264;Platform;KOGEL;АГТ-Трейдинг;;Москва
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16626676-e781c3c7/;2007;785000;200000;Platform;SCHMITZ CARGOBULL;M7 TRUCK Москва;;Чёрная Грязь
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16523668-2a9d790b/;2007;1990000;;Refrigerator;SCHMITZ CARGOBULL;;;Сочи
9746;https://auto.ru/trailer/used/sale/tonar/9746/16546344-bca7c1d4/;2012;600000;300000;Platform;TONAR;;;Москва
SW 24;https://auto.ru/trailer/used/sale/schmitz_cargobull/sw_24/15646832-111596df/;2000;850000;;Refrigerator;SCHMITZ CARGOBULL;;;Екатеринбург
Cool Liner;https://auto.ru/trailer/used/sale/krone/cool_liner/15630656-dc79afff/;2017;4500000;;Refrigerator;KRONE;;Цена с НДС;Томск
SCB;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16628758-1f384756/;2018;2300000;130000;Curtainsider;SCHMITZ CARGOBULL;АГТ-Трейдинг;;Москва
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16600950-0aeecf59/;2008;1505000;;Refrigerator;KOGEL;ГРУЗ СОЮЗ;Цена с НДС;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16513456-d38b2c1e/;2009;900000;;Curtainsider;KRONE;;;Красноярск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16442020-e732b079/;2012;2599000;500000;Refrigerator;SCHMITZ CARGOBULL;;;Химки
S24;https://auto.ru/trailer/used/sale/kogel/s24/16592106-ef72bf6d/;2018;4150000;;Refrigerator;KOGEL;Global Truck Sales Санкт-Петербург;Цена с НДС;Санкт-Петербург
SD;https://auto.ru/trailer/used/sale/krone/sd/16271388-e3cb2db1/;2011;1350000;779784;Curtainsider;KRONE;;;Екатеринбург
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16504542-31388a12/;2018;4300000;300000;Refrigerator;SCHMITZ CARGOBULL;ЗилантМоторс;Цена с НДС;Казань
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16611252-ce53d17b/;2008;1100000;;Curtainsider;SCHMITZ CARGOBULL;;;Белгород
SCB;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16634864-8d0d7de7/;2017;2200000;180000;Curtainsider;SCHMITZ CARGOBULL;Триера Трак;Цена с НДС;Дубровки
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16560162-59f8af4e/;2017;4650000;170000;Refrigerator;SCHMITZ CARGOBULL;СТТ-АВТО;Цена с НДС;Домодедово
SV24;https://auto.ru/trailer/used/sale/kogel/sv24/16620380-5bdb8ec5/;2007;1399000;;Refrigerator;KOGEL;;;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16614852-76107438/;2008;800000;500000;Curtainsider;KRONE;;;Казань
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16634734-19951b48/;2018;5699629;230000;Refrigerator;SCHMITZ CARGOBULL;Шмитц Каргобулл Руссланд;Цена с НДС;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16535510-a76ee8f7/;2003;1250000;550000;Refrigerator;SCHMITZ CARGOBULL;;;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16178640-63510916/;2011;1100000;350000;Curtainsider;KRONE;;;Екатеринбург
Maxima XS Domestic;https://auto.ru/trailer/used/sale/kaessbohrer/msxima_xs_domestic/16635394-caddba30/;2014;1300000;280000;Platform;KAESSBOHRER;;;Тула
9746;https://auto.ru/trailer/used/sale/tonar/9746/16553002-0d88d27d/;2006;450000;299000;Curtainsider;TONAR;ТРАК ПЛАТФОРМА;;Люберцы
SD;https://auto.ru/trailer/used/sale/krone/sd/16411346-a7e62d29/;2017;4450000;;Refrigerator;KRONE;Группа Милан;;Санкт-Петербург
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16562890-3f491047/;2006;620000;;Curtainsider;SCHMITZ CARGOBULL;;;Первомайский
SD;https://auto.ru/trailer/used/sale/krone/sd/16321786-0237fd0d/;2013;1300000;;Curtainsider;KRONE;;;Тольятти
SD;https://auto.ru/trailer/used/sale/krone/sd/16622498-063987a2/;2007;850000;780000;Curtainsider;KRONE;Триера Трак;Цена с НДС;Дубровки
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16514058-e5054791/;2008;2700000;520000;Refrigerator;SCHMITZ CARGOBULL;АГТ-Трейдинг;;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16590394-ccb4ed58/;2018;3990000;;Refrigerator;KRONE;Global Truck Sales Москва Север;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16629368-bd8bd592/;2002;1200000;1000000;Refrigerator;SCHMITZ CARGOBULL;;;Тюмень
;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16528560-b44df8cc/;2015;1650000;;Curtainsider;MEUSBURGER;Global Truck Sales Москва Север;Цена с НДС;Зеленоград
S24;https://auto.ru/trailer/used/sale/kogel/s24/16463836-c7924692/;2018;3900000;90000;Refrigerator;KOGEL;КомТоргТранс;;Подольск
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16579266-4936aef9/;2019;2700000;120000;Curtainsider;SCHMITZ CARGOBULL;;;Брянск
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16509394-16f3ef59/;2006;650000;;Curtainsider;SCHMITZ CARGOBULL;Трак-Сток;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16628376-c7c6f132/;2017;3800000;280000;Refrigerator;SCHMITZ CARGOBULL;АТРАКС;Цена с НДС;Набережные Челны
SD;https://auto.ru/trailer/used/sale/krone/sd/16570420-0414f2f8/;2011;1330000;450000;Curtainsider;KRONE;Триера Трак;Цена с НДС;Дубровки
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16226288-65d51679/;2015;3500000;;Refrigerator;SCHMITZ CARGOBULL;Шмитц Каргобулл Руссланд;;Москва
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16557712-e7b7c7bd/;2008;770000;299000;Curtainsider;KRONE;ТРАК ПЛАТФОРМА;;Люберцы
SD;https://auto.ru/trailer/used/sale/krone/sd/16539828-4b8662dd/;2011;990000;;Curtainsider;KRONE;ГРУЗ СОЮЗ;;Москва
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16005796-3667d5f5/;2015;1450000;600000;Curtainsider;SCHMITZ CARGOBULL;;;Москва
Mega Liner;https://auto.ru/trailer/used/sale/krone/mega_liner/16607376-4949cfdb/;2017;1800000;333000;Platform;KRONE;ТРАНСАЛЬЯНС Москва;Цена с НДС;Солнечногорск
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16622558-323effcb/;2007;700000;;Curtainsider;KRONE;Global Truck Sales Екатеринбург;;Екатеринбург
S24;https://auto.ru/trailer/used/sale/kogel/s24/16625472-9d17b57f/;2018;4300000;130000;Refrigerator;KOGEL;СТТ-АВТО;Цена с НДС;Домодедово
SPR;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16604588-4ccbccbf/;2007;555000;;Platform;SCHMITZ CARGOBULL;КОМПАНИЯ АВТОМОБИЛИЯ;;Ярославль
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16629828-059d9ab7/;2012;1250000;;Curtainsider;SCHMITZ CARGOBULL;;;Санкт-Петербург
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16600246-2ba212e9/;2008;745000;;Curtainsider;SCHMITZ CARGOBULL;ГРУЗ СОЮЗ;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16406458-5cf4de89/;2017;4500000;300000;Refrigerator;SCHMITZ CARGOBULL;;;Тюмень
SPR;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16629826-a6ae5a48/;2011;1290000;650000;Curtainsider;SCHMITZ CARGOBULL;Триера Трак;Цена с НДС;Дубровки
SD;https://auto.ru/trailer/used/sale/krone/sd/16563390-07b7af13/;2008;1650000;;Refrigerator;KRONE;GROSS AUTO;Цена с НДС;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16612094-6d82947f/;2017;4370000;;Refrigerator;SCHMITZ CARGOBULL;ClassTrucks;;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16591636-ced5b8e0/;2008;930000;600000;Curtainsider;KRONE;;;Саратов
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16636106-1445fd58/;2004;1200000;;Refrigerator;SCHMITZ CARGOBULL;КОМПАНИЯ АВТОМОБИЛИЯ;;Ярославль
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16636334-19440f8b/;2003;1150000;500000;Refrigerator;SCHMITZ CARGOBULL;;;Брянск
