Site;Benefit;Make;link;Year;Supplier;VehicleType;Price 1;Price;Mileage;VATIncluded
drom.ru;23;KAMAZ;https://spec.drom.ru/chelyabinsk/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2015-g-v-81377654.html;2015;;Truck;1870492;1510000;;
drom.ru;25;MAZ;https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/maz-6425h9-84149428.html;2017;;Truck;3137510;2500000;;
drom.ru;24;SCANIA;https://spec.drom.ru/novosibirsk/truck/truck-tractor/prodaetsja-scania-p360-4h2-2017g-v-novosibirske-87655278.html;2017;СИБТРАКСКАН;Truck;5772104;4650000;;
drom.ru;49;KAMAZ;https://spec.drom.ru/yakutsk/truck/truck-tractor/prodaetsja-kamaz-sajgak-53504-87052744.html;2015;;Truck;2847182;1900000;;
drom.ru;18;MAZ;https://spec.drom.ru/moskva/truck/truck-tractor/tjagach-maz-6430v9-1420-010-i-samosvalnyj-polupricep-kassbohrer-2014-g-62158007.html;2015;;Truck;1418836;1200000;;
drom.ru;60;KAMAZ;https://spec.drom.ru/surgut/truck/truck-tractor/prodam-sedelnyj-tjagach-kamaz-44108-85860602.html;2015;;Truck;2847182;1769999;;
drom.ru;45;KAMAZ;https://spec.drom.ru/sankt-peterburg/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2018-g-v-87699677.html;2018;;Truck;4206160;2899000;;
drom.ru;14;MAN;https://spec.drom.ru/bratsk/truck/truck-tractor/tjagach-man-6h4-2017-g-76818556.html;2017;;Truck;5267922;4600000;;
drom.ru;14;KAMAZ;https://spec.drom.ru/perm/truck/truck-tractor/tjagach-kamaz-6450-v-permi-87232878.html;2019;;Truck;4528934;3950000;;
drom.ru;76;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-65225-71569464.html;2018;;Truck;4757150;2700000;;
drom.ru;47;KAMAZ;https://spec.drom.ru/ekaterinburg/truck/truck-tractor/prodam-kamaz-65116-a4-gruzovoj-sedelnyj-tjagach-85009166.html;2017;;Truck;3530465;2400000;;
drom.ru;19;MAN;https://spec.drom.ru/sankt-peterburg/truck/truck-tractor/gruzovoj-tjagach-sedelnyj-man-tgx-18.400-4h2-lls-u-2018-87426788.html;2018;"АО ""Российский аукционный дом""";Truck;6257041;5246000;;
drom.ru;42;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-43118-tjagach-sedelnyj-kamaz-44108-53504-78977770.html;2019;;Truck;4978053;3485000;;
drom.ru;17;KAMAZ;https://spec.drom.ru/nizhnii-novgorod/truck/truck-tractor/gazodizelnyj-kamaz-5490-neo-86131701.html;2018;М7 ТРАК;Truck;4206160;3575000;;
drom.ru;21;KAMAZ;https://spec.drom.ru/moskva/truck/truck-tractor/kamaz-5490-neo-87071923.html;2018;М7 ТРАК;Truck;4206160;3450000;;
drom.ru;25;KAMAZ;https://spec.drom.ru/zavodoukovsk/truck/truck-tractor/kamaz-53504-50-belyj-sever-79652683.html;2019;;Truck;4978053;3980000;;
drom.ru;38;KAMAZ;https://spec.drom.ru/chelyabinsk/truck/truck-tractor/prodam-tjagach-kamaz-84025212.html;2015;;Truck;1870492;1350000;;
drom.ru;56;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-75232495.html;2019;;Truck;4978053;3180000;;
drom.ru;67;MAZ;https://spec.drom.ru/novosibirsk/truck/truck-tractor/maz-643029-1420-012-87344402.html;2017;;Truck;2521811;1508750;;
drom.ru;39;KAMAZ;https://spec.drom.ru/miass/truck/truck-tractor/kamaz-43118-tjagach-probeg-30-tys-km-83067837.html;2017;ООО УралСпецКран;Truck;3986932;2850000;;
drom.ru;33;KAMAZ;https://spec.drom.ru/novosibirsk/truck/truck-tractor/prodam-kamaz-87857871.html;2016;;Truck;2662669;1999998;;
drom.ru;20;KAMAZ;https://spec.drom.ru/moskva/truck/truck-tractor/kamaz-5490-s5-tjagach-b-u-2018-g-38320-km-84307128.html;2018;TruckMag;Truck;4206160;3490000;;
drom.ru;30;MAZ;https://spec.drom.ru/novosibirsk/truck/truck-tractor/prodam-maz-6430s9-87288069.html;2018;;Truck;3467353;2650000;;
drom.ru;18;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44018-70838792.html;2015;;Truck;2847182;2400000;;
drom.ru;52;KAMAZ;https://spec.drom.ru/kemerovo/truck/truck-tractor/prodam-kamaz-v-otlichnom-sostojanii-87000369.html;2018;;Truck;4206160;2750000;;
drom.ru;15;MAN;https://spec.drom.ru/lyubertsy/truck/truck-tractor/sedelnyj-tjagach-man-tgx-18.400-4x2-bls-86465468.html;2018;;Truck;5788912;5000000;;
drom.ru;44;KAMAZ;https://spec.drom.ru/tyumen/truck/truck-tractor/prodaetsja-kamaz-6460-73-87486306.html;2017;"ООО ""АСТЕРИОН""";Truck;3530465;2450000;;
drom.ru;44;KAMAZ;https://spec.drom.ru/miass/truck/truck-tractor/sedelnyj-tjagach-kamaz-43118-6h6-spalnik-vezdehod-2017-83358636.html;2017;;Truck;3986932;2750000;;
drom.ru;47;KAMAZ;https://spec.drom.ru/barnaul/truck/truck-tractor/prodam-kamaz-5490-s-samosvalnym-polupricepom-nefaz-84499822.html;2018;;Truck;4206160;2850000;;
drom.ru;23;KAMAZ;https://spec.drom.ru/ekaterinburg/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2015-g-v-87824008.html;2015;Global Truck Sales;Truck;1870492;1510000;;
drom.ru;16;MERCEDES;https://spec.drom.ru/ekaterinburg/truck/truck-tractor/sedelnyj-tjagach-mersedes-aktros-87809374.html;2017;;Truck;5079202;4350000;;
drom.ru;44;KAMAZ;https://spec.drom.ru/miass/truck/truck-tractor/sedelnyj-tjagach-kamaz-43118-6h6-spalnik-83600471.html;2017;;Truck;3986932;2750000;;
drom.ru;128;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-6460-78792712.html;2019;;Truck;4800498;2100000;;
drom.ru;17;KAMAZ;https://spec.drom.ru/sankt-peterburg/truck/truck-tractor/gazodizelnyj-kamaz-5490-neo-87670616.html;2018;М7 ТРАК;Truck;4206160;3575000;;
drom.ru;37;MAN;https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/tjagach-man-tgs-19.400-4x2-2015-v-nalichii-84068710.html;2015;;Truck;3850712;2800000;;
drom.ru;14;KAMAZ;https://spec.drom.ru/krasnodar/truck/truck-tractor/kamaz-5490-s5-2016-87748888.html;2016;;Truck;2279510;1990000;;
drom.ru;44;KAMAZ;https://spec.drom.ru/novosibirsk/truck/truck-tractor/kamaz-65116-32-metan-74873600.html;2017;;Truck;3530465;2450000;;
drom.ru;44;KAMAZ;https://spec.drom.ru/miass/truck/truck-tractor/sedelnyj-tjagach-kamaz-43118-6h6-spalnik-vezdehod-2017-83220583.html;2017;;Truck;3986932;2750000;;
drom.ru;385;SCANIA;https://spec.drom.ru/syktyvkar/truck/truck-tractor/scania-p440-2016-g-v-tjagach-6h4-84682961.html;2016;;Truck;4854155;1000000;;
