Model,URL,Year,Price,Mileage,VehicleType,Make,Supplier,VATIncluded,Location,Price,confidence
SCS,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16643126-d95b4513/,2017,1899777,148274,Curtainsider,SCHMITZ CARGOBULL,ТТ777,,Москва,1898688.01808,237029.64334
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16642984-9dec7fbe/,2007,820000,,Curtainsider,KRONE,,,Курск,715094.70338,180570.78678
SD,https://auto.ru/trailer/used/sale/krone/sd/16647818-f47a72e6/,2008,960000,720000,Curtainsider,KRONE,Триера Трак,Цена с НДС,Дубровки,729502.9372,189812.47588
SD,https://auto.ru/trailer/used/sale/krone/sd/16622510-ea6fc037/,2011,1150000,,Curtainsider,KRONE,ГРУЗ СОЮЗ,,Москва,1094041.22527,247004.20339
SKI,https://auto.ru/trailer/used/sale/schmitz_cargobull/ski/16636036-d74a2dd7/,2007,1600000,,Refrigerator,SCHMITZ CARGOBULL,,,Москва,1755120.90366,370812.17028
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16308990-7d39ee6c/,2010,2400000,,Refrigerator,SCHMITZ CARGOBULL,,,Калининград,2069540.99296,682543.48709
,https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16630072-0aaaf54f/,2015,1650000,380000,Curtainsider,MEUSBURGER,Триера Трак,Цена с НДС,Дубровки,1487183.60133,230390.17309
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16611208-7b8096af/,2017,3750000,280000,Refrigerator,SCHMITZ CARGOBULL,АТРАКС,,Набережные Челны,3925000.8305,415585.8415
S24,https://auto.ru/trailer/used/sale/kogel/s24/16629642-a659cc01/,2017,1900000,140000,Platform,KOGEL,,,Курск,1849904.23512,247514.61123
SD,https://auto.ru/trailer/used/sale/krone/sd/16628084-a3726d84/,2012,1190000,,Curtainsider,KRONE,Global Truck Sales Екатеринбург,,Екатеринбург,1090932.31355,248413.2828
9746,https://auto.ru/trailer/used/sale/tonar/9746/16492626-cd504ea1/,2008,550000,,Refrigerator,TONAR,ГРУЗ СОЮЗ,,Москва,1187208.87227,489033.30406
Krone,https://auto.ru/trailer/used/sale/krone/krone/16634146-c4f80a22/,2014,1700000,549000,Curtainsider,KRONE,ТРАНСАЛЬЯНС Москва,Цена с НДС,Солнечногорск,1438643.11929,252490.08362
SD,https://auto.ru/trailer/used/sale/krone/sd/16646610-4493925f/,2018,2350000,160000,Curtainsider,KRONE,Триера Трак,Цена с НДС,Дубровки,2017232.66487,263138.62956
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16559582-c526c70c/,2001,550000,,Platform,KOGEL,,,Смоленская область,532277.67672,178409.40142
SD,https://auto.ru/trailer/used/sale/krone/sd/16639778-25a572d5/,2013,1450000,,Curtainsider,KRONE,BS-Truck,Цена с НДС,Набережные Челны,1168023.37479,253984.06286
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16625668-38445749/,2004,1450000,,Refrigerator,SCHMITZ CARGOBULL,,,Истра,1449634.00272,518684.28978
SD,https://auto.ru/trailer/used/sale/krone/sd/16646830-1086a8f3/,2011,2260000,,Refrigerator,KRONE,Глобал Трак Сейлс Москва,Цена с НДС,Москва,2047975.37757,728309.54239
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16609146-9162965d/,2010,1990000,,Refrigerator,SCHMITZ CARGOBULL,Global Truck Sales Екатеринбург,Цена с НДС,Екатеринбург,2069540.99296,682543.48709
NS,https://auto.ru/trailer/used/sale/wielton/ns/16645288-315a7332/,2009,940000,399000,Curtainsider,WIELTON,ТРАК ПЛАТФОРМА,,Люберцы,818241.08501,267870.25011
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16630686-a9f5e7bf/,2017,4640000,,Refrigerator,SCHMITZ CARGOBULL,ClassTrucks,,Москва,4245168.68554,603268.58292
SD,https://auto.ru/trailer/used/sale/krone/sd/16634294-6186c13c/,2005,780000,780000,Curtainsider,KRONE,Триера Трак,Цена с НДС,Дубровки,656286.85608,174179.96491
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16649548-484a62ad/,2012,2570000,,Refrigerator,SCHMITZ CARGOBULL,Глобал Трак Сейлс Москва,Цена с НДС,Москва,2235668.62037,812253.49478
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16153648-9d15e589/,2005,700000,,Platform,KRONE,,,Брянск,653476.51275,172294.87103
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16609865-1804456f/,2010,3100000,640000,Refrigerator,SCHMITZ CARGOBULL,АГТ-Трейдинг,,Москва,2119502.68153,444775.4983
SD,https://auto.ru/trailer/used/sale/krone/sd/16582298-c84aafc1/,2017,4320000,50,Refrigerator,KRONE,Юнион КРОНЕ Кимовск,,Кимовск,4265251.23116,534435.72056
Profi Liner,https://auto.ru/trailer/used/sale/krone/profi_liner/16652578-5b8033e3/,2013,1499999,,Curtainsider,KRONE,,,Воронеж,1168023.37479,253984.06286
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16612100-d0dd848d/,2018,4990000,,Refrigerator,SCHMITZ CARGOBULL,ClassTrucks,,Москва,4363655.38375,674691.25613
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16522360-e85108ef/,2001,450000,,Platform,KOGEL,,,Ростов-на-Дону,532277.67672,178409.40142
S24,https://auto.ru/trailer/used/sale/kogel/s24/16590468-70fc7637/,2018,4050000,,Refrigerator,KOGEL,Глобал Трак Сейлс Москва,,Москва,4291709.06088,675690.93861
SD,https://auto.ru/trailer/used/sale/krone/sd/16552836-b49f8fbe/,2005,780000,780000,Curtainsider,KRONE,Триера Трак,Цена с НДС,Дубровки,656286.85608,174179.96491
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16575410-f1bd8515/,2017,4710000,,Refrigerator,SCHMITZ CARGOBULL,ClassTrucks,,Тосно,4245168.68554,603268.58292
SCS,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16148134-d61c8238/,2012,900000,300000,Curtainsider,SCHMITZ CARGOBULL,,,Бор,1069651.55645,261097.54325
SD,https://auto.ru/trailer/used/sale/krone/sd/16369152-f2edb0dd/,2011,1820000,900000,Refrigerator,KRONE,,,Белгород,2035051.17259,620668.0187
SD,https://auto.ru/trailer/used/sale/krone/sd/16565284-d8f1d0dc/,2008,800000,800000,Curtainsider,KRONE,,,Кострома,727440.02053,190064.76654
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16635282-fcf7dca5/,2019,5200000,55000,Refrigerator,SCHMITZ CARGOBULL,,,Махачкала,4437449.29149,889177.43269
SV24,https://auto.ru/trailer/used/sale/kogel/sv24/16568544-60c202b7/,2018,4300000,150000,Refrigerator,KOGEL,ЮгТрейлер,Цена с НДС,Краснодар,4141348.62867,446343.35148
SDC 27,https://auto.ru/trailer/used/sale/krone/sdc_27/16459854-4b10d64b/,2005,1080000,350000,Refrigerator,KRONE,,,Ибреси,1350319.90997,749720.00753
Coil Liner,https://auto.ru/trailer/used/sale/krone/coil_liner/16377964-f9035e2d/,2012,2700000,,Refrigerator,KRONE,,,Пятигорск,2144175.37357,947664.3851
S01,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16559446-6403c4d1/,2016,1850000,,Curtainsider,SCHMITZ CARGOBULL,ГРУЗ СОЮЗ,,Москва,1801417.99047,200281.44712
Coil Liner,https://auto.ru/trailer/used/sale/krone/coil_liner/16622568-0dd18c32/,2008,920000,300000,Curtainsider,KRONE,M7 TRUCK Москва,Цена с НДС,Чёрная Грязь,738971.66587,190656.61043
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16635476-e5571e1e/,2005,550000,1000000,Curtainsider,KRONE,,,Москва и Московская область,645753.33388,172939.42998
SPR,https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16084790-37c91e9c/,2008,750000,100000,Platform,SCHMITZ CARGOBULL,,,Орёл,734644.09717,200854.46487
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16619156-ebcec73f/,2007,750000,900000,Curtainsider,KRONE,,,Брянск,706989.60338,181912.087
Krone,https://auto.ru/trailer/used/sale/krone/krone/16627722-fc6e3fa9/,2016,4250000,,Refrigerator,KRONE,ClassTrucks,,Москва,3753416.49991,371956.62365
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16533568-20531dd6/,2008,830000,100,Platform,KOGEL,,,Курск,737330.91047,199290.44823
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16566258-d39b767d/,2007,505000,,Platform,KRONE,,,Старый Оскол,706903.42736,189786.94981
SD,https://auto.ru/trailer/used/sale/krone/sd/16021824-9e4a50ce/,2008,1000000,800000,Refrigerator,KRONE,,,Кострома,1630113.97125,461403.64738
Krone,https://auto.ru/trailer/used/sale/krone/krone/16525968-cc744c4b/,2005,650000,,Platform,KRONE,,,Киров,653476.51275,172294.87103
SD,https://auto.ru/trailer/used/sale/krone/sd/16307578-0eee1f3c/,2012,1400000,45000,Curtainsider,KRONE,,,Воронеж,1150628.15189,263345.27308
SV24,https://auto.ru/trailer/used/sale/kogel/sv24/16616980-8b8843cd/,2008,1350000,200000,Refrigerator,KOGEL,Лаки Логистик,,Москва,1156837.91154,638527.8254
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16647880-9bfe5264/,2006,500000,,Platform,KOGEL,Трак-Сток,,Москва,691860.75331,177509.88849
SD,https://auto.ru/trailer/used/sale/krone/sd/16221538-dc0b9051/,2011,1250000,,Curtainsider,KRONE,,,Сухой Лог,1094041.22527,247004.20339
SD,https://auto.ru/trailer/used/sale/krone/sd/16552674-aa7bba3d/,2018,2450000,71000,Curtainsider,KRONE,Группа ГРАССМАНН и ЛОМТЕВ,Цена с НДС,Москва,2022207.0206,266290.71319
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16652814-d02c8124/,2007,2000000,,Refrigerator,SCHMITZ CARGOBULL,,,Москва и Московская область,1755120.90366,370812.17028
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16634662-e8397bae/,2004,620000,900000,Platform,SCHMITZ CARGOBULL,,,Нижний Новгород,526681.67813,176316.55388
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16653818-4cb2768c/,2018,4860000,,Refrigerator,SCHMITZ CARGOBULL,ClassTrucks,,Москва,4363655.38375,674691.25613
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16511044-e509ed5f/,2009,2500000,,Refrigerator,SCHMITZ CARGOBULL,,,Муром,1983392.12152,610403.815
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16587252-7093554c/,2002,980000,,Refrigerator,SCHMITZ CARGOBULL,,,Иркутск,926687.12875,622918.04566
SD,https://auto.ru/trailer/used/sale/krone/sd/16604979-6d738a78/,2017,1980000,50,Curtainsider,KRONE,Юнион КРОНЕ Кимовск,,Кимовск,1949485.2228,237945.60817
S01,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16554126-272870a1/,2006,700000,1000000,Curtainsider,SCHMITZ CARGOBULL,M7 TRUCK Казань,,Новониколаевский,690761.89336,174611.81595
Profi Liner,https://auto.ru/trailer/used/sale/krone/profi_liner/16639294-87a0eeac/,2008,940000,,Curtainsider,KRONE,Транзит-Дон Гипермаркет,Цена с НДС,Ростов-на-Дону,738016.54386,188427.52053
Krone,https://auto.ru/trailer/used/sale/krone/krone/16465832-2b253c54/,2006,1250000,,Refrigerator,KRONE,,,Красноярск,1538590.73793,595067.97016
Mega Liner,https://auto.ru/trailer/used/sale/krone/mega_liner/16476142-ac95fe90/,2009,670000,500000,Curtainsider,KRONE,SGM-GROUP,,Москва,826282.83585,269988.07009
SD,https://auto.ru/trailer/used/sale/krone/sd/16643782-914767c3/,2008,700000,,Curtainsider,KRONE,ГРУЗ СОЮЗ,,Москва,738016.54386,188427.52053
Krone,https://auto.ru/trailer/used/sale/krone/krone/16654420-13d010b6/,2008,940000,650000,Curtainsider,KRONE,Транзит-Дон Гипермаркет,Цена с НДС,Ростов-на-Дону,732834.58147,189441.31982
SD,https://auto.ru/trailer/used/sale/krone/sd/16621006-08405677/,2010,2250000,999999,Refrigerator,KRONE,,,Саранск,2112428.88885,501558.75127
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16206504-3ca1c23c/,2007,600000,500000,Curtainsider,KRONE,,,Новосибирск,714593.35882,183553.33377
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16215520-d586638c/,2007,1450000,,Refrigerator,SCHMITZ CARGOBULL,Совкомбанк-Лизинг Москва,,Пермский край,1755120.90366,370812.17028
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16641336-d6043fd2/,2006,600000,800000,Curtainsider,KRONE,,,Москва,689281.46515,174016.99063
SPR,https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16535582-abaa5526/,2008,630000,,Curtainsider,SCHMITZ CARGOBULL,ГРУЗ СОЮЗ,,Москва,742398.15738,191393.11811
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16622610-24284739/,2007,700000,,Curtainsider,KRONE,ГРУЗ СОЮЗ,,Москва,715094.70338,180570.78678
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16614204-f7008172/,2017,4620000,,Refrigerator,SCHMITZ CARGOBULL,ClassTrucks,,Москва,4245168.68554,603268.58292
Profi Liner,https://auto.ru/trailer/used/sale/krone/profi_liner/15779398-875a8527/,2011,1320000,,Curtainsider,KRONE,,,Ульяновск,1094041.22527,247004.20339
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16627724-4e17b5e8/,2018,4980000,,Refrigerator,SCHMITZ CARGOBULL,ClassTrucks,,Москва,4363655.38375,674691.25613
S01,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16586176-c60826e4/,2008,950000,,Curtainsider,SCHMITZ CARGOBULL,GROSS AUTO,,Москва,742398.15738,191393.11811
9746,https://auto.ru/trailer/used/sale/tonar/9746/16455590-f5f30023/,2017,1200000,300000,Curtainsider,TONAR,,Цена с НДС,Ангарск,1097640.2366,680494.54872
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16628064-8f28fd7d/,2013,1250000,,Curtainsider,KOGEL,BS-Truck,,Набережные Челны,1138008.88075,241730.96146
S24,https://auto.ru/trailer/used/sale/kogel/s24/16460794-b6725f1a/,2018,4030000,100000,Refrigerator,KOGEL,КомТоргТранс,,Подольск,4193788.18338,686913.99782
Kassbohrer,https://auto.ru/trailer/used/sale/kaessbohrer/kaessbohrer/16637408-3dc7e641/,2019,2150000,60000,Platform,KAESSBOHRER,ЕвроТрак Mercedes-Benz Пермь,Цена с НДС,Пермь,1873905.34449,337834.77628
Krone,https://auto.ru/trailer/used/sale/krone/krone/16653004-8bee6786/,2002,480000,,Curtainsider,KRONE,,,Самара,532277.67672,178409.40142
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16571104-d6674fdc/,2012,500000,,Platform,KOGEL,Авторынок МАКСКАР,,Новосибирск,957399.35132,257776.00318
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16456218-1249e552/,2010,2300000,,Refrigerator,SCHMITZ CARGOBULL,Юнион КРОНЕ Кимовск,,Кимовск,2069540.99296,682543.48709
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/15463611-8537fab0/,2003,450000,900000,Platform,KRONE,,,Псков,523201.20037,177629.02091
SCS,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16585540-700f0e4e/,2017,2190000,,Curtainsider,SCHMITZ CARGOBULL,СГМ - ГРУПП,,Москва,1904357.10333,224543.54337
9746,https://auto.ru/trailer/used/sale/tonar/9746/16578346-be5d3168/,2018,850000,100000,Platform,TONAR,,,Санкт-Петербург,1113752.18382,697341.00334
SDR 27,https://auto.ru/trailer/used/sale/krone/sdr_27/16384538-9e39e4d9/,2003,450000,,Platform,KRONE,,,Красноярск,532277.67672,178409.40142
Cool Liner,https://auto.ru/trailer/used/sale/krone/cool_liner/16619274-c9580d67/,2017,4600000,200000,Refrigerator,KRONE,ООО Группа Авто,Цена с НДС,Рязань,3865545.42352,383503.78955
SCS,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16468462-bdd3f311/,2018,2400000,,Curtainsider,SCHMITZ CARGOBULL,,,Тула,1978331.58978,278172.14021
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16559810-a8d69fd1/,2006,690000,890000,Curtainsider,KOGEL,,,Вязьма,689281.46515,174016.99063
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16594922-45848f3c/,2007,400000,,Platform,KOGEL,ГРУЗ СОЮЗ,,Москва,706903.42736,189786.94981
SD,https://auto.ru/trailer/used/sale/krone/sd/16417313-fa1ffe33/,2004,550000,500000,Platform,KRONE,,,Калуга,533824.09083,176900.21587
Multimodel,https://auto.ru/trailer/used/sale/kaessbohrer/multimodel/16630472-546d051e/,2017,1850000,369000,Curtainsider,KAESSBOHRER,Авторынок МАКСКАР,,Новосибирск,1815467.84119,296404.87797
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16463420-aba8fc13/,2008,1950000,,Refrigerator,SCHMITZ CARGOBULL,Юнион КРОНЕ Кимовск,,Кимовск,1799690.02936,446100.28874
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/15854272-44cd3be5/,2001,550000,500000,Refrigerator,SCHMITZ CARGOBULL,,,Брянск,930828.10693,647348.66
SD,https://auto.ru/trailer/used/sale/krone/sd/16594762-d65e7627/,2008,855000,,Curtainsider,KRONE,,,Донецк,738016.54386,188427.52053
SD,https://auto.ru/trailer/used/sale/krone/sd/16625702-c5bc714d/,2018,4700000,154000,Refrigerator,KRONE,Группа Милан,Цена с НДС,Санкт-Петербург,4140342.87978,445560.47982
SDR 27,https://auto.ru/trailer/used/sale/krone/sdr_27/15593410-2e146e2c/,2004,1200000,900000,Refrigerator,KRONE,,,Брянск,1252584.4474,654327.385
SCS,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16409788-12595380/,2015,1390000,500,Curtainsider,SCHMITZ CARGOBULL,,,Москва,1507582.10229,230513.32888
SN24,https://auto.ru/trailer/new/sale/kogel/sn24/15872751-be19c676/,2018,2800341,,Platform,KOGEL,ЮгТрейлер,,Краснодар,1930550.46627,285129.2629
NS,https://auto.ru/trailer/used/sale/wielton/ns/16620996-19dc8811/,2011,1100000,400000,Curtainsider,WIELTON,,,Белгород,1079434.71374,249335.0508
S01,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/15655718-670a91ca/,2016,2000000,223506,Curtainsider,SCHMITZ CARGOBULL,АГТ-Трейдинг,,Москва,1804850.6993,195017.49125
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16404112-1ce36608/,2018,4300000,200000,Refrigerator,SCHMITZ CARGOBULL,ЗилантМоторс,,Казань,4174042.07805,466772.92721
Profi Liner,https://auto.ru/trailer/used/sale/krone/profi_liner/16527224-d4da335f/,2012,1170000,200000,Platform,KRONE,M7 TRUCK Москва,,Чёрная Грязь,984423.55232,276389.29679
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16482712-668f67a4/,2001,430000,,Platform,KRONE,,,Ковернино,532277.67672,178409.40142
SD,https://auto.ru/trailer/used/sale/krone/sd/16636338-f102992f/,2019,4760000,130000,Refrigerator,KRONE,Группа Милан,Цена с НДС,Санкт-Петербург,4181729.54645,481853.74751
S01,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16647562-0b8271ec/,2014,1700000,540000,Curtainsider,SCHMITZ CARGOBULL,ТРАНСАЛЬЯНС Москва,Цена с НДС,Солнечногорск,1426602.99541,249551.06251
SD,https://auto.ru/trailer/used/sale/krone/sd/16632908-66f518c9/,2011,1130000,,Curtainsider,KRONE,,,Санкт-Петербург,1094041.22527,247004.20339
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16456208-e7a2ef46/,2010,2300000,,Refrigerator,SCHMITZ CARGOBULL,Юнион КРОНЕ Кимовск,,Кимовск,2069540.99296,682543.48709
9746,https://auto.ru/trailer/used/sale/tonar/9746/16371164-7061693f/,2008,750000,100000,Curtainsider,TONAR,,,Новосибирск,666279.70719,274182.43975
Cool Liner,https://auto.ru/trailer/used/sale/krone/cool_liner/16619534-4abb9ec0/,2011,2549000,200000,Refrigerator,KRONE,M7 TRUCK Москва Юг,,Москва,1890331.44106,763224.75651
S24,https://auto.ru/trailer/used/sale/kogel/s24/16636900-33146c73/,2014,1460000,,Curtainsider,KOGEL,Global Truck Sales Екатеринбург,,Екатеринбург,1426938.82476,250666.85541
SCB,https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16446858-f78f3804/,2019,2450000,20000,Curtainsider,SCHMITZ CARGOBULL,Вест Групп,,Красногорск,2012607.34204,289220.85665
SD,https://auto.ru/trailer/used/sale/krone/sd/16625866-53f59370/,2018,4700000,147000,Refrigerator,KRONE,Группа Милан,Цена с НДС,Санкт-Петербург,4140342.87978,445560.47982
SCB,https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16646248-2b2294ef/,2011,2700000,,Refrigerator,SCHMITZ CARGOBULL,ГРУЗ СОЮЗ,,Москва,2055168.8119,733144.32792
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/15408339-9b95477c/,2008,750000,,Curtainsider,KRONE,,,Псков,738016.54386,188427.52053
9746,https://auto.ru/trailer/used/sale/tonar/9746/16648180-da5ca14b/,2005,400000,300000,Platform,TONAR,,,Самара,613805.82606,208408.31279
SD,https://auto.ru/trailer/used/sale/krone/sd/16569604-6aeccc50/,2017,1930000,160000,Curtainsider,KRONE,Триера Трак,Цена с НДС,Дубровки,1923131.42556,219253.37516
9746,https://auto.ru/trailer/used/sale/tonar/9746/16210260-9e092aee/,2012,699000,,Curtainsider,TONAR,Трак-Сток,,Москва,927822.03253,352234.36161
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16487032-f3bc9614/,2007,660000,,Curtainsider,KOGEL,Глобал Трак Сейлс Москва,,Зеленоград,715094.70338,180570.78678
S24,https://auto.ru/trailer/used/sale/kogel/s24/16583184-2fd3742f/,2018,1950000,200000,Curtainsider,KOGEL,Альфа-Лизинг Россия,,Екатеринбург,1933982.89023,290459.06197
S01,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16639530-395ee5ee/,2005,700000,,Curtainsider,SCHMITZ CARGOBULL,,,Петрозаводск,656557.53163,171301.58242
,https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16649952-d5613d26/,2015,1730000,600000,Curtainsider,MEUSBURGER,M7 TRUCK Москва Юг,,Москва,1485445.25953,231607.1133
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16413802-13b895d6/,2003,450000,,Curtainsider,KOGEL,,,Рязань,532277.67672,178409.40142
SD,https://auto.ru/trailer/used/sale/krone/sd/16618104-5701ebbe/,2011,850000,300000,Curtainsider,KRONE,,,Казань,1083775.26465,250498.03205
S24,https://auto.ru/trailer/used/sale/kogel/s24/16586478-6e72316d/,2018,4200000,140000,Refrigerator,KOGEL,СТТ-АВТО,Цена с НДС,Домодедово,4141348.62867,446343.35148
SDR 27,https://auto.ru/trailer/used/sale/krone/sdr_27/16646906-b9e020e8/,2006,1300000,100,Refrigerator,KRONE,"ООО ""Трак""",,Екатеринбург,1283624.70962,650813.17286
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16646092-346136e0/,2014,1570000,230000,Curtainsider,KOGEL,Транспортная компания РОЗ-ГРУЗ,Цена с НДС,Люберцы,1421230.9423,253540.24016
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16647060-0376a560/,2010,2750000,444444,Refrigerator,SCHMITZ CARGOBULL,Вираж,,Санкт-Петербург,2088305.45887,505414.44252
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16543748-e0a35205/,2015,1700000,577000,Platform,KOGEL,ТРАНСАЛЬЯНС Москва,Цена с НДС,Солнечногорск,1184879.16685,309995.87366
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16639046-8aa15c6b/,2017,4610000,,Refrigerator,SCHMITZ CARGOBULL,ClassTrucks,,Екатеринбург,4245168.68554,603268.58292
S01,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16607398-9da2d2f9/,2016,2050000,475000,Curtainsider,SCHMITZ CARGOBULL,ТРАНСАЛЬЯНС Москва,Цена с НДС,Солнечногорск,1777942.72943,202770.83257
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16616604-b9bbe369/,2008,820000,450000,Curtainsider,KRONE,,,Москва,735638.169,190140.7121
,https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16555320-d62377e0/,2015,1593000,200000,Curtainsider,MEUSBURGER,M7 TRUCK Москва,,Чёрная Грязь,1507582.10229,230513.32888
SPR,https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16616640-2810b268/,2008,785000,555555,Curtainsider,SCHMITZ CARGOBULL,,,Санкт-Петербург,737716.76798,190880.78374
S01,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16248256-8b88d618/,2008,800000,100,Curtainsider,SCHMITZ CARGOBULL,,,Ангарск,749133.37301,192879.7702
SCS Mega,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs_mega/16617696-2f74cf40/,2015,1397777,600000,Curtainsider,SCHMITZ CARGOBULL,ТТ777,,Москва,1485445.25953,231607.1133
SCS,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16649470-3ae7c0d0/,2016,1910000,,Curtainsider,SCHMITZ CARGOBULL,Глобал Трак Сейлс Москва,Цена с НДС,Москва,1801417.99047,200281.44712
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16589852-ab254cf0/,2000,550000,,Curtainsider,KRONE,,,Ставрополь,532277.67672,178409.40142
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16542212-c51316b6/,2006,580000,,Curtainsider,KRONE,M7 TRUCK Набережные Челны,,Набережные Челны,695114.8625,174266.90301
SW 24,https://auto.ru/trailer/used/sale/schmitz_cargobull/sw_24/16397610-9361d079/,2013,1200000,500000,Platform,SCHMITZ CARGOBULL,,,Миасс,979006.24173,295234.9548
SD,https://auto.ru/trailer/used/sale/krone/sd/16584794-9680c663/,2008,550000,850000,Platform,KRONE,Форсаж,,Котельники,719248.74451,199280.92957
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/15991916-4125d209/,2011,3100000,,Refrigerator,SCHMITZ CARGOBULL,,,Челябинск,2055168.8119,733144.32792
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16612090-e192a50a/,2017,4440000,,Refrigerator,SCHMITZ CARGOBULL,ClassTrucks,,Тосно,4245168.68554,603268.58292
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16570604-4940f865/,2019,5600682,250000,Refrigerator,SCHMITZ CARGOBULL,ГРИН ЛАЙН,Цена с НДС,Смоленск,4206260.11361,494652.9583
S24,https://auto.ru/trailer/used/sale/kogel/s24/16643778-1babfcc2/,2016,1750000,600000,Curtainsider,KOGEL,TELS Group,,Москва,1776887.31125,202663.67636
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16583296-bd81adad/,2015,3700000,420000,Refrigerator,SCHMITZ CARGOBULL,Транзит-Дон Москва,,Москва,3287811.71004,300401.67969
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16647816-bea47a71/,2008,1850000,1450000,Refrigerator,SCHMITZ CARGOBULL,,,Жуковский,1766077.48424,415401.13045
