Model,URL,Year,Price,Mileage,VehicleType,Make,Supplier,VATIncluded,Location,Price,confidence
S01,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16641608-63f6445b/,2005,625000,655000,Curtainsider,SCHMITZ CARGOBULL,,,Тольятти,660685.73925,175005.9991
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16559270-9a27dd55/,2011,2350000,659000,Refrigerator,SCHMITZ CARGOBULL,,,Ростов-на-Дону,2084797.18749,567411.84614
Krone,https://auto.ru/trailer/used/sale/krone/krone/16621604-a18c7129/,2007,750000,120000,Curtainsider,KRONE,,,Санкт-Петербург,717472.97851,183207.10197
SCS,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16593274-be955f79/,2007,750000,,Curtainsider,SCHMITZ CARGOBULL,PRO АВТО,,Люберцы,719476.31689,183536.38435
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16557672-2665602f/,2007,780000,,Curtainsider,KRONE,GROSS AUTO,,Москва,715094.70338,180570.78678
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16429814-570f1779/,2004,1530000,650000,Refrigerator,SCHMITZ CARGOBULL,АГТ-Трейдинг,,Москва,1516586.61614,412654.05979
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16358570-48d0bb46/,2004,420000,,Platform,KOGEL,АРГЕНИ-ТРАНС,,Смоленск,535758.15449,177096.93438
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16645458-51a0985f/,2017,4700000,125000,Refrigerator,SCHMITZ CARGOBULL,АГТ-Трейдинг,,Москва,3856763.00252,381315.86144
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16631292-956beefd/,2015,1150000,600000,Curtainsider,KOGEL,,,Москва,1485445.25953,231607.1133
SD,https://auto.ru/trailer/used/sale/krone/sd/16618174-bcb6c58a/,2018,2400000,105000,Curtainsider,KRONE,Группа Милан,Цена с НДС,Санкт-Петербург,2020956.52286,262635.67166
SD,https://auto.ru/trailer/used/sale/krone/sd/16318138-986679e9/,2008,1699999,,Refrigerator,KRONE,,,Хабаровск,1637526.36836,495812.01314
Profi Liner,https://auto.ru/trailer/used/sale/krone/profi_liner/16639904-04d4ad0b/,2012,875000,600000,Curtainsider,KRONE,M7 TRUCK Набережные Челны,,Набережные Челны,1093980.62553,244167.92992
SPR,https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16600412-4a30a5e9/,2008,850000,750000,Platform,SCHMITZ CARGOBULL,АГТ-Трейдинг,,Москва,723028.91631,199673.16757
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16635410-6048e62d/,2014,2300000,300000,Refrigerator,SCHMITZ CARGOBULL,CargoLine group,,Ольша,3266060.7274,338680.21777
SCB,https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16622538-5a6df6db/,2018,2290000,44000,Curtainsider,SCHMITZ CARGOBULL,Триера Трак,Цена с НДС,Дубровки,1998011.50543,281304.41659
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16639990-5433dc67/,2017,4450000,,Refrigerator,SCHMITZ CARGOBULL,ClassTrucks,,Тосно,4245168.68554,603268.58292
S01,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16578914-88b7c4c7/,2015,3700000,350000,Refrigerator,SCHMITZ CARGOBULL,Транзит-Дон Москва,,Москва,3287811.71004,300401.67969
SD,https://auto.ru/trailer/used/sale/krone/sd/16635570-5fa93ad8/,2017,2295000,555392,Curtainsider,KRONE,ТРАНСАЛЬЯНС Москва,Цена с НДС,Солнечногорск,1898482.59718,230494.31178
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16517046-ae2589b5/,2005,1600000,,Refrigerator,SCHMITZ CARGOBULL,,,Ейск,1616681.1165,434378.92912
S24,https://auto.ru/trailer/used/sale/kogel/s24/16640018-3c547230/,2014,1570000,199000,Curtainsider,KOGEL,ТРАК ПЛАТФОРМА,Цена с НДС,Люберцы,1421230.9423,253540.24016
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16619396-0c874244/,2017,4250000,50000,Refrigerator,SCHMITZ CARGOBULL,M7 TRUCK Санкт-Петербург,Цена с НДС,Санкт-Петербург,4101658.56061,546406.68567
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16628740-ed016bb1/,2006,2520000,780000,Refrigerator,SCHMITZ CARGOBULL,АГТ-Трейдинг,,Москва,1757080.59399,320456.59338
SCS Mega,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs_mega/16607372-6de7712f/,2015,1349777,650000,Curtainsider,SCHMITZ CARGOBULL,ТТ777,,Москва,1485445.25953,231607.1133
SD,https://auto.ru/trailer/used/sale/krone/sd/16635452-488d1fce/,2017,2300000,400000,Curtainsider,KRONE,ТРАНСАЛЬЯНС Москва,Цена с НДС,Солнечногорск,1898127.68809,227713.12845
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16088414-81979c12/,2012,1200000,500000,Platform,KOGEL,СибТракСкан,,Новосибирск,962783.43081,257547.93598
SD,https://auto.ru/trailer/used/sale/krone/sd/16275240-ac4856f7/,2017,2050000,,Curtainsider,KRONE,Группа Милан,Цена с НДС,Санкт-Петербург,1913726.76572,229243.35572
S24,https://auto.ru/trailer/used/sale/kogel/s24/16652092-9f2e4041/,2018,2250000,150000,Curtainsider,KOGEL,Вираж,Цена с НДС,Санкт-Петербург,1942202.02973,289488.12311
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16435980-4caccdb6/,2000,530000,700000,Curtainsider,KRONE,,,Красноярск,530343.61306,178212.68291
Profi Liner,https://auto.ru/trailer/used/sale/krone/profi_liner/16553610-b0ba0579/,2007,780000,300000,Curtainsider,KRONE,M7 TRUCK Набережные Челны,,Набережные Челны,716118.44299,183983.66963
SCS,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16387516-55888ecb/,2012,1250000,,Curtainsider,SCHMITZ CARGOBULL,СибТракСкан,,Новосибирск,1083790.9509,255973.14381
Krone,https://auto.ru/trailer/used/sale/krone/krone/16645674-3accdaff/,2010,2099000,500000,Refrigerator,KRONE,,,Москва,2066391.32271,500537.10943
Cool Liner,https://auto.ru/trailer/used/sale/krone/cool_liner/16622400-34ab33b6/,2012,2660000,680000,Refrigerator,KRONE,Триера Трак,Цена с НДС,Дубровки,2226465.33365,799143.39437
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16648836-b1ae5053/,2017,4430000,,Refrigerator,SCHMITZ CARGOBULL,ClassTrucks,,Екатеринбург,4245168.68554,603268.58292
SDC 27,https://auto.ru/trailer/used/sale/krone/sdc_27/16646784-48c6a372/,2006,640000,535000,Curtainsider,KRONE,,,Санкт-Петербург,698784.83225,177044.11916
SCS Mega,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs_mega/16617954-e4b45dd9/,2015,1347777,610000,Curtainsider,SCHMITZ CARGOBULL,ТТ777,Цена с НДС,Москва,1485445.25953,231607.1133
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16568894-990d5750/,2018,4050000,,Refrigerator,SCHMITZ CARGOBULL,Альфа-Лизинг Москва,,Красногорск,4363655.38375,674691.25613
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16476146-cf514188/,2017,4450000,,Refrigerator,SCHMITZ CARGOBULL,SGM-GROUP,,Москва,4245168.68554,603268.58292
Krone,https://auto.ru/trailer/used/sale/krone/krone/16530980-cb008d23/,2011,2150000,350000,Refrigerator,KRONE,Транзит-Дон Гипермаркет,,Ростов-на-Дону,1998632.58584,665249.63592
SPR,https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16638372-1a3ba39b/,2007,600000,,Platform,SCHMITZ CARGOBULL,,,Екатеринбург,709784.49346,191494.51888
S01,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16647084-73c8000b/,2018,2450000,100000,Curtainsider,SCHMITZ CARGOBULL,Вираж,Цена с НДС,Санкт-Петербург,1995732.99715,280414.65752
SCS,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16631316-d225cf0e/,2018,2390000,120000,Curtainsider,SCHMITZ CARGOBULL,АГТ-Трейдинг,,Москва,1995732.99715,280414.65752
SPR,https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16627122-372da9af/,2006,650000,,Curtainsider,SCHMITZ CARGOBULL,,,Краснодар,696595.29071,174861.72834
SD,https://auto.ru/trailer/used/sale/krone/sd/16619244-3bcb050e/,2017,2100000,250000,Curtainsider,KRONE,ООО Группа Авто,Цена с НДС,Рязань,1917320.6194,222904.20269
SD,https://auto.ru/trailer/used/sale/krone/sd/16604894-9ab24682/,2017,2030000,50,Curtainsider,KRONE,Юнион КРОНЕ Кимовск,,Кимовск,1949485.2228,237945.60817
,https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16619560-56f8ac60/,2015,1593000,200000,Curtainsider,MEUSBURGER,M7 TRUCK Москва,,Чёрная Грязь,1507582.10229,230513.32888
SD,https://auto.ru/trailer/used/sale/krone/sd/16524836-02a7a827/,2011,2000000,299000,Refrigerator,KRONE,ТРАК ПЛАТФОРМА,,Люберцы,1855368.47809,791433.91938
SCS,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16325414-531aac74/,2012,950000,10000,Curtainsider,SCHMITZ CARGOBULL,"ООО ""Трак""",,Екатеринбург,1131241.94819,264046.3374
