ProfSupplier;Gear;HP;Formula;VehicleType;URL;Price;Year;Mileage;Location;Supplier;Make;Model;CabSeats;CabBeds
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16338778-8229f892/;1840000;2017;90000;Санкт-Петербург;ПикАвто;KRONE;SD;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/kogel/s24/16359044-38232c98/;1731000;2018;100000;Москва;M7 TRUCK Москва Юг;KOGEL;S24;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16388924-acd12bbb/;4000000;2017;45000;Каменск-Шахтинский;Мега-Транзит;SCHMITZ CARGOBULL;SKO;;
True;;;;Platform;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16380788-3433c74e/;1750000;2016;450000;Хоругвино;TELS Group;SCHMITZ CARGOBULL;SCS;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16303556-f11d2478/;3950000;2016;333333;Санкт-Петербург;Вираж;SCHMITZ CARGOBULL;SKO;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/krone/sd/16323338-17c190aa/;3585000;2017;;Кимовск;Юнион КРОНЕ Кимовск;KRONE;SD;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16361986-17b32484/;4467000;2017;;Москва;ClassTrucks;SCHMITZ CARGOBULL;SKO;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/krone/sd/16236988-6da1a029/;3790000;2017;;Шушары;Группа Милан;KRONE;SD;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16302684-58c3b148/;2110000;2017;150000;Чёрная Грязь;M7 TRUCK Москва;KRONE;SD;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16302700-2198d85f/;1475000;2015;300000;Авдон;M7 TRUCK Уфа;MEUSBURGER;Тентованный полуприцеп;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16368278-14ed3ee8/;2000000;2017;500000;Саратов;Стройтранс;KRONE;SD;;
False;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16393820-22efc3a9/;2200000;2019;125000;Омск;;KRONE;SD;;
False;;;;Curtainsider;https://auto.ru/trailer/used/sale/wielton/nw/16365098-cf2594a3/;1719296;2017;250000;Смоленск;;WIELTON;NW;;
False;;;;Refrigerator;https://auto.ru/trailer/used/sale/krone/cool_liner/16383074-347b9f50/;4490000;2017;85000;Калининград;;KRONE;Cool Liner;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/kogel/s24/16280964-f0a440bb/;1731000;2018;95000;Москва;M7 TRUCK Москва Юг;KOGEL;S24;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16233446-4ff84c24/;3500000;2016;341812;Москва;Шмитц Каргобулл Руссланд;SCHMITZ CARGOBULL;SKO;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16328926-920b434e/;3875000;2017;390000;Смоленск;ГРИН ЛАЙН;SCHMITZ CARGOBULL;SKO;;
False;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16345392-344cff51/;1050000;2017;;Тула;;SCHMITZ CARGOBULL;SCS;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16365974-66d607f0/;4289644;2017;300000;Солнечногорск;АЙС КУБ;SCHMITZ CARGOBULL;SKO;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16328922-e5a0e332/;3870000;2017;340000;Смоленск;ГРИН ЛАЙН;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/kogel/sn24/16358818-1325b19d/;1950000;2017;255000;Дубровки;Триера Трак;KOGEL;SN24;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/krone/sd/16395984-e7ae4826/;3790000;2017;;Набережные Челны;BS-Truck;KRONE;SD;;
False;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16271410-0faeb4a0/;2300000;2018;150000;Санкт-Петербург;;KRONE;SD;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16316874-18bd3788/;2150000;2018;275000;Дубровки;Триера Трак;KRONE;SD;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16283664-d1e8bdba/;1750000;2016;;Авдон;M7 TRUCK Уфа;KRONE;SD;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/krone/sd/16380678-3398188b/;3700000;2016;10000;Екатеринбург;Global Truck Sales Екатеринбург;KRONE;SD;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16343814-ee76cac6/;3540000;2016;;Смоленск;ГРИН ЛАЙН;SCHMITZ CARGOBULL;SKO;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16297540-6863bf8b/;3990000;2017;;Румянцево;СГМ - ГРУПП;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16155428-c2f7f3f0/;1980000;2017;103501;Москва;АГТ-Трейдинг;SCHMITZ CARGOBULL;S01;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16306614-9b0bf07a/;1990000;2017;145000;Дубровки;Триера Трак;KRONE;SD;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/profi_liner/16002942-6fbf2758/;1800000;2016;10000;Москва;M7 TRUCK Москва Юг;KRONE;Profi Liner;;
