Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Comment;Качество верификации;Верификация;Федеральный округ;Цена с НДС
Тягач;МАЗ;5440;2013;1600000;Краснодар;https://auto.ru/artic/used/sale/maz/5440/16178090-e1515924/;330000;MT;4x2;411;2;2;;1520000;-80000;Цена завышена - можно поторговаться;20;;;;;ЮФО;
Тягач;MAN;TGA;2007;1490000;Люберцы;https://auto.ru/artic/used/sale/man/tga_1/16529044-94cb3e6c/;536199;MT;4x2;480;2;2;PRO АВТО;1640000;150000;Горячая цена! Срочно брать!;0;;;;ok;ЦФО;Цена с НДС
Тягач;MAN;TGS;2012;2550000;Москва;https://auto.ru/artic/used/sale/man/tgs/16051334-125c8083/;480000;MT;6x4;442;2;1;;2840000;290000;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Тягач;DAF;95XF;2003;1399000;Смоленск;https://auto.ru/artic/used/sale/daf/xf95/16604953-725a91ea/;980000;MT;4x2;430;2;2;;1740000;341000;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Тягач;Mercedes-Benz;Actros;2003;1420000;Краснодар;https://auto.ru/artic/used/sale/mercedes/actros_t/16281316-618020fe/;1100000;AT;4x2;460;2;2;;1770000;350000;Горячая цена! Срочно брать!;0;;;;;ЮФО;
Тягач;КамАЗ;6460;2014;1390000;Архангельск;https://auto.ru/artic/used/sale/kamaz/6460/16614954-89efca16/;10000;MT;6x4;400;3;1;;2000000;610000;Горячая цена! Срочно брать!;0;;;;;СЗФО;
Тягач;FREIGHTLINER;Century Class;2003;1800000;Кемерово;https://auto.ru/artic/used/sale/freightliner/century_class/16220726-f9cc163c/;1900000;MT;6x4;400;2;2;;1080000;-720000;Цена завышена - можно поторговаться;80;;;;;;
Тягач;Scania;P-series;2002;1100000;Санкт-Петербург;https://auto.ru/artic/used/sale/scania/p_1/16407166-faca2578/;983000;MT;4x2;380;2;1;;970000;-130000;Цена завышена - можно поторговаться;20;;;;;СЗФО;
Тягач;КамАЗ;65225;2011;1500000;Ижевск;https://auto.ru/artic/used/sale/kamaz/65225_t/16349892-d5e3ebff/;100;MT;6x6;381;2;1;;1760000;260000;Горячая цена! Срочно брать!;0;;;;;ПФО;
Тягач;DAF;XF105;2011;5300000;Курган;https://auto.ru/artic/used/sale/daf/xf105/16225644-47c7b040/;1166643;MT;4x2;460;2;2;;2440000;-2860000;Цена завышена - можно поторговаться;130;;;;;;
Тягач;DAF;CF-series;2004;1300000;Брянск;https://auto.ru/artic/used/sale/daf/cf_series_1/16610120-68b667b0/;1300000;MT;6x2;430;2;1;;1920000;620000;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Тягач;МАЗ;5440;2007;400000;Углич;https://auto.ru/artic/used/sale/maz/5440/16611852-9e7190dc/;730000;MT;4x2;400;2;2;;710000;310000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;MAN;TGA;2007;1700000;Челябинск;https://auto.ru/artic/used/sale/man/tga_1/16123156-98227909/;1080000;MT;4x2;480;2;2;;1640000;-60000;;10;;;;;УФО;
Тягач;DAF;XF105;2012;2500000;Каменное;https://auto.ru/artic/used/sale/daf/xf105/16545314-d563741c/;970000;MT;4x2;408;2;2;Автолайф;2570000;70000;;10;;;;;;
Тягач;FREIGHTLINER;Century Class;2000;1150000;Хабаровск;https://auto.ru/artic/used/sale/freightliner/century_class/15902092-6fc3af35/;1000000;MT;6x2;370;;;;740000;-410000;Цена завышена - можно поторговаться;70;;;;;;
Тягач;INTERNATIONAL;9000 Series;2003;1200000;Екатеринбург;https://auto.ru/artic/used/sale/international/9000/16454476-51273914/;;AT;6x4;425;2;2;;1830000;630000;Горячая цена! Срочно брать!;0;;;;;УФО;
Тягач;МАЗ;5440;2011;550000;Курган;https://auto.ru/artic/used/sale/maz/5440/16327976-5826b9b5/;4;MT;4x2;327;2;2;;960000;410000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;Mercedes-Benz;Actros;2000;1100000;Краснодар;https://auto.ru/artic/used/sale/mercedes/actros_t/16475296-ef21b996/;350000;MT;4x2;430;2;2;;1220000;120000;Горячая цена! Срочно брать!;0;;;;;ЮФО;
Тягач;MAN;TGA;2006;1050000;Узловая;https://auto.ru/artic/used/sale/man/tga_1/15310997-33bae7b5/;1190000;MT;4x2;360;2;1;;1130000;80000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;Scania;R-Series;2011;2490000;Кимовск;https://auto.ru/artic/used/sale/scania/r_1/16457816-9c87c532/;689000;MT;4x2;420;2;2;Юнион КРОНЕ Кимовск;2560000;70000;;10;;;;;ЦФО;
Тягач;Volvo;FH;2011;2900000;Челябинск;https://auto.ru/artic/used/sale/volvo/fh_tractor/16590746-2cf4771d/;1100000;AT;4x2;440;2;2;;2500000;-400000;Цена завышена - можно поторговаться;30;;;;;УФО;
Тягач;DAF;95;2003;2950000;Верхняя Пышма;https://auto.ru/artic/used/sale/daf/95_s/16541914-9087afae/;1500000;MT;4x2;430;2;2;;1740000;-1210000;Цена завышена - можно поторговаться;80;;;;;;
Тягач;DAF;95XF;2003;1450000;Нижний Новгород;https://auto.ru/artic/used/sale/daf/xf95/16580128-80d376ca/;1700000;MT;4x2;430;2;1;;1500000;50000;;10;;;;;ПФО;
Тягач;MAN;TGS;2012;2699000;Румянцево;https://auto.ru/artic/used/sale/man/tgs/16518390-ee3e4683/;1000000;MT;6x4;440;2;1;;2890000;191000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;КамАЗ;65116;2014;1400000;Калужская область;https://auto.ru/artic/used/sale/kamaz/65116/16479416-06494537/;200000;MT;4x2;298;2;2;;1700000;300000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;DAF;XF105;2011;2990000;Архангельск;https://auto.ru/artic/used/sale/daf/xf105/15847440-e080911c/;1200000;MT;4x2;408;2;2;;2390000;-600000;Цена завышена - можно поторговаться;40;;;;;СЗФО;
Тягач;Scania;G-series;2013;2700000;Уфа;https://auto.ru/artic/used/sale/scania/g/16412682-44d2c532/;305000;MT;4x2;360;2;1;Диалком;2830000;130000;;10;;;;;ПФО;
Тягач;Mercedes-Benz;Axor;2011;1190000;Тучково;https://auto.ru/artic/used/sale/mercedes/axor_t/16355772-9b33ed47/;73000;MT;4x2;401;2;1;;1840000;650000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;Renault;Premium;2011;3500000;Воронеж;https://auto.ru/artic/used/sale/renault/premium_tractor/15839594-b7f6465a/;800000;MT;4x2;380;2;2;;1720000;-1780000;Цена завышена - можно поторговаться;110;;;;;ЦФО;
Тягач;DAF;95XF;2006;1500000;Воронеж;https://auto.ru/artic/used/sale/daf/xf95/16606594-38a65e50/;1015000;AT;4x2;430;2;2;;2060000;560000;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Тягач;Volvo;FM;2012;3995000;Москва;https://auto.ru/artic/used/sale/volvo/fm_tractor/16581390-ad631723/;724346;MT;4x2;400;2;2;;2570000;-1425000;Цена завышена - можно поторговаться;70;;;;;ЦФО;
Тягач;МАЗ;5440;2008;390000;Москва и Московская область;https://auto.ru/artic/used/sale/maz/5440/16488720-bd2bab2c/;250000;MT;4x2;400;2;2;;800000;410000;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Тягач;Scania;R-Series;2007;1620000;Вольск;https://auto.ru/artic/used/sale/scania/r_1/16533008-be1aad36/;1470000;MT;4x2;420;2;2;;1890000;270000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;КамАЗ;53504;2016;2500000;Набережные Челны;https://auto.ru/artic/used/sale/kamaz/53504/16349394-19b19b9e/;10000;MT;6x4;300;2;1;Автосалон на Мензелинском тракте;2080000;-420000;Цена завышена - можно поторговаться;30;;;;;ПФО;
Тягач;Volvo;FH;2012;2630000;Зеленоград;https://auto.ru/artic/used/sale/volvo/fh_tractor/16503102-7ae5f1a3/;1309583;MT;4x2;400;2;2;Global Truck Sales Москва Север;2570000;-60000;;10;;;;;ЦФО;
Тягач;DAF;XF105;2012;2730000;Тербуны;https://auto.ru/artic/used/sale/daf/xf105/16527200-8d57b691/;680000;MT;4x2;462;2;2;ГосРезерв РФ;2640000;-90000;;10;;;;;;
Тягач;МАЗ;6430;2014;3150000;Екатеринбург;https://auto.ru/artic/used/sale/maz/6430/16229780-d72c0c97/;383000;MT;6x4;412;2;2;;2040000;-1110000;Цена завышена - можно поторговаться;60;;;;;УФО;
Тягач;DAF;XF105;2012;3400000;Клетня;https://auto.ru/artic/used/sale/daf/xf105/16466190-a29ec4bf/;790000;MT;4x2;462;2;2;;2640000;-760000;Цена завышена - можно поторговаться;40;;;;;;
Тягач;MAN;TGA;2007;880000;Санкт-Петербург;https://auto.ru/artic/used/sale/man/tga_1/16053068-e0f39af6/;730000;MT;4x2;350;2;1;;1270000;390000;Горячая цена! Срочно брать!;0;;;;;СЗФО;
Тягач;DAF;XF105;2007;1820000;Стародуб;https://auto.ru/artic/used/sale/daf/xf105/16577528-1a461e26/;900000;MT;4x2;410;2;2;;2010000;190000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;Mercedes-Benz;Actros;2003;1250000;Котельники;https://auto.ru/artic/used/sale/mercedes/actros_t/16596088-edcf6cfd/;1195681;AT;4x2;430;2;2;Форсаж;1570000;320000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;FREIGHTLINER;Century Class;2002;830000;Ярославль;https://auto.ru/artic/used/sale/freightliner/century_class/16557136-15b8d60a/;150000;MT;6x4;370;2;2;;940000;110000;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Тягач;MAN;TGA;2008;1270000;Торжок;https://auto.ru/artic/used/sale/man/tga_1/15842338-ed3804a9/;900000;MT;4x2;480;2;1;;1550000;280000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;Scania;R-Series;2009;2050000;Губкин;https://auto.ru/artic/used/sale/scania/r_1/16396388-93592634/;1200000;AT;4x2;420;2;1;;2230000;180000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;КамАЗ;65116;2012;1140000;Катайск;https://auto.ru/artic/used/sale/kamaz/65116/16301912-96528f96/;360000;MT;6x4;360;3;1;;1510000;370000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;Mercedes-Benz;Axor;2005;1150000;Воронеж;https://auto.ru/artic/used/sale/mercedes/axor_t/16027244-6260a80b/;1200000;MT;4x2;401;2;1;;1210000;60000;;10;;;;;ЦФО;
Тягач;DAF;XF105;2006;1350000;Калининград;https://auto.ru/artic/used/sale/daf/xf105/16491404-d8e694dc/;900000;MT;;460;;;;1800000;450000;Горячая цена! Срочно брать!;0;;;;;СЗФО;
Тягач;DAF;XF105;2012;2500000;Краснодар;https://auto.ru/artic/used/sale/daf/xf105/16493414-5f481d8c/;1140431;MT;4x2;462;2;2;;2640000;140000;Горячая цена! Срочно брать!;0;;;;;ЮФО;
Тягач;Volvo;FH;2018;6500000;;https://auto.ru/artic/used/sale/volvo/fh_tractor/16583306-89a1c77e/;320000;AT;4x2;460;2;2;ЗилантМоторс;5600000;-900000;Цена завышена - можно поторговаться;30;208000;;;ok;;Цена с НДС
Тягач;Renault;Premium;2011;3190000;Набережные Челны;https://auto.ru/artic/used/sale/renault/premium_tractor/16596060-0a0acfe8/;570677;MT;6x4;437;2;2;BS-Truck;2350000;-840000;Цена завышена - можно поторговаться;50;;;;;ПФО;
Тягач;DAF;XF105;2012;2650000;Липецк;https://auto.ru/artic/used/sale/daf/xf105/16527556-cdc8c976/;930000;AT;4x2;410;2;2;;2550000;-100000;;10;;;;;ЦФО;
Тягач;INTERNATIONAL;9000 Series;2003;1200000;Люберцы;https://auto.ru/artic/used/sale/international/9000/16599496-95cc287c/;1383067;AT;6x4;430;2;1;PRO АВТО;1670000;470000;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Тягач;Volvo;FH;2003;1800000;Москва;https://auto.ru/artic/used/sale/volvo/fh_tractor/16296284-273dbaf0/;1050000;MT;4x2;460;2;2;;1640000;-160000;Цена завышена - можно поторговаться;20;;;;;ЦФО;
Тягач;МАЗ;5440;2011;1000000;Новосибирск;https://auto.ru/artic/used/sale/maz/5440/16616064-8e2ec4fc/;900000;MT;4x2;435;;;СибТракСкан;880000;-120000;Цена завышена - можно поторговаться;20;;;;;СФО;
Тягач;МАЗ;5432;2006;270000;Воронеж;https://auto.ru/artic/used/sale/maz/5432/16311314-fa9d20ca/;130000;;;250;;;;370000;100000;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Тягач;МАЗ;5440;2013;850000;Касимов;https://auto.ru/artic/used/sale/maz/5440/16327504-b79713ab/;320000;MT;4x2;412;2;2;;1520000;670000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;КамАЗ;5490;2015;1605000;Нижний Новгород;https://auto.ru/artic/used/sale/kamaz/5490/16558696-e2ede6d4/;597392;MT;4x2;400;2;1;M7 TRUCK Нижний Новгород;1580000;-25000;;10;;;;;ПФО;
Тягач;DAF;XF105;2012;2650000;Иваново;https://auto.ru/artic/used/sale/daf/xf105/16118640-eb289b51/;725000;MT;4x2;410;2;2;;2510000;-140000;Цена завышена - можно поторговаться;20;;;;;ЦФО;
Тягач;DAF;XF105;2018;6390000;Людиново;https://auto.ru/artic/used/sale/daf/xf105/16410215-cfe0f2a7/;208000;AT;4x2;462;2;2;;5130000;-1260000;Цена завышена - можно поторговаться;30;204000;;;;ЦФО;
Тягач;IVECO;Stralis;2018;7300000;Москва;https://auto.ru/artic/used/sale/iveco/stralis_tractor/16612306-7661e727/;144000;AT;4x2;460;2;2;Ивеко Руссия;5110000;-2190000;Цена завышена - можно поторговаться;50;234000;;;ok;ЦФО;Цена с НДС
Тягач;МАЗ;5440;2013;650000;Ярославль;https://auto.ru/artic/used/sale/maz/5440/16614830-48d9bbde/;295867;MT;4x2;310;2;1;КОМПАНИЯ АВТОМОБИЛИЯ;960000;310000;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Тягач;МАЗ;5440;2011;770000;Пенза;https://auto.ru/artic/used/sale/maz/5440/16399590-d4a1fc33/;920000;MT;4x2;412;2;2;;1140000;370000;Горячая цена! Срочно брать!;0;;;;;ПФО;
Тягач;DAF;95XF;2012;3100000;Новосибирск;https://auto.ru/artic/used/sale/daf/xf95/16370560-dc604145/;790000;MT;6x4;530;2;2;;3580000;480000;Горячая цена! Срочно брать!;0;;;;;СФО;
Тягач;DAF;XF105;2008;1750000;Валуйки;https://auto.ru/artic/used/sale/daf/xf105/16306184-f02de10b/;953503;MT;4x2;460;2;2;;2150000;400000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;Scania;P-series;2003;720000;Подольск;https://auto.ru/artic/used/sale/scania/p_1/16460396-09ee1d18/;993000;MT;4x2;340;2;1;;1010000;290000;Горячая цена! Срочно брать!;0;;;;ok;ЦФО;Цена с НДС
Тягач;Scania;R-Series;2011;1670000;Ростов-на-Дону;https://auto.ru/artic/used/sale/scania/r_1/16608410-71a6758d/;823000;;;420;;;;2240000;570000;Горячая цена! Срочно брать!;0;;;;;ЮФО;
Тягач;Volvo;FH;2014;3850000;Москва;https://auto.ru/artic/used/sale/volvo/fh_tractor/16600450-37359eaa/;586187;AT;4x2;469;2;2;АГТ-Трейдинг;3490000;-360000;Цена завышена - можно поторговаться;20;;;;;ЦФО;
Тягач;МАЗ;6425;2016;1554000;Красноярск;https://auto.ru/artic/used/sale/maz/6425/16265202-ab4c1ef1/;85000;MT;6x6;417;2;2;;2750000;1196000;Горячая цена! Срочно брать!;0;;;1;ok;СФО;
Тягач;FREIGHTLINER;Century Class;2000;1300000;Брянск;https://auto.ru/artic/used/sale/freightliner/century_class/15598570-309b49a7/;;MT;6x4;370;2;2;;790000;-510000;Цена завышена - можно поторговаться;70;;;;;ЦФО;
Тягач;Scania;G-series;2013;3500000;Воронеж;https://auto.ru/artic/used/sale/scania/g/16395848-2ac11788/;695000;AT;4x2;440;;;;3040000;-460000;Цена завышена - можно поторговаться;30;;;;;ЦФО;
Тягач;МАЗ;6430;2013;1500000;Кемерово;https://auto.ru/artic/used/sale/maz/6430/16344746-9f682706/;453656;MT;6x4;411;;;;1390000;-110000;Цена завышена - можно поторговаться;20;;;;;;
Тягач;DAF;XF105;2008;2000000;Клинцы;https://auto.ru/artic/used/sale/daf/xf105/16122458-af4021cf/;1300000;MT;4x2;410;2;2;;2100000;100000;;10;;;;;;
Тягач;INTERNATIONAL;9000 Series;2000;800000;Санкт-Петербург;https://auto.ru/artic/used/sale/international/9000/16613592-b60481cc/;1000000;AT;6x4;370;2;1;;1330000;530000;Горячая цена! Срочно брать!;0;;;;;СЗФО;
Тягач;Volvo;FH;2000;1350000;Рязань;https://auto.ru/artic/used/sale/volvo/fh_tractor/16345592-db2c274f/;1500000;MT;4x2;340;2;2;;1170000;-180000;Цена завышена - можно поторговаться;30;;;;;ЦФО;
Тягач;Scania;G-series;2011;1950000;Оренбург;https://auto.ru/artic/used/sale/scania/g/16445384-5454a883/;1500000;MT;4x2;420;2;2;Оренбург-СканСервис;2560000;610000;Горячая цена! Срочно брать!;0;;;;;УФО;
Тягач;Volvo;VNL;2004;1650000;Шадринск;https://auto.ru/artic/used/sale/volvo/vnl_tractor/16395488-12013da7/;1430000;MT;6x4;470;2;2;;1920000;270000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;Volvo;FM;2011;1750000;Люберцы;https://auto.ru/artic/used/sale/volvo/fm_tractor/16262816-c0dfb287/;813105;MT;4x2;400;2;1;ТРАК ПЛАТФОРМА;2140000;390000;Горячая цена! Срочно брать!;0;;;;ok;ЦФО;Цена с НДС
Тягач;МАЗ;6425;2016;2100000;Кодинск;https://auto.ru/artic/used/sale/maz/6425/16193546-45106604/;80000;MT;6x6;418;2;2;;2750000;650000;Горячая цена! Срочно брать!;0;;;1;unclear;СФО;
Тягач;FREIGHTLINER;FLD;2002;2200000;Новосибирск;https://auto.ru/artic/used/sale/freightliner/fld/16534096-28b5fcca/;1000000;AT;6x4;380;2;1;;1050000;-1150000;Цена завышена - можно поторговаться;120;;;;;СФО;
Тягач;КамАЗ;44108;2013;4900000;Уфа;https://auto.ru/artic/used/sale/kamaz/44108/16485886-75ece14c/;41500;MT;6x6;330;2;1;;2030000;-2870000;Цена завышена - можно поторговаться;150;;;;;ПФО;
Тягач;MAN;18;2001;1350000;Челябинск;https://auto.ru/artic/used/sale/man/18_1/15654330-e3925573/;448000;AT;6x2;410;2;2;Omniport;1150000;-200000;Цена завышена - можно поторговаться;30;;;;;УФО;
Тягач;DAF;XF105;2014;3100000;Спасск;https://auto.ru/artic/used/sale/daf/xf105/15943916-07473b6e/;780000;MT;4x2;460;2;2;;3210000;110000;;10;;;;;;
Тягач;Scania;R-Series;2012;5750000;Владимир;https://auto.ru/artic/used/sale/scania/r_1/15802962-4dfe7bd1/;1300000;MT;4x2;420;2;2;;2840000;-2910000;Цена завышена - можно поторговаться;110;;;;;ЦФО;
Тягач;Scania;P-series;2013;2899777;Москва;https://auto.ru/artic/used/sale/scania/p_1/16265218-c704d1c6/;512000;MT;6x4;440;2;1;ТТ777;3820000;920223;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Тягач;МАЗ;5440;2011;1400000;Зубова Поляна;https://auto.ru/artic/used/sale/maz/5440/16422868-78725d40/;830000;MT;4x2;411;2;2;;1140000;-260000;Цена завышена - можно поторговаться;30;;;;;;
Тягач;Mercedes-Benz;Actros;2015;3918000;Москва;https://auto.ru/artic/used/sale/mercedes/actros_t/16530034-bac2e037/;713000;AT;6x4;408;2;1;M7 TRUCK Москва Юг;4150000;232000;Горячая цена! Срочно брать!;0;125000;;;ok;ЦФО;Цена с НДС
Тягач;Renault;Magnum;2000;630000;Бор;https://auto.ru/artic/used/sale/renault/magnum_ae/15689922-cc8a950a/;1150000;MT;4x2;429;2;2;;750000;120000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;DAF;XF105;2008;1550000;Екатеринбург;https://auto.ru/artic/used/sale/daf/xf105/16234976-8ac64b50/;1389600;MT;4x2;462;2;2;АО ТТК-Екатеринбург;2150000;600000;Горячая цена! Срочно брать!;0;;;;;УФО;
Тягач;IVECO;Trakker;2008;1750000;Рязань;https://auto.ru/artic/used/sale/iveco/trakker_tractor/16549432-dcad0ba3/;400000;MT;6x4;420;2;1;;1820000;70000;;10;;;;;ЦФО;
Тягач;Scania;G-series;2014;2750000;Домодедово;https://auto.ru/artic/used/sale/scania/g/16486872-71e072fd/;1446512;MT;4x2;400;2;1;"ООО""Трейд Моторс";3520000;770000;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Тягач;Volvo;FM;2017;6350000;Домодедово;https://auto.ru/artic/used/sale/volvo/fm_tractor/16459138-01632ceb/;118020;MT;6x4;428;2;1;Технический Центр ИНФОРКОМ;6290000;-60000;;10;203000;;;;ЦФО;
Тягач;Scania;R-Series;2013;3450000;Москва;https://auto.ru/artic/used/sale/scania/r_1/16537538-60eb0087/;781733;AT;4x2;440;2;2;GROSS AUTO;3270000;-180000;Цена завышена - можно поторговаться;20;;;;;ЦФО;
Тягач;Renault;Magnum;2000;1000000;Лунино;https://auto.ru/artic/used/sale/renault/magnum_ae/16557658-6b8a787a/;700000;MT;4x2;430;2;2;;760000;-240000;Цена завышена - можно поторговаться;40;;;;;;
Тягач;МАЗ;5440;2011;660000;Челябинск;https://auto.ru/artic/used/sale/maz/5440/16469174-259d461b/;550000;;4x2;328;;;;680000;20000;;10;;;;;УФО;
Тягач;Scania;P-series;2010;2800000;Красноярск;https://auto.ru/artic/used/sale/scania/p_1/16603940-5556f57f/;1400000;MT;6x4;379;2;1;;2540000;-260000;Цена завышена - можно поторговаться;20;;;;;СФО;
Тягач;МАЗ;64220;2007;530000;Обоянь;https://auto.ru/artic/used/sale/maz/64220/16390708-d7a22dca/;280000;MT;6x4;400;2;1;;800000;270000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;MAN;TGS;2014;3400000;Хабаровский край;https://auto.ru/artic/used/sale/man/tgs/16137588-32f00424/;270000;MT;6x6;430;2;1;;5490000;2090000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;Scania;4-Series;2005;1500000;Тамбов;https://auto.ru/artic/used/sale/scania/l/16330770-f5ce7e38/;858400;MT;4x2;340;2;1;;1160000;-340000;Цена завышена - можно поторговаться;40;;;;;ЦФО;
Тягач;Mercedes-Benz;Axor;2013;2800000;Казань;https://auto.ru/artic/used/sale/mercedes/axor_t/15903248-755b0be2/;460000;MT;;401;2;1;;2400000;-400000;Цена завышена - можно поторговаться;30;;;;;ПФО;
Тягач;КамАЗ;65116;2012;1000000;Ижевск;https://auto.ru/artic/used/sale/kamaz/65116/16466044-c313e2e2/;97000;MT;6x4;280;;;;1250000;250000;Горячая цена! Срочно брать!;0;;;;;ПФО;
Тягач;Volvo;FM;2009;1700000;Челябинск;https://auto.ru/artic/used/sale/volvo/fm_tractor/16588044-b7e23ddb/;1300000;MT;4x2;400;2;2;;2180000;480000;Горячая цена! Срочно брать!;0;;;;;УФО;
Тягач;Scania;P-series;2010;1370000;Ярославль;https://auto.ru/artic/used/sale/scania/p_1/16362948-c680bf0d/;943536;MT;4x2;340;;;КОМПАНИЯ АВТОМОБИЛИЯ;1630000;260000;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Тягач;Volvo;FH;2004;1999999;Тюмень;https://auto.ru/artic/used/sale/volvo/fh_tractor/16546852-c4339d5d/;1000000;MT;6x2;460;2;2;;1890000;-109999;Цена завышена - можно поторговаться;20;;;;;СФО;
Тягач;FREIGHTLINER;Columbia;2004;1550000;Ачинск;https://auto.ru/artic/used/sale/freightliner/columbia/16588990-c62e02be/;1520246;MT;;430;2;2;;1070000;-480000;Цена завышена - можно поторговаться;50;;;;;;
Тягач;Scania;R-Series;2014;3730000;Красноярск;https://auto.ru/artic/used/sale/scania/r_1/16615282-e5d8aa78/;1050;MT;4x2;440;2;2;;3660000;-70000;;10;;;;;СФО;
Тягач;МАЗ;5432;2003;310000;Белгород;https://auto.ru/artic/used/sale/maz/5432/16338344-7a396d14/;150000;MT;4x2;330;2;1;;360000;50000;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Тягач;МАЗ;5440;2010;849000;Чёрная Грязь;https://auto.ru/artic/used/sale/maz/5440/16553548-e8290ead/;280743;MT;4x2;327;2;1;M7 TRUCK Москва;680000;-169000;Цена завышена - можно поторговаться;30;;;;;ЦФО;
Тягач;FREIGHTLINER;Century Class;2000;1130000;Барнаул;https://auto.ru/artic/used/sale/freightliner/century_class/16347858-a8b1c971/;1700000;MT;6x4;430;2;2;;730000;-400000;Цена завышена - можно поторговаться;60;;;;;СФО;
Тягач;МАЗ;5432;2008;300000;Калуга;https://auto.ru/artic/used/sale/maz/5432/16431246-d1f0aebd/;500000;MT;4x2;327;2;1;;560000;260000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;Scania;4-Series;2003;1300000;Шумерля;https://auto.ru/artic/used/sale/scania/l/16130296-07dc8112/;1400000;MT;4x2;420;2;2;;1460000;160000;Горячая цена! Срочно брать!;0;;;;;;
Тягач;Mercedes-Benz;Actros;2008;1599000;Москва;https://auto.ru/artic/used/sale/mercedes/actros_t/16574972-9d92a0a3/;1189722;AT;4x2;440;2;1;GROSS AUTO;1770000;171000;Горячая цена! Срочно брать!;0;;;;ok;ЦФО;Цена с НДС
Тягач;MAN;TGA;2008;1250000;Краснодар;https://auto.ru/artic/used/sale/man/tga_1/15783882-161cf73b/;1000000;MT;4x2;420;2;2;;1840000;590000;Горячая цена! Срочно брать!;0;;;;;ЮФО;
