Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Comment;Качество верификации;Верификация;Федеральный округ
Тягач;FREIGHTLINER;Century Class;2003;1300000;Якутск;https://auto.ru/artic/used/sale/freightliner/century_class/16436704-3e306095/;1000000;MT;6x4;375;2;2;;1040000;-260000;Цена завышена - можно поторговаться;40;;;;;ДВФО
Тягач;Mercedes-Benz;Axor;2011;1550000;Санкт-Петербург;https://auto.ru/artic/used/sale/mercedes/axor_t/16565450-fe080015/;1010000;MT;4x2;360;2;1;ЗТ Север;1730000;180000;Горячая цена! Срочно брать!;0;;;;;СЗФО
Тягач;Volvo;FH;2014;3270000;Нижний Новгород;https://auto.ru/artic/used/sale/volvo/fh_tractor/16535526-a30e3efa/;948000;AT;4x2;440;2;2;;3370000;100000;;10;;;;;ПФО
Тягач;КамАЗ;5490;2018;3340000;Новониколаевский;https://auto.ru/artic/used/sale/kamaz/5490/16517376-c464453b/;179142;MT;4x2;401;2;1;M7 TRUCK Казань;2860000;-480000;Цена завышена - можно поторговаться;30;107000;;;;ПФО
Тягач;Mercedes-Benz;Actros;2011;1900000;Казань;https://auto.ru/artic/used/sale/mercedes/actros_t/16477080-0d487c34/;1250000;AT;4x2;410;2;1;;2080000;180000;Горячая цена! Срочно брать!;0;;;;;ПФО
Тягач;DAF;95XF;2005;2400000;Брянск;https://auto.ru/artic/used/sale/daf/xf95/16331932-33b6f2cd/;1222300;MT;4x2;430;2;2;;1880000;-520000;Цена завышена - можно поторговаться;40;;;;;ЦФО
Тягач;DAF;XF105;2016;4750000;Екатеринбург;https://auto.ru/artic/used/sale/daf/xf105/16416231-b401b55d/;720000;MT;4x2;460;2;2;;3810000;-940000;Цена завышена - можно поторговаться;30;152000;;;;УФО
Тягач;МАЗ;5440;2011;650000;Екатеринбург;https://auto.ru/artic/used/sale/maz/5440/16584640-ef6d1e00/;850000;MT;4x2;411;2;1;;920000;270000;Горячая цена! Срочно брать!;0;;;;;УФО
Тягач;IVECO;Stralis;2008;1950000;Уфа;https://auto.ru/artic/used/sale/iveco/stralis_tractor/16419424-9501b1f8/;900000;MT;4x2;352;2;1;;1030000;-920000;Цена завышена - можно поторговаться;100;;;;;ПФО
Тягач;Scania;R-Series;2008;2000000;Челябинск;https://auto.ru/artic/used/sale/scania/r_1/16212308-bf55a7df/;1281000;MT;4x2;420;2;2;;2070000;70000;;10;;;;;УФО
Тягач;DAF;XF105;2008;1500000;Смоленск;https://auto.ru/artic/used/sale/daf/xf105/16417171-0770912f/;1300000;MT;4x2;460;2;2;;2150000;650000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;Scania;P-series;2003;920000;Пенза;https://auto.ru/artic/used/sale/scania/p_1/16270494-21c200f8/;8000;MT;4x2;330;2;1;;960000;40000;;10;;;;;ПФО
Тягач;Scania;P-series;2006;2300000;Разумное;https://auto.ru/artic/used/sale/scania/p_1/16562238-d7c59c5e/;637000;MT;;340;2;1;;1430000;-870000;Цена завышена - можно поторговаться;70;;;;;
Тягач;IVECO;Stralis;2013;2700000;Смоленск;https://auto.ru/artic/used/sale/iveco/stralis_tractor/16318786-920fa5a2/;821821;MT;4x2;460;2;2;;2250000;-450000;Цена завышена - можно поторговаться;30;;;;;ЦФО
Тягач;Renault;Premium;2000;400000;Гурьевск;https://auto.ru/artic/used/sale/renault/premium_tractor/16048798-ef4f35b7/;870000;MT;4x2;400;2;1;;700000;300000;Горячая цена! Срочно брать!;0;;;;;
Тягач;MAN;TGA;2008;1300000;Смоленск;https://auto.ru/artic/used/sale/man/tga_1/15864462-3ed63231/;1400;MT;4x2;480;2;2;ООО Транзит-В;1870000;570000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;FREIGHTLINER;Columbia;2003;850000;Похвистнево;https://auto.ru/artic/used/sale/freightliner/columbia/16256356-85321fb6/;1200000;MT;4x2;450;2;2;;940000;90000;Горячая цена! Срочно брать!;0;;;;;
Тягач;Mercedes-Benz;Actros;2001;555000;Волгоград;https://auto.ru/artic/used/sale/mercedes/actros_t/16482872-bf2efd7d/;550000;AT;4x2;395;2;2;;1270000;715000;Горячая цена! Срочно брать!;0;;;;;ЮФО
Тягач;Scania;R-Series;2011;2800000;Краснодар;https://auto.ru/artic/used/sale/scania/r_1/16314066-5cae2b96/;900000;MT;4x2;420;2;2;;2560000;-240000;Цена завышена - можно поторговаться;20;;;;;ЮФО
Тягач;МАЗ;6422;2005;380000;Нижний Новгород;https://auto.ru/artic/used/sale/maz/6422/16048754-a04f2122/;160000;MT;6x4;316;2;1;;570000;190000;Горячая цена! Срочно брать!;0;;;;;ПФО
Тягач;Mercedes-Benz;Axor;2003;1300000;Владимир;https://auto.ru/artic/used/sale/mercedes/axor_t/16354226-96a32cf9/;290000;MT;4x2;430;2;2;;1480000;180000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;Mercedes-Benz;Actros;2018;5250000;Екатеринбург;https://auto.ru/artic/used/sale/mercedes/actros_t/16590332-5af48aca/;190000;AT;4x2;408;2;2;;5040000;-210000;;10;168000;;;;УФО
Тягач;Renault;Magnum;2008;910000;Тимофеево;https://auto.ru/artic/used/sale/renault/magnum_ae/16476254-185042c6/;958000;AT;4x2;368;2;2;;1600000;690000;Горячая цена! Срочно брать!;0;;;;;
Тягач;МАЗ;5440;2009;1400000;Пенза;https://auto.ru/artic/used/sale/maz/5440/16410113-6b5356c0/;900000;MT;4x2;411;2;2;;960000;-440000;Цена завышена - можно поторговаться;60;;;;;ПФО
Тягач;Volvo;FM;2006;1430000;Краснодар;https://auto.ru/artic/used/sale/volvo/fm_tractor/16126828-99345304/;120000;MT;4x2;380;2;2;;1700000;270000;Горячая цена! Срочно брать!;0;;;;;ЮФО
Тягач;КамАЗ;4308;2008;2000000;Екатеринбург;https://auto.ru/artic/used/sale/kamaz/4308_traktor/16461476-580a4828/;480000;MT;4x2;204;2;1;;550000;-1450000;Цена завышена - можно поторговаться;270;;;;;УФО
Тягач;MAN;TGS;2012;4300000;Екатеринбург;https://auto.ru/artic/used/sale/man/tgs/10538458-a42240bd/;800000;MT;6x4;441;2;2;;3220000;-1080000;Цена завышена - можно поторговаться;40;;;;;УФО
Тягач;IVECO;Trakker;2006;1500000;Краснодар;https://auto.ru/artic/used/sale/iveco/trakker_tractor/16577312-6528c110/;440000;MT;6x4;420;2;1;;1590000;90000;Горячая цена! Срочно брать!;0;;;;;ЮФО
Тягач;Volvo;FM;2007;1400000;Зеленоград;https://auto.ru/artic/used/sale/volvo/fm_tractor/16532858-dded49b4/;1378916;MT;4x2;400;2;1;Global Truck Sales Москва Север;1540000;140000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;Volvo;FH;2007;2900000;Похвистнево;https://auto.ru/artic/used/sale/volvo/fh_tractor/16544746-7c4d26dc/;1402000;MT;4x2;400;2;2;;1880000;-1020000;Цена завышена - можно поторговаться;60;;;;;
Тягач;Mercedes-Benz;Axor;2013;2200000;Краснодар;https://auto.ru/artic/used/sale/mercedes/axor_t/16448218-f4073d77/;560000;MT;4x2;401;;;;2200000;0;;10;;;;;ЮФО
Тягач;Renault;Premium;2013;4500000;Минеральные Воды;https://auto.ru/artic/used/sale/renault/premium_tractor/15143820-33214db6/;420000;MT;4x2;380;2;2;;2140000;-2360000;Цена завышена - можно поторговаться;120;;;;;
Тягач;МАЗ;64220;2005;600000;Нижний Новгород;https://auto.ru/artic/used/sale/maz/64220/16041674-fce230f1/;200000;MT;6x4;330;2;2;;730000;130000;Горячая цена! Срочно брать!;0;;;;;ПФО
Тягач;MAN;TGA;2006;1550000;Белгородская область;https://auto.ru/artic/used/sale/man/tga_1/16338318-bf6d10c5/;670000;MT;4x2;480;2;2;;1410000;-140000;Цена завышена - можно поторговаться;20;;;;;
Тягач;MAN;TGA;2007;1400000;Москва;https://auto.ru/artic/used/sale/man/tga_1/16375146-9d25f691/;1400000;MT;4x2;390;2;2;;1490000;90000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;КамАЗ;6460;2007;1250000;Нижневартовск;https://auto.ru/artic/used/sale/kamaz/6460/16572654-98623246/;430000;MT;6x4;260;2;1;;840000;-410000;Цена завышена - можно поторговаться;60;;;;;СФО
Тягач;IVECO;TurboTech;2000;750000;Каменск-Уральский;https://auto.ru/artic/used/sale/iveco/turbotech/16337858-a9a0ed12/;200000;MT;6x2;360;2;2;;970000;220000;Горячая цена! Срочно брать!;0;;;;;
Тягач;Volvo;FH;2008;1990000;Люберцы;https://auto.ru/artic/used/sale/volvo/fh_tractor/16541022-02f5f00a/;1013271;AT;4x2;400;2;2;PRO АВТО;2080000;90000;;10;;;;;ЦФО
Тягач;MAN;TGX;2020;8769609;Краснодар;https://auto.ru/artic/used/sale/man/tgx/16032026-e1b24fc1/;3000;AT;4x2;440;2;2;ЮРТО-ТРАК MAN Краснодар;5430000;-3339609;Цена завышена - можно поторговаться;70;281000;;;;ЮФО
Тягач;Scania;P-series;2005;1050000;Москва;https://auto.ru/artic/used/sale/scania/p_1/16583594-e46b2725/;1401724;MT;4x2;340;2;1;Лаки Логистик;1160000;110000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;Scania;G-series;2017;6550000;Новосибирск;https://auto.ru/artic/used/sale/scania/g/16581796-f2a0448e/;430000;MT;6x4;400;2;2;СибТракСкан;6510000;-40000;;10;210000;;;;СФО
Тягач;MAN;F 2000;2000;890000;Ульяновск;https://auto.ru/artic/used/sale/man/f_2000_t/16504894-a8a0f85e/;900000;MT;4x2;410;2;2;;770000;-120000;Цена завышена - можно поторговаться;30;;;;;ПФО
Тягач;INTERNATIONAL;9000 Series;2002;950000;Великий Новгород;https://auto.ru/artic/used/sale/international/9000/16402806-cea17f4f/;1950000;MT;6x4;312;2;1;;1320000;370000;Горячая цена! Срочно брать!;0;;;;;СЗФО
Тягач;МАЗ;5440;2012;620000;Киров;https://auto.ru/artic/used/sale/maz/5440/16561446-d70bb083/;333333;MT;4x2;327;2;2;;1120000;500000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;IVECO;Stralis;2003;1100000;Бокино;https://auto.ru/artic/used/sale/iveco/stralis_tractor/16585130-fa2a9fdb/;1000000;MT;4x2;430;2;2;;1020000;-80000;Цена завышена - можно поторговаться;20;;;;;
Тягач;Mercedes-Benz;Axor;2016;2980000;Санкт-Петербург;https://auto.ru/artic/used/sale/mercedes/axor_t/16586594-3eba09ab/;451000;MT;4x2;401;2;1;МБ тракс СПб;3170000;190000;Горячая цена! Срочно брать!;0;95000;;;;СЗФО
Тягач;FREIGHTLINER;Century Class;2002;770000;Белгород;https://auto.ru/artic/used/sale/freightliner/century_class/16514236-17cb58c8/;158666;MT;6x4;430;2;2;;900000;130000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;КамАЗ;5490;2015;2000000;Кимовск;https://auto.ru/artic/used/sale/kamaz/5490/16459592-cf123504/;305000;MT;4x2;401;2;1;Юнион КРОНЕ Кимовск;1610000;-390000;Цена завышена - можно поторговаться;30;;;;;ЦФО
Тягач;Scania;P-series;2012;3250000;Ростов-на-Дону;https://auto.ru/artic/used/sale/scania/p_1/16521100-84b49dc8/;711000;MT;6x4;420;2;1;Транзит-Дон Гипермаркет;3340000;90000;;10;;;;;ЮФО
Тягач;FREIGHTLINER;Century Class;2003;750000;Кирово-Чепецк;https://auto.ru/artic/used/sale/freightliner/century_class/16137286-782b9463/;2000000;;;375;;;;1200000;450000;Горячая цена! Срочно брать!;0;;;;;
Тягач;MAN;TGA;2003;1200000;Псков;https://auto.ru/artic/used/sale/man/tga_1/16534850-5e7f3773/;713600;MT;4x2;460;2;2;;1150000;-50000;;10;;;;;
Тягач;МАЗ;5440;2012;2250000;Саранск;https://auto.ru/artic/used/sale/maz/5440/16355274-a4695447/;590000;MT;4x2;397;2;1;;1050000;-1200000;Цена завышена - можно поторговаться;120;;;;;ПФО
Тягач;МАЗ;5440;2008;470000;Липецк;https://auto.ru/artic/used/sale/maz/5440/16322022-3e7f1d65/;770000;MT;4x2;400;2;2;;800000;330000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;КамАЗ;5490;2017;2450000;Казань;https://auto.ru/artic/used/sale/kamaz/5490/16521142-5078cca5/;536000;MT;4x2;401;2;1;;2400000;-50000;;10;78000;;;;ПФО
Тягач;Mercedes-Benz;Axor;2016;3850000;Люберцы;https://auto.ru/artic/used/sale/mercedes/axor_t/16494364-aafb0f53/;592717;MT;4x2;401;2;1;PRO АВТО;3170000;-680000;Цена завышена - можно поторговаться;30;123000;;;;ЦФО
Тягач;Renault;Premium;2003;950000;Сухой Лог;https://auto.ru/artic/used/sale/renault/premium_tractor/16521592-db62fb3d/;1000000;AT;6x2;420;2;2;;1420000;470000;Горячая цена! Срочно брать!;0;;;;;
Тягач;Volvo;FH;2010;2600000;Мурманск;https://auto.ru/artic/used/sale/volvo/fh_tractor/16364424-f663b1e3/;1300000;MT;4x2;440;2;2;;2370000;-230000;Цена завышена - можно поторговаться;20;;;;;СЗФО
Тягач;МАЗ;6425;2016;3150000;Вихоревка;https://auto.ru/artic/used/sale/maz/6425/16379872-b7b9e1ab/;30000;MT;6x6;420;2;2;;2750000;-400000;Цена завышена - можно поторговаться;20;;;;;СФО
Тягач;МАЗ;6430;2011;1050000;Кострома;https://auto.ru/artic/used/sale/maz/6430/16130212-68a26081/;200000;MT;6x4;400;2;2;;1490000;440000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;MAN;TGS;2017;8500000;Красноярск;https://auto.ru/artic/used/sale/man/tgs/16540974-762e3b3f/;50000;MT;6x6;480;2;2;РусТрансТоргСервис;7200000;-1300000;Цена завышена - можно поторговаться;30;272000;;;;СФО
Тягач;INTERNATIONAL;9000 Series;2002;950000;Минусинск;https://auto.ru/artic/used/sale/international/9000/16266456-7d08a341/;1000000;MT;6x4;400;2;2;;1490000;540000;Горячая цена! Срочно брать!;0;;;;;СФО
Тягач;Scania;G-series;2011;2500000;Великий Новгород;https://auto.ru/artic/used/sale/scania/g/16177294-c05c1750/;800000;MT;4x2;380;2;2;;2390000;-110000;;10;;;;;СЗФО
Тягач;Scania;P-series;2008;1190000;Екатеринбург;https://auto.ru/artic/used/sale/scania/p_1/16320886-26c46b52/;1090000;MT;4x2;340;2;1;;1510000;320000;Горячая цена! Срочно брать!;0;;;;;УФО
Тягач;Scania;4-Series;2006;1300000;Нижний Тагил;https://auto.ru/artic/used/sale/scania/l/16525810-a7040d13/;900000;MT;4x2;340;2;1;;1220000;-80000;Цена завышена - можно поторговаться;20;;;;;
Тягач;Volvo;FH;2018;7200000;Смоленская область;https://auto.ru/artic/used/sale/volvo/fh_tractor/16573504-34eb3046/;174000;AT;4x2;460;2;2;;5600000;-1600000;Цена завышена - можно поторговаться;40;230000;;;;
Тягач;MAN;TGS;2013;2500000;Люберцы;https://auto.ru/artic/used/sale/man/tgs/16427412-c4ffcbfd/;593668;MT;4x2;400;2;1;PRO АВТО;2490000;-10000;;10;;;;;ЦФО
Тягач;DAF;XF105;2012;2699000;Москва;https://auto.ru/artic/used/sale/daf/xf105/16509356-f89f4074/;424254;MT;4x2;408;2;2;Трак-Сток;2570000;-129000;Цена завышена - можно поторговаться;20;;;;;ЦФО
Тягач;Mercedes-Benz;Actros;2015;4500000;Москва;https://auto.ru/artic/used/sale/mercedes/actros_t/16579042-77f42f90/;745000;AT;6x2;480;2;2;Транзит-Дон Москва;5060000;560000;Горячая цена! Срочно брать!;0;144000;Седельный тягач Мерседес актрос 2548 LS 6 2  Колесная формула  6 2  Год выпуска  декабрь 2015  Пробег  750 000 км   Мощность  480 л с   ДВС  V 6  Нагрузка на ССУ  25 т  Поворотная ось  КПП  полуавтомат  Два спальных места  Холодильник  кондиционер пневмо кресло ComfortAir  автономный отопитель  полный электропакет  Проведена полная предпродажная подготовка    Возможна покупка в кредит и лизинг  помощь в оформлении     Доставка по всей территории РФ    Цена С НДС    Обмен   Trade in  Одобрены во всех крупных лизинговых компаниях и банках  Сбербанк  ВТБ  Альфа лизинг  Европлан  Балтийский лизинг  НЛК  Сбербанк Лизинг  ВЭБ лизинг  Совкомбанк  Элемент лизинг и др  Компания Транзит Дон официальный дилер Krone  Sсhmitz  Kogel  Kassbohrer  Wielton  Koluman  Grunwald  Bonum  Bodex  Манак Авто  МЗ Тонар  ЧМЗАП  Работаем по всей России  В частности  Москва  Санкт Петербург  Батайск  Белгород  Волгоград  Воронеж  Казань  Краснодар  Ростов на Дону  Самара  Ставрополь  Уфа;0,38402;ok;ЦФО
Тягач;Mercedes-Benz;Actros;2001;700000;Краснодар;https://auto.ru/artic/used/sale/mercedes/actros_t/16307790-aa9d5443/;284000;AT;4x2;430;2;2;;1350000;650000;Горячая цена! Срочно брать!;0;;;;;ЮФО
Тягач;MAN;TGA;2008;1050000;Набережные Челны;https://auto.ru/artic/used/sale/man/tga_1/16539872-d9ccbf06/;1459000;;4x2;480;;;;1620000;570000;Горячая цена! Срочно брать!;0;;;;;ПФО
Тягач;MAN;TGA;2008;1650000;Москва;https://auto.ru/artic/used/sale/man/tga_1/16463734-57133446/;613919;AT;4x2;390;2;2;АГТ-Трейдинг;1860000;210000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;МАЗ;5432;2003;400000;Воронеж;https://auto.ru/artic/used/sale/maz/5432/15508182-000e92fa/;106000;MT;4x2;330;2;1;;360000;-40000;Цена завышена - можно поторговаться;20;;;;;ЦФО
Тягач;КамАЗ;5490;2019;4950000;Всеволожск;https://auto.ru/artic/used/sale/kamaz/5490/16470378-095b4099/;2000;MT;4x2;401;;;Технический центр Восток;2950000;-2000000;Цена завышена - можно поторговаться;80;158000;;;;СЗФО
Тягач;Scania;R-Series;2012;4199000;Санкт-Петербург;https://auto.ru/artic/used/sale/scania/r_1/16081396-6a8bc796/;500000;AT;4x2;500;2;2;Вираж;3120000;-1079000;Цена завышена - можно поторговаться;40;;;;;СЗФО
Тягач;МАЗ;6430;2007;1500000;Тюмень;https://auto.ru/artic/used/sale/maz/6430/16235660-fdc3ca66/;600;MT;6x4;400;2;2;;1010000;-490000;Цена завышена - можно поторговаться;60;;;;;СФО
Тягач;МАЗ;5432;2005;360000;Воронеж;https://auto.ru/artic/used/sale/maz/5432/16212858-d371e751/;350000;;4x2;330;2;1;;310000;-50000;Цена завышена - можно поторговаться;30;;;;;ЦФО
Тягач;MAN;TGS;2012;2650000;Санкт-Петербург;https://auto.ru/artic/used/sale/man/tgs/16373812-70979101/;600000;MT;6x4;440;2;1;;2890000;240000;Горячая цена! Срочно брать!;0;;;;;СЗФО
Тягач;МАЗ;6422;2005;360000;Никольск;https://auto.ru/artic/used/sale/maz/6422/15584964-8d6a2502/;150000;MT;6x4;330;2;1;;600000;240000;Горячая цена! Срочно брать!;0;;;;;
Тягач;MAN;TGA;2004;2600000;Санкт-Петербург;https://auto.ru/artic/used/sale/man/tga_1/15698533-3020de8d/;670000;MT;6x4;530;2;2;;2040000;-560000;Цена завышена - можно поторговаться;40;;;;;СЗФО
Тягач;MAN;TGA;2011;1790000;Нижний Новгород;https://auto.ru/artic/used/sale/man/tga_1/16561432-ae4a041d/;460000;AT;6x4;430;2;1;;2990000;1200000;Горячая цена! Срочно брать!;0;;;;;ПФО
Тягач;Volvo;VNL;2003;2690000;Боринское;https://auto.ru/artic/used/sale/volvo/vnl_tractor/15829834-801e78cb/;1548963;AT;6x4;450;2;2;;1750000;-940000;Цена завышена - можно поторговаться;60;;;;;
Тягач;Renault;Premium;2004;860000;Ногинск;https://auto.ru/artic/used/sale/renault/premium_tractor/16521686-513ac8c1/;1074300;AT;6x2;412;2;1;;1350000;490000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;КамАЗ;5410;2008;630000;Новосибирск;https://auto.ru/artic/used/sale/kamaz/5410/16556454-54134637/;500000;MT;6x4;210;3;1;;900000;270000;Горячая цена! Срочно брать!;0;;;;;СФО
Тягач;Scania;R-Series;2007;1500000;Екатеринбург;https://auto.ru/artic/used/sale/scania/r_1/16453198-9970eb3a/;1354600;MT;4x2;381;2;1;Global Truck Sales Екатеринбург;1430000;-70000;;10;;;;;УФО
Тягач;КамАЗ;65206;2017;3100000;Волгоград;https://auto.ru/artic/used/sale/kamaz/65206/16244854-979c0c3e/;250000;MT;6x4;428;2;1;;3150000;50000;;10;99000;;;;ЮФО
Тягач;MAN;TGA;2007;1450000;Таганрог;https://auto.ru/artic/used/sale/man/tga_1/16212360-e67a0422/;1281450;MT;4x2;390;2;2;;1490000;40000;;10;;;;;
Тягач;DAF;XF105;2014;3450000;Москва;https://auto.ru/artic/used/sale/daf/xf105/16148592-4143c97e/;593000;MT;4x2;460;2;2;БорнТракСервис;3210000;-240000;Цена завышена - можно поторговаться;20;;;;;ЦФО
Тягач;IVECO;Stralis;2003;1600000;Белоярский;https://auto.ru/artic/used/sale/iveco/stralis_tractor/16556926-153fbda3/;1300000;MT;4x2;430;2;2;;1020000;-580000;Цена завышена - можно поторговаться;70;;;;;
Тягач;MAN;TGX;2013;2880000;Москва;https://auto.ru/artic/used/sale/man/tgx/16566370-6d09a4a3/;815000;MT;4x2;400;2;2;;2820000;-60000;;10;;;;;ЦФО
Тягач;IVECO;Trakker;2007;1800000;Казань;https://auto.ru/artic/used/sale/iveco/trakker_tractor/15889754-24f8fb08/;113384;MT;6x4;420;2;1;;1710000;-90000;Цена завышена - можно поторговаться;20;;;;;ПФО
Тягач;МАЗ;5432;2006;190000;Пенза;https://auto.ru/artic/used/sale/maz/5432/16534448-ab4c8acc/;250000;;;250;;;;370000;180000;Горячая цена! Срочно брать!;0;;;;;ПФО
Тягач;Mercedes-Benz;Actros;2016;4345000;Люберцы;https://auto.ru/artic/used/sale/mercedes/actros_t/16496346-c18c6f2f/;541712;AT;4x2;435;2;2;PRO АВТО;4000000;-345000;Цена завышена - можно поторговаться;20;139000;;;;ЦФО
Тягач;MAN;TGS;2017;3950000;Москва;https://auto.ru/artic/used/sale/man/tgs/16537522-989fc5b0/;277803;MT;4x2;400;2;1;ГРУЗ СОЮЗ;4380000;430000;Горячая цена! Срочно брать!;0;126000;В наличии седельный тягач MAN TGS 19 400 4X2 BLS WW в отличном техническом состоянии  Цена указана с полным НДС 20   Тягач в эксплуатации с июня 2017 года  1 собственник согласно ПТС  Оригинальный пробег на одометре 277 803км  Подтвержден диагностикой двигателя  Любые проверки  Эксплуатировался в сцепке с промтоварным полуприцепом  перевозил товары собственного производства  Резина с остатком протектора 80   Объем двигателя  см3  10518 Мощность  л с   400 Экологический класс  4 Высота седла  1150 Гаражный номер  5 ID товара  92692 Статус  В наличии На тягач установлены     рядный 6 ти цилиндровый дизельный двигатель D20    8 ми ступенчатая механическая коробка передач ZF  с делителем  В комплектации    антиблокировочная система  АBS     горный тормоз   интардер    сухой автономный отопитель    электропривод и обогрев зеркал    электростеклоподъёмники    кондиционер    климат контроль    тахограф    магнитола    огнетушитель    домкрат    буксировочный крюк    баллонный ключ  Установлены шины одного размера на всех осях 315 70R22 5  Приобрести седельный тягач MAN TGS 19 400 4X2 BLS WW можно как за собственные средства так и на самых выгодных условиях в кредит или лизинг  ГРУЗ СОЮЗ предоставляет пожизненную гарантию юридической чистоты;0,42148;unclear;ЦФО
Тягач;Volvo;FM;2008;1500000;Чебоксары;https://auto.ru/artic/used/sale/volvo/fm_tractor/15861976-104fda7d/;1042320;MT;4x2;389;2;2;;1920000;420000;Горячая цена! Срочно брать!;0;;;;;ПФО
Тягач;Volvo;VNL;2003;990000;Ростов-на-Дону;https://auto.ru/artic/used/sale/volvo/vnl_tractor/15805994-f0c94987/;1830000;MT;6x4;400;2;2;ООО Кварта-Трейд;1690000;700000;Горячая цена! Срочно брать!;0;;;;;ЮФО
Тягач;IVECO;Stralis;2014;2050000;Санкт-Петербург;https://auto.ru/artic/used/sale/iveco/stralis_tractor/16267602-96667431/;750000;MT;4x2;451;2;2;;2430000;380000;Горячая цена! Срочно брать!;0;;;;;СЗФО
Тягач;DAF;95XF;2004;2400000;Ростов-на-Дону;https://auto.ru/artic/used/sale/daf/xf95/16312458-874f09a0/;1200000;AT;4x2;480;2;2;;1940000;-460000;Цена завышена - можно поторговаться;30;;;;;ЮФО
Тягач;FREIGHTLINER;Century Class;2004;1500000;Владикавказ;https://auto.ru/artic/used/sale/freightliner/century_class/16377340-fcded865/;1000000;;;400;;;;1310000;-190000;Цена завышена - можно поторговаться;20;;;;;
Тягач;Renault;Premium;2000;750000;Киров;https://auto.ru/artic/used/sale/renault/premium_tractor/16343440-65f81380/;376300;MT;4x2;392;2;1;;690000;-60000;Цена завышена - можно поторговаться;20;;;;;ЦФО
Тягач;FREIGHTLINER;Columbia;2009;1200000;Якутск;https://auto.ru/artic/used/sale/freightliner/columbia/16582964-8fb6981d/;120000;MT;;400;;;;1570000;370000;Горячая цена! Срочно брать!;0;;;;;ДВФО
Тягач;MAN;TGA;2000;1187000;Пенза;https://auto.ru/artic/used/sale/man/tga_1/16369898-b0d49802/;695000;MT;4x2;410;2;2;;770000;-417000;Цена завышена - можно поторговаться;60;;;;;ПФО
Тягач;Renault;Premium;2001;1300000;Тула;https://auto.ru/artic/used/sale/renault/premium_tractor/16081724-5e13ccb1/;973567;;;420;;;;1010000;-290000;Цена завышена - можно поторговаться;40;;;;;ЦФО
Тягач;Volvo;FH;2014;4100000;Санкт-Петербург;https://auto.ru/artic/used/sale/volvo/fh_tractor/16565684-7b29bfe0/;614000;MT;6x2;400;2;2;;4580000;480000;Горячая цена! Срочно брать!;0;;;;;СЗФО
Тягач;МАЗ;5432;2012;680000;Пушкино;https://auto.ru/artic/used/sale/maz/5432/16507600-42bc7dac/;147000;;4x2;243;;;ДСТ-М;550000;-130000;Цена завышена - можно поторговаться;30;;;;;
Тягач;МАЗ;5440;2014;900000;Каменск-Шахтинский;https://auto.ru/artic/used/sale/maz/5440/16342626-260f8963/;198000;MT;4x2;310;2;1;;1110000;210000;Горячая цена! Срочно брать!;0;;;;;ЮФО
Тягач;МАЗ;5432;2007;350000;Рязань;https://auto.ru/artic/used/sale/maz/5432/16513458-03320470/;945000;;4x2;390;;;;580000;230000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;МАЗ;64220;2005;700000;Саки;https://auto.ru/artic/used/sale/maz/64220/16584478-5b5d1d17/;150000;MT;6x4;400;2;2;;810000;110000;Горячая цена! Срочно брать!;0;;;;;
Тягач;DAF;XF105;2011;2600000;Новосибирск;https://auto.ru/artic/used/sale/daf/xf105/16157016-9aa707a2/;1200000;MT;4x2;460;2;2;СибТракСкан;2440000;-160000;Цена завышена - можно поторговаться;20;;;;;СФО
Тягач;Mercedes-Benz;Axor;2012;1499777;Москва;https://auto.ru/artic/used/sale/mercedes/axor_t/16483706-e4f09353/;890090;MT;4x2;360;2;1;ТТ777;1920000;420223;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;IVECO;Stralis;2012;1950000;Люберцы;https://auto.ru/artic/used/sale/iveco/stralis_tractor/16563362-0822a582/;812389;MT;4x2;420;2;2;PRO АВТО;2010000;60000;;10;;;;;ЦФО
Тягач;MAN;TGS;2011;2800000;Москва;https://auto.ru/artic/used/sale/man/tgs/16362606-ce09ec59/;446910;MT;6x4;441;2;1;ГРУЗ СОЮЗ;2550000;-250000;Цена завышена - можно поторговаться;20;;;;;ЦФО
