Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Качество верификации;Верификация;Федеральный округ
Рефрижератор;Schmitz Cargobull;SKO;2015;3299777;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16482654-44dbfbb0/;500000;;;;;;ТТ777;3290000;-9777;;10;106000;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2015;3349777;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16400818-d89276e8/;500000;;;;;;ТТ777;3290000;-59777;;10;107000;;;ЦФО
Рефрижератор;Krone;SD;2017;3950000;Кимовск;https://auto.ru/trailer/used/sale/krone/sd/16461996-f4fd6386/;;;;;;;Юнион КРОНЕ Кимовск;4110000;160000;;10;126000;;;ЦФО
Шторный;Krone;SDP 27;2016;1860000;Санкт-Петербург;https://auto.ru/trailer/used/sale/krone/sdp_27/15541866-1012fe6f/;48188;;;;;;АЛЬГА;1800000;-60000;;10;60000;;;СЗФО
Рефрижератор;Krone;SD;2017;3220000;Михнево;https://auto.ru/trailer/used/sale/krone/sd/16482736-d7bd9089/;550000;;;;;;AVTOKOMMERZ-TRUCKS;3880000;660000;Горячая цена! Срочно брать!;0;103000;0,42146;unclear;
Шторный;Krone;SDP 27;2015;1840000;Санкт-Петербург;https://auto.ru/trailer/used/sale/krone/sdp_27/15541846-e6af5882/;86922;;;;;;АЛЬГА;1550000;-290000;Цена завышена - можно поторговаться;30;59000;;;СЗФО
Шторный;Krone;SD;2017;1790000;Санкт-Петербург;https://auto.ru/trailer/used/sale/krone/sd/16546842-284606dd/;150000;;;;;;;1920000;130000;Горячая цена! Срочно брать!;0;57000;;;СЗФО
Шторный;Krone;SD;2019;2120000;Новосибирск;https://auto.ru/trailer/used/sale/krone/sd/16384204-0f5bc231/;158000;;;;;;Альфа-Лизинг Россия;2020000;-100000;;10;68000;;;СФО
Рефрижератор;Kögel;SP 24;2017;3499000;Подольск;https://auto.ru/trailer/used/sale/kogel/sp_24/6707352-bcb8/;300000;;;;;;САВВЭЛ;3880000;381000;Горячая цена! Срочно брать!;0;112000;0,36506;unclear;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2017;4490000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16543874-81f7d0a2/;;;;;;;ClassTrucks;4250000;-240000;Цена завышена - можно поторговаться;20;144000;;;ЦФО
