Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Качество верификации;Верификация;Федеральный округ
Рефрижератор;Schmitz Cargobull;SKO;2015;3299777;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16452752-a3167e1f/;550000;;;;;;ТТ777;3290000;-9777;;10;106000;;;ЦФО
Шторный;Krone;SD;2017;1950000;Москва;https://auto.ru/trailer/used/sale/krone/sd/16305682-09e600d9/;270568;;;;;;АГТ-Трейдинг;1920000;-30000;;10;62000;;;ЦФО
Шторный;Koluman;;2016;1250000;Набережные Челны;https://auto.ru/trailer/used/sale/koluman/polupricep_shtorniy/16315368-bd4d71e4/;600000;;;;;;;1560000;310000;Горячая цена! Срочно брать!;0;40000;1;leasing;ПФО
Шторный;Schmitz Cargobull;SCB;2018;1900000;Трёхгорный;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16256668-477b890d/;;;;;;;;1980000;80000;;10;61000;;;
Шторный;Krone;SD;2017;2030000;Москва;https://auto.ru/trailer/used/sale/krone/sd/16501259-dc57902d/;87000;;;;;;АГТ-Трейдинг;1930000;-100000;Цена завышена - можно поторговаться;20;65000;;;ЦФО
Рефрижератор;Krone;SD;2017;3400000;Санкт-Петербург;https://auto.ru/trailer/used/sale/krone/sd/16347850-eedfc297/;400000;;;;;;;3880000;480000;Горячая цена! Срочно брать!;0;109000;0,3761;unclear;СЗФО
Бортовой;Kögel;SN24;2016;1680000;Солнечногорск;https://auto.ru/trailer/used/sale/kogel/sn24/16499400-fd447fd2/;575000;;;;;;ТРАНСАЛЬЯНС Москва;1760000;80000;;10;54000;;;ЦФО
Шторный;Schmitz Cargobull;SKO;2017;2150000;Дубровки;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16466516-99b0a390/;150000;;;;;;Триера Трак;1900000;-250000;Цена завышена - можно поторговаться;20;69000;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2015;3450000;Авдон;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16519606-ffd7aeb8/;;;;;;;M7 TRUCK Уфа;3260000;-190000;Цена завышена - можно поторговаться;20;110000;;;ПФО
Бортовой;Schmitz Cargobull;SCS;2016;1700000;Хоругвино;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16380788-3433c74e/;450000;;;;;;TELS Group;1760000;60000;;10;54000;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2016;3799999;Санкт-Петербург;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16303556-f11d2478/;333333;;;;;;Вираж;3750000;-49999;;10;122000;;;СЗФО
Рефрижератор;Schmitz Cargobull;SKO;2017;3780000;Подольск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16471798-1a2348f0/;100000;;;;;;КомТоргТранс;3900000;120000;;10;121000;;;ЦФО
Шторный;Krone;SD;2017;2110000;Чёрная Грязь;https://auto.ru/trailer/used/sale/krone/sd/16302684-58c3b148/;150000;;;;;;M7 TRUCK Москва;1920000;-190000;Цена завышена - можно поторговаться;20;68000;;;ЦФО
Рефрижератор;Тонар;9746;2017;2530000;Ростов-на-Дону;https://auto.ru/trailer/used/sale/tonar/9746/16488496-206a1c33/;150000;;;;;;Транзит-Дон Гипермаркет;3030000;500000;Горячая цена! Срочно брать!;0;81000;0,52449;ok;ЮФО
Шторный;Kögel;S24;2015;1500000;Хутор Маяковского;https://auto.ru/trailer/used/sale/kogel/s24/16247330-7e5e71e2/;330000;;;;;;ГРИФОН;1500000;0;;10;48000;;;
Шторный;Krone;SD;2019;2450000;Красногорск;https://auto.ru/trailer/used/sale/krone/sd/16463122-65a6fe79/;20000;;;;;;Вест Групп;2040000;-410000;Цена завышена - можно поторговаться;30;78000;;;ЦФО
Шторный;Krone;SD;2017;1920000;Рязань;https://auto.ru/trailer/used/sale/krone/sd/16544299-e82cd0ef/;250000;;;;;;ООО Группа Авто;1920000;0;;10;61000;;;ЦФО
Шторный;Schmitz Cargobull;SCB;2017;1790000;Химки;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16466952-f8bc6846/;200000;;;;;;КРОНЕ СканБалт;1890000;100000;Горячая цена! Срочно брать!;0;57000;;;ЦФО
Шторный;Krone;SD;2019;2140000;Омск;https://auto.ru/trailer/used/sale/krone/sd/16393820-22efc3a9/;125000;;;;;;Альфа-Лизинг Россия;2020000;-120000;Цена завышена - можно поторговаться;20;68000;;;СФО
Рефрижератор;Krone;Cool Liner;2018;4100000;Домодедово;https://auto.ru/trailer/used/sale/krone/cool_liner/16458196-8688db95/;35000;;;;;;СТТ-АВТО;4380000;280000;Горячая цена! Срочно брать!;0;131000;;;ЦФО
Шторный;Krone;SD;2018;2090000;Дубровки;https://auto.ru/trailer/used/sale/krone/sd/16509456-5d18336c/;120000;;;;;;Триера Трак;2020000;-70000;;10;67000;;;ЦФО
Шторный;Тонар;9746;2018;1186000;Зеленодольск;https://auto.ru/trailer/used/sale/tonar/9746/16424524-051c7efd/;100000;;;;;;Сбербанк Лизинг;1140000;-46000;;10;38000;;;ПФО
Шторный;Krone;SD;2018;2150000;Дубровки;https://auto.ru/trailer/used/sale/krone/sd/16543920-f707ee04/;130000;;;;;;Триера Трак;2020000;-130000;Цена завышена - можно поторговаться;20;69000;;;ЦФО
Шторный;Wielton;NW;2017;1732500;Смоленск;https://auto.ru/trailer/used/sale/wielton/nw/16365098-cf2594a3/;250000;;;;;;;1890000;157500;Горячая цена! Срочно брать!;0;55000;1;ok;ЦФО
Рефрижератор;Krone;Cool Liner;2017;4490000;Калининград;https://auto.ru/trailer/used/sale/krone/cool_liner/16383074-347b9f50/;85000;;;;;;;4340000;-150000;;10;144000;;;СЗФО
Шторный;Schmitz Cargobull;S01;2017;2050000;Санкт-Петербург;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16450812-733c20df/;150000;;;;;;Вираж;1900000;-150000;Цена завышена - можно поторговаться;20;66000;;;СЗФО
Рефрижератор;Schmitz Cargobull;SKO;2016;3500000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16233446-4ff84c24/;341812;;;;;;Шмитц Каргобулл Руссланд;3750000;250000;Горячая цена! Срочно брать!;0;112000;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2017;4504500;Солнечногорск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16365974-66d607f0/;300000;;;;;;АЙС КУБ;3930000;-574500;Цена завышена - можно поторговаться;20;144000;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2016;3650000;Екатеринбург;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16413360-5d5d3520/;368720;;;;;;;3650000;0;;10;117000;;;УФО
Рефрижератор;Schmitz Cargobull;SKO;2015;3249777;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16423606-32cab09c/;500000;;;;;;ТТ777;3290000;40223;;10;104000;;;ЦФО
Шторный;Krone;SD;2016;1750000;Авдон;https://auto.ru/trailer/used/sale/krone/sd/16283664-d1e8bdba/;30000;;;;;;M7 TRUCK Уфа;1800000;50000;;10;56000;;;ПФО
