Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Федеральный округ;Цена с НДС;Comment;Качество верификации;Верификация
Рефрижератор;Schmitz Cargobull;SKO;2014;3600000;Горки;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16664646-edfc505b/;;;;;;;;3240000;-360000;Цена завышена - можно поторговаться;20;;;;;;
Шторный;Kögel;S24;2017;2199000;Омск;https://auto.ru/trailer/used/sale/kogel/s24/16681098-a736d22e/;350000;;;;;;;1870000;-329000;Цена завышена - можно поторговаться;30;70000;СФО;;;;
Шторный;Schmitz Cargobull;S01;2005;650000;Нижний Новгород;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16663462-57c7d615/;1096580;;;;;;ООО ИТЕКО Россия;650000;0;;10;;ПФО;Цена с НДС;;;ok
Шторный;Krone;SD;2017;2200000;Москва;https://auto.ru/trailer/used/sale/krone/sd/16128956-35641e19/;160000;;;;;;Группа ГРАССМАНН и ЛОМТЕВ;1920000;-280000;Цена завышена - можно поторговаться;20;70000;ЦФО;Цена с НДС;;;ok
Шторный;Schmitz Cargobull;SCS Mega;2013;1334127;Смоленская область;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs_mega/16632264-14f06995/;650000;;;;;;;1170000;-164127;Цена завышена - можно поторговаться;20;;;;;;
Бортовой;Wielton;NS;2013;750000;Выборг;https://auto.ru/trailer/used/sale/wielton/ns/16695908-cb74e3f5/;;;;;;;;980000;230000;Горячая цена! Срочно брать!;0;;;;;;
Бортовой;Krone;SDP 27;2006;500000;Санкт-Петербург;https://auto.ru/trailer/used/sale/krone/sdp_27/16680504-cb9aaa76/;200000;;;;;;M7 TRUCK Санкт-Петербург;700000;200000;Горячая цена! Срочно брать!;0;;СЗФО;;;;
Шторный;Krone;SD;2013;1450000;Дубровки;https://auto.ru/trailer/used/sale/krone/sd/16682046-8f722ec9/;560000;;;;;;Триера Трак;1170000;-280000;Цена завышена - можно поторговаться;30;;ЦФО;Цена с НДС;;;ok
Рефрижератор;Krone;SDR 27;2004;1050000;Томск;https://auto.ru/trailer/used/sale/krone/sdr_27/16591160-f8a48fbb/;;;;;;;;1290000;240000;Горячая цена! Срочно брать!;0;;;;;;
Шторный;Schmitz Cargobull;SCS;2012;1250000;Екатеринбург;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16670750-7a9034e6/;;;;;;;Global Truck Sales Екатеринбург;1080000;-170000;Цена завышена - можно поторговаться;30;;УФО;Цена с НДС;;;ok
